"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"TODOS"	"PHG"	"BIEN"	"UCN"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9010"	"4"	"8"	"7"	"2"	"398"	"98"	"5"	"35"	"5"	"79"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"9"	"13"	"0"	"244"	"244"	"1"	"0"
"9011"	"4"	"8"	"7"	"2"	"400"	"117"	"3"	"40"	"4"	"92"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"15"	"10"	"0"	"281"	"281"	"1"	"0"
"9012"	"4"	"8"	"7"	"2"	"396"	"99"	"1"	"43"	"6"	"105"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"16"	"12"	"0"	"283"	"283"	"1"	"0"
"9013"	"4"	"8"	"7"	"2"	"396"	"134"	"8"	"28"	"3"	"128"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"13"	"10"	"0"	"324"	"324"	"1"	"0"
"9014"	"4"	"8"	"7"	"2"	"400"	"136"	"14"	"25"	"9"	"114"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"27"	"9"	"0"	"334"	"334"	"1"	"0"
"9015"	"4"	"8"	"7"	"2"	"400"	"125"	"11"	"58"	"4"	"83"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"15"	"16"	"0"	"315"	"315"	"1"	"2"
"9016"	"4"	"8"	"7"	"2"	"400"	"106"	"14"	"25"	"3"	"129"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"9"	"3"	"0"	"289"	"289"	"1"	"0"
"9017"	"4"	"8"	"7"	"2"	"398"	"113"	"9"	"64"	"8"	"59"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"12"	"3"	"0"	"270"	"270"	"1"	"0"
"9018"	"4"	"8"	"7"	"2"	"400"	"149"	"12"	"38"	"11"	"69"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"12"	"11"	"0"	"302"	"302"	"1"	"0"
"9019"	"4"	"8"	"7"	"2"	"400"	"137"	"1"	"49"	"7"	"74"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"18"	"13"	"0"	"299"	"299"	"1"	"0"
"9020"	"4"	"8"	"7"	"2"	"400"	"113"	"13"	"41"	"16"	"89"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"8"	"22"	"0"	"305"	"305"	"1"	"0"
