"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"WINAQ"	"VAMOS"	"CREO"	"SEMILLA"	"UNIONISTA"	"VIVA"	"VALOR"	"PC"	"UNIDOS"	"AVANZA"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5004"	"4"	"2"	"11"	"2"	"400"	"61"	"27"	"6"	"23"	"20"	"7"	"30"	"17"	"3"	"36"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"6"	"4"	"0"	"253"	"253"	"1"	"0"
"5005"	"4"	"2"	"11"	"2"	"400"	"46"	"37"	"5"	"15"	"25"	"5"	"60"	"20"	"8"	"37"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"4"	"3"	"0"	"275"	"275"	"1"	"0"
"5006"	"4"	"2"	"11"	"2"	"400"	"47"	"29"	"3"	"18"	"31"	"3"	"47"	"16"	"7"	"35"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"4"	"4"	"0"	"256"	"256"	"1"	"0"
"5007"	"4"	"2"	"11"	"2"	"400"	"48"	"43"	"2"	"14"	"22"	"3"	"33"	"15"	"6"	"39"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"4"	"5"	"0"	"248"	"248"	"1"	"1"
"5008"	"4"	"2"	"11"	"2"	"400"	"71"	"30"	"3"	"25"	"23"	"3"	"51"	"8"	"7"	"38"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"3"	"7"	"0"	"274"	"274"	"1"	"0"
"5009"	"4"	"2"	"11"	"2"	"400"	"42"	"33"	"2"	"14"	"19"	"6"	"59"	"13"	"9"	"39"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"6"	"11"	"0"	"259"	"259"	"1"	"1"
"5010"	"4"	"2"	"11"	"2"	"400"	"65"	"28"	"7"	"14"	"22"	"4"	"61"	"16"	"12"	"26"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"10"	"3"	"0"	"273"	"273"	"1"	"0"
"5011"	"4"	"2"	"11"	"2"	"393"	"55"	"41"	"5"	"21"	"15"	"2"	"53"	"8"	"12"	"28"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"4"	"13"	"0"	"270"	"270"	"1"	"0"
"5012"	"4"	"2"	"11"	"2"	"400"	"54"	"32"	"6"	"21"	"24"	"4"	"44"	"7"	"6"	"24"	"15"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"3"	"9"	"0"	"250"	"250"	"1"	"0"
"5013"	"4"	"2"	"11"	"2"	"400"	"60"	"30"	"1"	"13"	"22"	"6"	"54"	"15"	"3"	"32"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"2"	"6"	"0"	"261"	"261"	"1"	"0"
