"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"FCN_NACION"	"SEMILLA"	"VICTORIA"	"MLP"	"TODOS"	"PC"	"VALOR"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7704"	"4"	"6"	"10"	"2"	"400"	"14"	"71"	"43"	"63"	"5"	"11"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"7"	"3"	"0"	"221"	"221"	"1"	"2"
"7705"	"4"	"6"	"10"	"2"	"388"	"16"	"63"	"50"	"70"	"6"	"10"	"15"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"7"	"6"	"0"	"253"	"253"	"1"	"0"
"7706"	"4"	"6"	"10"	"2"	"400"	"18"	"82"	"47"	"74"	"4"	"8"	"11"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"17"	"3"	"0"	"272"	"272"	"1"	"0"
"7707"	"4"	"6"	"10"	"2"	"400"	"19"	"72"	"52"	"69"	"13"	"5"	"5"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"12"	"5"	"0"	"259"	"259"	"1"	"0"
"7708"	"4"	"6"	"10"	"2"	"400"	"18"	"71"	"74"	"63"	"4"	"5"	"9"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"15"	"6"	"0"	"269"	"269"	"1"	"0"
"7709"	"4"	"6"	"10"	"2"	"396"	"26"	"65"	"63"	"63"	"6"	"10"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"15"	"8"	"0"	"264"	"264"	"1"	"0"
"7710"	"4"	"6"	"10"	"2"	"400"	"18"	"58"	"94"	"50"	"10"	"6"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"15"	"6"	"0"	"270"	"270"	"1"	"0"
"7711"	"4"	"6"	"10"	"2"	"396"	"23"	"60"	"65"	"72"	"11"	"4"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"13"	"10"	"0"	"266"	"266"	"1"	"0"
"7712"	"4"	"6"	"10"	"2"	"400"	"21"	"66"	"40"	"80"	"10"	"13"	"3"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"16"	"14"	"0"	"276"	"276"	"1"	"0"
"7713"	"4"	"6"	"10"	"2"	"396"	"10"	"54"	"55"	"68"	"13"	"10"	"5"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"10"	"7"	"0"	"245"	"245"	"1"	"0"
"7714"	"4"	"6"	"10"	"2"	"400"	"19"	"78"	"65"	"62"	"9"	"4"	"5"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"23"	"7"	"0"	"277"	"277"	"1"	"0"
"7715"	"4"	"6"	"10"	"2"	"400"	"15"	"54"	"70"	"64"	"29"	"11"	"4"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"15"	"8"	"0"	"277"	"277"	"1"	"0"
"7716"	"4"	"6"	"10"	"2"	"400"	"12"	"61"	"71"	"61"	"11"	"7"	"3"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"21"	"7"	"0"	"261"	"261"	"1"	"0"
"7717"	"4"	"6"	"10"	"2"	"396"	"10"	"61"	"61"	"77"	"10"	"8"	"2"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"11"	"7"	"0"	"256"	"256"	"1"	"0"
"7718"	"4"	"6"	"10"	"2"	"396"	"16"	"62"	"61"	"83"	"7"	"5"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"11"	"7"	"0"	"264"	"264"	"1"	"0"
"7719"	"4"	"6"	"10"	"2"	"400"	"18"	"86"	"43"	"64"	"7"	"9"	"10"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"23"	"12"	"0"	"278"	"278"	"1"	"0"
"7720"	"4"	"6"	"10"	"2"	"400"	"9"	"79"	"119"	"58"	"6"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"10"	"5"	"0"	"290"	"290"	"1"	"0"
"7721"	"4"	"6"	"10"	"2"	"400"	"3"	"63"	"120"	"63"	"11"	"7"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"16"	"2"	"0"	"290"	"290"	"1"	"0"
"7722"	"4"	"6"	"10"	"2"	"400"	"13"	"53"	"57"	"59"	"6"	"2"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"2"	"0"	"0"	"198"	"198"	"1"	"0"
