"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"UCN"	"VALOR"	"VAMOS"	"AVANZA"	"CCS"	"EG"	"FCN_NACION"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7420"	"4"	"6"	"3"	"2"	"399"	"52"	"25"	"30"	"52"	"0"	"42"	"5"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"6"	"5"	"0"	"234"	"234"	"1"	"0"
"7421"	"4"	"6"	"3"	"2"	"401"	"66"	"29"	"26"	"54"	"1"	"51"	"11"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"6"	"4"	"1"	"268"	"268"	"1"	"0"
"7422"	"4"	"6"	"3"	"2"	"400"	"50"	"12"	"55"	"44"	"3"	"63"	"10"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"7"	"3"	"0"	"259"	"259"	"1"	"0"
"7423"	"4"	"6"	"3"	"2"	"400"	"38"	"18"	"66"	"37"	"0"	"59"	"4"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"17"	"6"	"0"	"262"	"262"	"1"	"0"
"7424"	"4"	"6"	"3"	"2"	"400"	"48"	"20"	"29"	"65"	"0"	"71"	"3"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"12"	"2"	"0"	"267"	"267"	"1"	"0"
"7425"	"4"	"6"	"3"	"2"	"400"	"65"	"37"	"18"	"67"	"1"	"56"	"11"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"9"	"1"	"0"	"276"	"276"	"1"	"0"
"7426"	"4"	"6"	"3"	"2"	"400"	"50"	"31"	"29"	"75"	"0"	"43"	"6"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"4"	"3"	"0"	"253"	"253"	"1"	"0"
"7427"	"4"	"6"	"3"	"2"	"400"	"46"	"35"	"24"	"51"	"2"	"38"	"4"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"6"	"2"	"0"	"223"	"223"	"1"	"0"
"7428"	"4"	"6"	"3"	"2"	"400"	"52"	"23"	"32"	"54"	"0"	"28"	"8"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"7"	"0"	"0"	"221"	"221"	"1"	"0"
"7429"	"4"	"6"	"3"	"2"	"400"	"47"	"20"	"26"	"48"	"1"	"37"	"8"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"2"	"4"	"0"	"206"	"206"	"1"	"0"
"7430"	"4"	"6"	"3"	"2"	"205"	"37"	"11"	"14"	"37"	"0"	"34"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"143"	"143"	"0"	"0"	"0"	"143"	"143"	"1"	"0"
"7431"	"4"	"6"	"3"	"2"	"204"	"32"	"17"	"11"	"36"	"0"	"27"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"134"	"134"	"4"	"0"	"0"	"138"	"138"	"1"	"0"
"7432"	"4"	"6"	"3"	"2"	"380"	"48"	"40"	"20"	"16"	"0"	"83"	"3"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"12"	"1"	"0"	"252"	"252"	"1"	"0"
"7433"	"4"	"6"	"3"	"2"	"380"	"27"	"40"	"38"	"11"	"2"	"100"	"2"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"21"	"2"	"0"	"268"	"268"	"1"	"0"
"7434"	"4"	"6"	"3"	"2"	"376"	"43"	"52"	"38"	"13"	"1"	"95"	"3"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"6"	"2"	"0"	"269"	"269"	"1"	"1"
"7435"	"4"	"6"	"3"	"2"	"380"	"27"	"51"	"40"	"7"	"0"	"75"	"1"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"8"	"1"	"0"	"233"	"233"	"1"	"0"
"7436"	"4"	"6"	"3"	"2"	"380"	"35"	"45"	"28"	"12"	"0"	"67"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"4"	"2"	"0"	"203"	"203"	"1"	"0"
"7437"	"4"	"6"	"3"	"2"	"202"	"20"	"27"	"18"	"4"	"0"	"37"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"110"	"110"	"0"	"0"	"0"	"110"	"110"	"1"	"0"
