"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"URNG_MAIZ"	"TODOS"	"PODEMOS"	"FUERZA"	"PHG"	"FCN_NACION"	"UNE"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8438"	"4"	"7"	"19"	"2"	"400"	"124"	"2"	"92"	"87"	"8"	"19"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"339"	"339"	"6"	"3"	"0"	"348"	"348"	"1"	"0"
"8439"	"4"	"7"	"19"	"2"	"400"	"138"	"2"	"85"	"81"	"3"	"17"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"334"	"334"	"5"	"3"	"0"	"342"	"342"	"1"	"0"
"8440"	"4"	"7"	"19"	"2"	"400"	"152"	"2"	"78"	"67"	"9"	"17"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"332"	"332"	"8"	"3"	"0"	"343"	"343"	"1"	"0"
"8441"	"4"	"7"	"19"	"2"	"400"	"141"	"2"	"74"	"74"	"9"	"23"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"329"	"329"	"6"	"6"	"0"	"341"	"341"	"1"	"0"
"8442"	"4"	"7"	"19"	"2"	"400"	"157"	"1"	"84"	"68"	"2"	"16"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"334"	"334"	"7"	"5"	"0"	"346"	"346"	"1"	"0"
"8443"	"4"	"7"	"19"	"2"	"400"	"145"	"2"	"78"	"82"	"3"	"27"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"342"	"342"	"6"	"2"	"0"	"350"	"350"	"1"	"0"
"8444"	"4"	"7"	"19"	"2"	"400"	"154"	"2"	"69"	"83"	"6"	"14"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"331"	"334"	"12"	"9"	"0"	"355"	"355"	"0"	"0"
"8445"	"4"	"7"	"19"	"2"	"400"	"137"	"2"	"77"	"89"	"7"	"18"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"337"	"337"	"4"	"4"	"0"	"345"	"345"	"1"	"0"
"8446"	"4"	"7"	"19"	"2"	"400"	"144"	"1"	"72"	"84"	"3"	"20"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"331"	"331"	"4"	"3"	"0"	"338"	"338"	"1"	"0"
"8447"	"4"	"7"	"19"	"2"	"400"	"138"	"3"	"65"	"111"	"4"	"19"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"347"	"347"	"8"	"3"	"0"	"358"	"358"	"1"	"0"
"8448"	"4"	"7"	"19"	"2"	"399"	"135"	"3"	"78"	"89"	"4"	"25"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"336"	"336"	"8"	"5"	"0"	"349"	"349"	"1"	"0"
"8449"	"4"	"7"	"19"	"2"	"400"	"136"	"0"	"90"	"95"	"4"	"20"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"347"	"347"	"8"	"5"	"0"	"360"	"360"	"1"	"0"
"8450"	"4"	"7"	"19"	"2"	"400"	"122"	"2"	"57"	"114"	"2"	"17"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"319"	"319"	"21"	"10"	"0"	"350"	"350"	"1"	"0"
"8451"	"4"	"7"	"19"	"2"	"400"	"122"	"6"	"86"	"92"	"5"	"17"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"333"	"333"	"13"	"5"	"0"	"351"	"351"	"1"	"0"
