"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"MLP"	"UCN"	"UNIONISTA"	"CNC"	"URNG_MAIZ"	"SEMILLA"	"TODOS"	"FCN_NACION"	"BIEN"	"PODEMOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10431"	"4"	"10"	"6"	"2"	"397"	"31"	"27"	"73"	"1"	"17"	"8"	"1"	"11"	"5"	"8"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"203"	"13"	"4"	"1"	"239"	"220"	"0"	"0"
"10432"	"4"	"10"	"6"	"2"	"400"	"27"	"38"	"79"	"1"	"9"	"7"	"1"	"8"	"11"	"21"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"13"	"6"	"0"	"235"	"235"	"1"	"0"
"10433"	"4"	"10"	"6"	"2"	"401"	"27"	"40"	"88"	"0"	"12"	"8"	"2"	"7"	"10"	"18"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"15"	"6"	"0"	"249"	"249"	"1"	"0"
"10434"	"4"	"10"	"6"	"2"	"400"	"37"	"41"	"83"	"3"	"14"	"16"	"2"	"9"	"8"	"13"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"242"	"11"	"3"	"1"	"156"	"256"	"0"	"0"
"10435"	"4"	"10"	"6"	"2"	"400"	"34"	"50"	"100"	"1"	"5"	"13"	"2"	"11"	"7"	"4"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"23"	"7"	"0"	"288"	"288"	"1"	"0"
"10436"	"4"	"10"	"6"	"2"	"405"	"50"	"48"	"99"	"1"	"11"	"14"	"2"	"10"	"12"	"7"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"27"	"4"	"0"	"308"	"308"	"1"	"0"
"10437"	"4"	"10"	"6"	"2"	"400"	"48"	"68"	"102"	"1"	"4"	"18"	"1"	"7"	"5"	"8"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"22"	"6"	"0"	"314"	"314"	"1"	"0"
"10438"	"4"	"10"	"6"	"2"	"400"	"39"	"53"	"91"	"1"	"8"	"15"	"2"	"11"	"13"	"12"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"19"	"6"	"0"	"293"	"293"	"1"	"0"
"10439"	"4"	"10"	"6"	"2"	"399"	"27"	"47"	"112"	"4"	"5"	"13"	"3"	"10"	"10"	"10"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"19"	"7"	"0"	"284"	"284"	"1"	"0"
"10440"	"4"	"10"	"6"	"2"	"400"	"21"	"42"	"105"	"1"	"10"	"11"	"4"	"5"	"6"	"13"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"8"	"1"	"1"	"244"	"244"	"1"	"0"
"10441"	"4"	"10"	"6"	"2"	"400"	"19"	"50"	"73"	"1"	"9"	"10"	"1"	"10"	"7"	"7"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"4"	"5"	"0"	"218"	"218"	"1"	"0"
"10442"	"4"	"10"	"6"	"2"	"397"	"26"	"41"	"80"	"0"	"7"	"8"	"4"	"16"	"6"	"14"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"13"	"4"	"0"	"234"	"234"	"1"	"0"
"10443"	"4"	"10"	"6"	"2"	"400"	"28"	"43"	"89"	"4"	"9"	"8"	"4"	"14"	"11"	"12"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"13"	"2"	"0"	"248"	"248"	"1"	"0"
"10444"	"4"	"10"	"6"	"2"	"400"	"26"	"36"	"83"	"0"	"8"	"21"	"2"	"6"	"8"	"16"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"24"	"6"	"0"	"264"	"264"	"1"	"0"
"10445"	"4"	"10"	"6"	"2"	"400"	"22"	"41"	"79"	"3"	"10"	"16"	"1"	"9"	"6"	"9"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"16"	"6"	"0"	"235"	"235"	"1"	"0"
"10446"	"4"	"10"	"6"	"2"	"396"	"23"	"46"	"83"	"3"	"11"	"10"	"2"	"13"	"9"	"12"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"5"	"6"	"0"	"255"	"255"	"1"	"0"
