"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FUERZA"	"PHG"	"VIVA"	"SEMILLA"	"TODOS"	"CREO"	"PODEMOS"	"FCN_NACION"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10838"	"4"	"10"	"17"	"2"	"396"	"44"	"24"	"4"	"8"	"85"	"61"	"24"	"5"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"15"	"2"	"0"	"311"	"311"	"1"	"0"
"10839"	"4"	"10"	"17"	"2"	"401"	"60"	"21"	"9"	"10"	"78"	"60"	"32"	"6"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"14"	"3"	"0"	"335"	"335"	"1"	"0"
"10840"	"4"	"10"	"17"	"2"	"399"	"50"	"29"	"10"	"4"	"85"	"44"	"29"	"7"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"16"	"4"	"0"	"320"	"320"	"1"	"0"
"10841"	"4"	"10"	"17"	"2"	"400"	"53"	"37"	"6"	"7"	"83"	"37"	"38"	"9"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"315"	"315"	"12"	"2"	"0"	"329"	"329"	"1"	"0"
"10842"	"4"	"10"	"17"	"2"	"400"	"48"	"40"	"6"	"1"	"87"	"29"	"33"	"7"	"58"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"14"	"6"	"0"	"329"	"329"	"1"	"0"
"10843"	"4"	"10"	"17"	"2"	"397"	"63"	"34"	"3"	"14"	"83"	"33"	"37"	"14"	"52"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"333"	"333"	"11"	"7"	"0"	"351"	"351"	"1"	"0"
"10844"	"4"	"10"	"17"	"2"	"396"	"48"	"34"	"7"	"9"	"73"	"50"	"36"	"10"	"50"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"317"	"317"	"10"	"7"	"0"	"334"	"334"	"1"	"0"
"10845"	"4"	"10"	"17"	"2"	"397"	"33"	"34"	"9"	"10"	"99"	"44"	"40"	"13"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"324"	"324"	"6"	"8"	"0"	"338"	"338"	"1"	"0"
"10846"	"4"	"10"	"17"	"2"	"400"	"52"	"30"	"20"	"2"	"97"	"34"	"23"	"5"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"13"	"6"	"0"	"312"	"312"	"1"	"0"
"10847"	"4"	"10"	"17"	"2"	"400"	"51"	"26"	"3"	"1"	"77"	"44"	"37"	"3"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"8"	"1"	"0"	"294"	"294"	"1"	"0"
"10848"	"4"	"10"	"17"	"2"	"397"	"47"	"17"	"8"	"12"	"91"	"44"	"25"	"4"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"9"	"5"	"0"	"300"	"300"	"1"	"0"
"10849"	"4"	"10"	"17"	"2"	"396"	"44"	"11"	"6"	"6"	"89"	"46"	"24"	"8"	"40"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"4"	"4"	"1"	"282"	"282"	"1"	"0"
"10850"	"4"	"10"	"17"	"2"	"400"	"58"	"25"	"10"	"5"	"79"	"55"	"35"	"7"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"4"	"3"	"1"	"314"	"314"	"1"	"0"
"10851"	"4"	"10"	"17"	"2"	"397"	"39"	"26"	"6"	"8"	"71"	"56"	"27"	"4"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"12"	"5"	"0"	"295"	"295"	"1"	"0"
"10852"	"4"	"10"	"17"	"2"	"398"	"43"	"28"	"12"	"12"	"71"	"47"	"25"	"14"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"7"	"3"	"1"	"304"	"304"	"1"	"0"
"10853"	"4"	"10"	"17"	"2"	"347"	"42"	"43"	"13"	"8"	"80"	"35"	"34"	"4"	"50"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"1"	"1"	"0"	"311"	"311"	"1"	"0"
"10854"	"4"	"10"	"17"	"2"	"347"	"33"	"28"	"5"	"10"	"65"	"27"	"33"	"6"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"6"	"1"	"0"	"259"	"259"	"1"	"0"
"10855"	"4"	"10"	"17"	"2"	"396"	"45"	"7"	"5"	"2"	"74"	"13"	"81"	"3"	"55"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"11"	"4"	"0"	"300"	"300"	"1"	"0"
"10856"	"4"	"10"	"17"	"2"	"260"	"31"	"6"	"3"	"2"	"42"	"12"	"31"	"2"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"6"	"3"	"0"	"170"	"170"	"1"	"0"
"10857"	"4"	"10"	"17"	"2"	"259"	"26"	"5"	"1"	"1"	"35"	"13"	"47"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"144"	"2"	"3"	"1"	"149"	"149"	"1"	"0"
