"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CONVERGENCIA"	"VAMOS"	"FUERZA"	"BIEN"	"PC"	"PHG"	"C_C_I_H_"	"PODEMOS"	"AVANZA"	"UCN"	"VALOR"	"MLP"	"TODOS"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5818"	"4"	"3"	"13"	"2"	"396"	"4"	"14"	"3"	"41"	"55"	"14"	"87"	"18"	"16"	"6"	"4"	"7"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"8"	"6"	"0"	"293"	"293"	"1"	"0"
"5819"	"4"	"3"	"13"	"2"	"400"	"8"	"20"	"1"	"30"	"53"	"9"	"84"	"18"	"15"	"7"	"3"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"15"	"3"	"0"	"278"	"278"	"1"	"0"
"5820"	"4"	"3"	"13"	"2"	"400"	"9"	"18"	"5"	"46"	"45"	"16"	"91"	"25"	"11"	"9"	"6"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"7"	"8"	"0"	"308"	"308"	"1"	"0"
"5821"	"4"	"3"	"13"	"2"	"402"	"6"	"18"	"2"	"43"	"45"	"17"	"95"	"23"	"10"	"10"	"2"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"13"	"6"	"0"	"304"	"304"	"1"	"0"
"5822"	"4"	"3"	"13"	"2"	"400"	"9"	"15"	"0"	"36"	"47"	"17"	"87"	"29"	"10"	"12"	"2"	"3"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"4"	"9"	"0"	"294"	"294"	"1"	"0"
"5823"	"4"	"3"	"13"	"2"	"400"	"5"	"19"	"3"	"36"	"56"	"11"	"88"	"23"	"15"	"8"	"2"	"6"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"6"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"14"	"9"	"0"	"306"	"306"	"1"	"0"
"5824"	"4"	"3"	"13"	"2"	"400"	"10"	"15"	"3"	"34"	"51"	"16"	"88"	"28"	"11"	"6"	"4"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"13"	"7"	"0"	"300"	"300"	"1"	"0"
"5825"	"4"	"3"	"13"	"2"	"400"	"8"	"22"	"4"	"33"	"50"	"19"	"89"	"26"	"9"	"5"	"2"	"4"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"5"	"4"	"0"	"291"	"291"	"1"	"0"
"5826"	"4"	"3"	"13"	"2"	"400"	"4"	"18"	"3"	"28"	"58"	"12"	"97"	"21"	"7"	"7"	"2"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"11"	"7"	"0"	"286"	"286"	"1"	"0"
"5827"	"4"	"3"	"13"	"2"	"394"	"12"	"15"	"1"	"32"	"39"	"19"	"82"	"22"	"10"	"9"	"3"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"15"	"5"	"0"	"276"	"276"	"1"	"0"
