"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"VAMOS"	"CONVERGENCIA"	"PHG"	"VIVA"	"PPT"	"SEMILLA"	"BIEN"	"PC"	"MLP"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8791"	"4"	"8"	"4"	"2"	"400"	"6"	"44"	"15"	"2"	"100"	"3"	"4"	"54"	"16"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"7"	"9"	"0"	"267"	"267"	"1"	"0"
"8792"	"4"	"8"	"4"	"2"	"396"	"4"	"45"	"15"	"5"	"116"	"0"	"2"	"45"	"29"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"271"	"17"	"9"	"0"	"297"	"297"	"0"	"0"
"8793"	"4"	"8"	"4"	"2"	"396"	"6"	"52"	"6"	"1"	"116"	"4"	"1"	"65"	"14"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"18"	"8"	"0"	"299"	"299"	"1"	"0"
"8794"	"4"	"8"	"4"	"2"	"396"	"2"	"62"	"18"	"2"	"140"	"4"	"5"	"58"	"3"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"6"	"3"	"0"	"308"	"308"	"1"	"0"
"8795"	"4"	"8"	"4"	"2"	"400"	"4"	"55"	"14"	"4"	"140"	"2"	"2"	"72"	"3"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"5"	"8"	"0"	"315"	"315"	"1"	"0"
"8796"	"4"	"8"	"4"	"2"	"400"	"6"	"39"	"12"	"2"	"136"	"0"	"2"	"66"	"4"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"16"	"10"	"0"	"299"	"299"	"1"	"0"
"8797"	"4"	"8"	"4"	"2"	"400"	"5"	"24"	"19"	"3"	"118"	"4"	"2"	"53"	"8"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"2"	"0"	"0"	"246"	"246"	"1"	"0"
"8798"	"4"	"8"	"4"	"2"	"399"	"1"	"35"	"19"	"2"	"123"	"4"	"5"	"64"	"14"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"6"	"2"	"0"	"281"	"281"	"1"	"0"
"8799"	"4"	"8"	"4"	"2"	"327"	"7"	"26"	"17"	"1"	"86"	"8"	"6"	"43"	"15"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"6"	"3"	"0"	"225"	"225"	"1"	"0"
"8800"	"4"	"8"	"4"	"2"	"327"	"5"	"34"	"13"	"1"	"106"	"4"	"2"	"57"	"8"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"1"	"1"	"0"	"236"	"236"	"1"	"0"
"8801"	"4"	"8"	"4"	"2"	"378"	"6"	"60"	"85"	"11"	"50"	"9"	"1"	"4"	"53"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"15"	"8"	"0"	"310"	"310"	"1"	"0"
"8802"	"4"	"8"	"4"	"2"	"380"	"4"	"60"	"86"	"12"	"55"	"5"	"2"	"6"	"57"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"14"	"11"	"0"	"318"	"318"	"1"	"0"
"8803"	"4"	"8"	"4"	"2"	"380"	"5"	"63"	"80"	"5"	"52"	"10"	"4"	"3"	"75"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"9"	"18"	"0"	"331"	"331"	"1"	"0"
"8804"	"4"	"8"	"4"	"2"	"375"	"2"	"61"	"65"	"4"	"62"	"7"	"4"	"4"	"71"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"13"	"16"	"0"	"317"	"317"	"1"	"0"
"8805"	"4"	"8"	"4"	"2"	"393"	"3"	"68"	"78"	"6"	"57"	"10"	"3"	"5"	"46"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"4"	"3"	"0"	"286"	"286"	"1"	"0"
