"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"UNE"	"CONVERGENCIA"	"FUERZA"	"CCTU"	"CREO"	"VAMOS"	"UNIONISTA"	"FCN_NACION"	"UCN"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14143"	"4"	"13"	"24"	"2"	"395"	"62"	"31"	"13"	"5"	"19"	"51"	"7"	"10"	"20"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"8"	"5"	"0"	"234"	"234"	"1"	"0"
"14144"	"4"	"13"	"24"	"2"	"397"	"78"	"24"	"10"	"5"	"17"	"75"	"1"	"4"	"22"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"10"	"4"	"0"	"254"	"254"	"1"	"0"
"14145"	"4"	"13"	"24"	"2"	"396"	"58"	"21"	"10"	"7"	"30"	"58"	"5"	"5"	"27"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"10"	"6"	"0"	"242"	"242"	"1"	"0"
"14146"	"4"	"13"	"24"	"2"	"396"	"78"	"21"	"15"	"5"	"19"	"85"	"4"	"3"	"20"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"10"	"3"	"0"	"264"	"264"	"1"	"0"
"14147"	"4"	"13"	"24"	"2"	"396"	"73"	"24"	"25"	"7"	"31"	"69"	"2"	"2"	"24"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"8"	"5"	"0"	"273"	"273"	"1"	"0"
"14148"	"4"	"13"	"24"	"2"	"400"	"49"	"18"	"18"	"8"	"25"	"107"	"2"	"4"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"10"	"10"	"0"	"262"	"262"	"1"	"0"
"14149"	"4"	"13"	"24"	"2"	"400"	"53"	"16"	"8"	"3"	"41"	"109"	"2"	"2"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"4"	"5"	"0"	"253"	"253"	"1"	"0"
"14150"	"4"	"13"	"24"	"2"	"395"	"62"	"27"	"12"	"9"	"20"	"63"	"4"	"4"	"21"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"10"	"0"	"0"	"233"	"233"	"1"	"0"
"14151"	"4"	"13"	"24"	"2"	"400"	"46"	"32"	"11"	"7"	"19"	"81"	"1"	"9"	"23"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"5"	"4"	"0"	"242"	"242"	"1"	"0"
"14152"	"4"	"13"	"24"	"2"	"396"	"63"	"30"	"17"	"7"	"16"	"71"	"1"	"5"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"5"	"5"	"0"	"237"	"237"	"1"	"0"
"14153"	"4"	"13"	"24"	"2"	"351"	"60"	"20"	"9"	"10"	"28"	"64"	"1"	"5"	"19"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"6"	"3"	"0"	"226"	"226"	"1"	"0"
"14154"	"4"	"13"	"24"	"2"	"247"	"68"	"21"	"13"	"6"	"20"	"63"	"1"	"1"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"1"	"3"	"0"	"218"	"218"	"1"	"0"
"14155"	"4"	"13"	"24"	"2"	"380"	"91"	"15"	"27"	"12"	"2"	"14"	"1"	"3"	"24"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"9"	"8"	"0"	"209"	"209"	"1"	"0"
"14156"	"4"	"13"	"24"	"2"	"376"	"107"	"10"	"12"	"14"	"4"	"11"	"1"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"16"	"7"	"0"	"194"	"194"	"1"	"0"
"14157"	"4"	"13"	"24"	"2"	"271"	"63"	"5"	"21"	"3"	"4"	"10"	"3"	"1"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"4"	"2"	"1"	"137"	"137"	"1"	"0"
"14158"	"4"	"13"	"24"	"2"	"270"	"63"	"10"	"14"	"2"	"2"	"5"	"1"	"1"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"106"	"106"	"7"	"7"	"0"	"120"	"120"	"1"	"0"
"14159"	"4"	"13"	"24"	"2"	"380"	"83"	"37"	"9"	"20"	"7"	"13"	"2"	"0"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"14"	"6"	"0"	"205"	"205"	"1"	"0"
"14160"	"4"	"13"	"24"	"2"	"380"	"81"	"40"	"1"	"33"	"4"	"27"	"0"	"0"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"10"	"5"	"0"	"213"	"213"	"1"	"0"
"14161"	"4"	"13"	"24"	"2"	"385"	"103"	"43"	"5"	"21"	"5"	"27"	"0"	"1"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"5"	"2"	"0"	"221"	"221"	"1"	"0"
"14162"	"4"	"13"	"24"	"2"	"353"	"83"	"29"	"3"	"20"	"3"	"22"	"1"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"6"	"5"	"0"	"182"	"182"	"1"	"0"
"14163"	"4"	"13"	"24"	"2"	"358"	"116"	"34"	"7"	"12"	"4"	"17"	"1"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"5"	"4"	"0"	"214"	"214"	"1"	"0"
"14164"	"4"	"13"	"24"	"2"	"480"	"64"	"29"	"13"	"17"	"16"	"43"	"4"	"0"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"7"	"3"	"0"	"210"	"210"	"1"	"0"
"14165"	"4"	"13"	"24"	"2"	"480"	"36"	"12"	"8"	"7"	"19"	"36"	"2"	"0"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"130"	"130"	"11"	"7"	"0"	"148"	"148"	"1"	"0"
