"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"WINAQ"	"VAMOS"	"UNE"	"FUERZA"	"PC"	"CREO"	"UCN"	"UNIONISTA"	"LIBRE"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8305"	"4"	"7"	"12"	"2"	"400"	"1"	"53"	"2"	"15"	"32"	"55"	"8"	"61"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"10"	"8"	"0"	"269"	"269"	"1"	"0"
"8306"	"4"	"7"	"12"	"2"	"400"	"2"	"36"	"2"	"31"	"42"	"60"	"5"	"85"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"9"	"9"	"0"	"326"	"326"	"1"	"0"
"8307"	"4"	"7"	"12"	"2"	"396"	"3"	"51"	"2"	"22"	"47"	"65"	"6"	"46"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"10"	"13"	"0"	"301"	"301"	"1"	"0"
"8308"	"4"	"7"	"12"	"2"	"396"	"6"	"52"	"4"	"20"	"63"	"74"	"7"	"51"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"311"	"311"	"9"	"7"	"0"	"327"	"327"	"1"	"0"
"8309"	"4"	"7"	"12"	"2"	"400"	"10"	"49"	"4"	"16"	"63"	"70"	"10"	"57"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"8"	"13"	"0"	"330"	"330"	"1"	"0"
"8310"	"4"	"7"	"12"	"2"	"396"	"1"	"49"	"1"	"18"	"51"	"60"	"8"	"47"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"7"	"7"	"0"	"288"	"288"	"1"	"0"
"8311"	"4"	"7"	"12"	"2"	"205"	"4"	"26"	"3"	"14"	"18"	"42"	"2"	"27"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"2"	"1"	"0"	"161"	"161"	"1"	"0"
"8312"	"4"	"7"	"12"	"2"	"204"	"1"	"25"	"1"	"11"	"32"	"34"	"8"	"27"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"0"	"2"	"0"	"168"	"168"	"1"	"0"
"8313"	"4"	"7"	"12"	"2"	"376"	"1"	"74"	"11"	"41"	"10"	"112"	"7"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"12"	"9"	"0"	"287"	"287"	"1"	"0"
"8314"	"4"	"7"	"12"	"2"	"380"	"1"	"64"	"13"	"35"	"14"	"125"	"2"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"11"	"7"	"0"	"283"	"283"	"1"	"0"
"8315"	"4"	"7"	"12"	"2"	"376"	"3"	"74"	"12"	"40"	"10"	"114"	"2"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"15"	"7"	"0"	"286"	"286"	"1"	"0"
