"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"PC"	"PHG"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15497"	"4"	"14"	"17"	"2"	"408"	"82"	"105"	"50"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"3"	"5"	"0"	"263"	"263"	"1"	"3"
"15498"	"4"	"14"	"17"	"2"	"400"	"92"	"130"	"35"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"2"	"6"	"0"	"303"	"303"	"1"	"0"
"15499"	"4"	"14"	"17"	"2"	"400"	"112"	"115"	"45"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"6"	"7"	"0"	"312"	"312"	"1"	"0"
"15500"	"4"	"14"	"17"	"2"	"400"	"127"	"114"	"45"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"4"	"14"	"0"	"325"	"325"	"1"	"1"
"15501"	"4"	"14"	"17"	"2"	"400"	"114"	"113"	"54"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"9"	"9"	"0"	"319"	"318"	"0"	"1"
"15502"	"4"	"14"	"17"	"2"	"400"	"140"	"98"	"64"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"5"	"4"	"0"	"329"	"329"	"1"	"0"
"15503"	"4"	"14"	"17"	"2"	"400"	"128"	"106"	"52"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"6"	"10"	"0"	"324"	"324"	"1"	"0"
"15504"	"4"	"14"	"17"	"2"	"399"	"106"	"113"	"61"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"317"	"317"	"2"	"6"	"0"	"325"	"325"	"1"	"0"
"15505"	"4"	"14"	"17"	"2"	"400"	"102"	"116"	"38"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"0"	"9"	"0"	"290"	"290"	"1"	"0"
"15506"	"4"	"14"	"17"	"2"	"400"	"93"	"94"	"52"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"5"	"3"	"0"	"267"	"267"	"1"	"0"
"15507"	"4"	"14"	"17"	"2"	"400"	"102"	"115"	"35"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"2"	"4"	"0"	"278"	"278"	"1"	"0"
"15508"	"4"	"14"	"17"	"2"	"400"	"112"	"114"	"41"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"5"	"4"	"0"	"303"	"303"	"1"	"0"
"15509"	"4"	"14"	"17"	"2"	"400"	"102"	"89"	"46"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"3"	"10"	"0"	"270"	"270"	"1"	"0"
"15510"	"4"	"14"	"17"	"2"	"400"	"94"	"112"	"45"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"3"	"7"	"0"	"288"	"288"	"1"	"0"
"15511"	"4"	"14"	"17"	"2"	"0"	"51"	"61"	"19"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"144"	"3"	"1"	"0"	"148"	"148"	"1"	"0"
"15512"	"4"	"14"	"17"	"2"	"225"	"59"	"46"	"32"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"1"	"3"	"0"	"154"	"154"	"1"	"0"
"15513"	"4"	"14"	"17"	"2"	"380"	"139"	"148"	"23"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"319"	"319"	"0"	"1"	"0"	"320"	"320"	"1"	"0"
"15514"	"4"	"14"	"17"	"2"	"319"	"96"	"156"	"10"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"0"	"3"	"0"	"269"	"269"	"1"	"1"
