"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"VALOR"	"WINAQ"	"FCN_NACION"	"PHG"	"UNE"	"UNIONISTA"	"URNG_MAIZ"	"BIEN"	"FUERZA"	"PODEMOS"	"AVANZA"	"CREO"	"MLP"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17584"	"4"	"17"	"3"	"2"	"400"	"12"	"3"	"6"	"14"	"16"	"110"	"1"	"2"	"51"	"5"	"1"	"10"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"14"	"3"	"0"	"259"	"259"	"1"	"0"
"17585"	"4"	"17"	"3"	"2"	"400"	"11"	"1"	"2"	"15"	"14"	"118"	"3"	"0"	"45"	"6"	"4"	"8"	"9"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"10"	"3"	"0"	"253"	"253"	"1"	"0"
"17586"	"4"	"17"	"3"	"2"	"400"	"6"	"3"	"3"	"17"	"15"	"100"	"1"	"1"	"65"	"6"	"4"	"11"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"11"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"12"	"2"	"0"	"257"	"257"	"1"	"0"
"17587"	"4"	"17"	"3"	"2"	"400"	"7"	"2"	"2"	"25"	"12"	"115"	"5"	"0"	"55"	"5"	"2"	"15"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"2"	"6"	"11"	"260"	"260"	"1"	"0"
"17588"	"4"	"17"	"3"	"2"	"400"	"9"	"2"	"1"	"27"	"9"	"114"	"4"	"0"	"48"	"13"	"4"	"10"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"8"	"8"	"1"	"271"	"271"	"1"	"0"
"17589"	"4"	"17"	"3"	"2"	"0"	"11"	"1"	"6"	"27"	"12"	"122"	"1"	"1"	"46"	"6"	"0"	"11"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"9"	"5"	"0"	"269"	"269"	"1"	"0"
"17590"	"4"	"17"	"3"	"2"	"400"	"5"	"4"	"4"	"28"	"14"	"114"	"2"	"1"	"74"	"10"	"2"	"8"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"8"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"10"	"6"	"0"	"296"	"296"	"1"	"0"
"17591"	"4"	"17"	"3"	"2"	"378"	"6"	"2"	"3"	"22"	"18"	"117"	"0"	"0"	"76"	"8"	"0"	"9"	"17"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"11"	"5"	"0"	"297"	"297"	"1"	"0"
"17592"	"4"	"17"	"3"	"2"	"400"	"8"	"3"	"1"	"24"	"7"	"120"	"1"	"1"	"59"	"7"	"2"	"5"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"12"	"3"	"0"	"263"	"263"	"1"	"0"
"17593"	"4"	"17"	"3"	"2"	"380"	"11"	"3"	"6"	"25"	"10"	"119"	"2"	"1"	"63"	"7"	"0"	"8"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"8"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"8"	"2"	"0"	"277"	"277"	"1"	"0"
