"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"FCN_NACION"	"EG"	"TODOS"	"UCN"	"UNE"	"VIVA"	"SEMILLA"	"PHG"	"CREO"	"UNIONISTA"	"VAMOS"	"BIEN"	"PODEMOS"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10393"	"4"	"10"	"4"	"2"	"400"	"89"	"7"	"32"	"7"	"23"	"48"	"12"	"7"	"7"	"3"	"0"	"14"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"14"	"3"	"0"	"273"	"273"	"1"	"0"
"10394"	"4"	"10"	"4"	"2"	"400"	"82"	"11"	"31"	"16"	"21"	"46"	"10"	"3"	"5"	"9"	"0"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"15"	"3"	"0"	"262"	"262"	"1"	"0"
"10395"	"4"	"10"	"4"	"2"	"400"	"82"	"10"	"44"	"13"	"27"	"52"	"14"	"7"	"2"	"2"	"0"	"8"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"14"	"1"	"0"	"286"	"286"	"1"	"2"
"10396"	"4"	"10"	"4"	"2"	"400"	"72"	"8"	"35"	"10"	"30"	"53"	"14"	"11"	"0"	"7"	"1"	"13"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"16"	"7"	"0"	"284"	"284"	"1"	"0"
"10397"	"4"	"10"	"4"	"2"	"400"	"85"	"9"	"37"	"9"	"31"	"39"	"9"	"3"	"0"	"8"	"1"	"12"	"5"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"14"	"7"	"0"	"277"	"277"	"1"	"0"
"10398"	"4"	"10"	"4"	"2"	"400"	"97"	"9"	"33"	"12"	"26"	"34"	"7"	"3"	"1"	"6"	"0"	"4"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"10"	"7"	"0"	"260"	"260"	"1"	"1"
"10399"	"4"	"10"	"4"	"2"	"400"	"90"	"12"	"27"	"15"	"21"	"42"	"22"	"5"	"2"	"5"	"0"	"5"	"4"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"17"	"5"	"0"	"281"	"281"	"1"	"1"
"10400"	"4"	"10"	"4"	"2"	"400"	"101"	"9"	"42"	"8"	"28"	"40"	"9"	"6"	"1"	"6"	"1"	"7"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"15"	"2"	"0"	"285"	"285"	"1"	"3"
"10401"	"4"	"10"	"4"	"2"	"400"	"108"	"18"	"40"	"14"	"20"	"40"	"15"	"8"	"1"	"4"	"1"	"6"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"24"	"8"	"0"	"319"	"319"	"1"	"2"
"10402"	"4"	"10"	"4"	"2"	"400"	"129"	"21"	"34"	"13"	"18"	"42"	"18"	"12"	"0"	"2"	"1"	"7"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"16"	"6"	"0"	"324"	"324"	"1"	"0"
