"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"URNG_MAIZ"	"MLP"	"FCN_NACION"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17787"	"4"	"17"	"6"	"2"	"400"	"93"	"5"	"10"	"162"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"8"	"4"	"0"	"282"	"282"	"1"	"0"
"17788"	"4"	"17"	"6"	"2"	"400"	"95"	"5"	"15"	"162"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"15"	"2"	"0"	"294"	"294"	"1"	"0"
"17789"	"4"	"17"	"6"	"2"	"400"	"85"	"4"	"13"	"164"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"266"	"10"	"4"	"0"	"280"	"280"	"0"	"0"
"17790"	"4"	"17"	"6"	"2"	"400"	"97"	"6"	"8"	"158"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"8"	"7"	"0"	"284"	"284"	"1"	"0"
"17791"	"4"	"17"	"6"	"2"	"400"	"109"	"3"	"19"	"160"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"7"	"7"	"0"	"305"	"305"	"1"	"0"
"17792"	"4"	"17"	"6"	"2"	"400"	"118"	"2"	"16"	"175"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"311"	"311"	"3"	"4"	"0"	"318"	"318"	"1"	"0"
"17793"	"4"	"17"	"6"	"2"	"400"	"82"	"3"	"13"	"210"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"8"	"2"	"0"	"318"	"318"	"1"	"1"
"17794"	"4"	"17"	"6"	"2"	"400"	"94"	"3"	"17"	"188"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"6"	"2"	"0"	"310"	"310"	"1"	"0"
"17795"	"4"	"17"	"6"	"2"	"400"	"84"	"3"	"9"	"164"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"3"	"5"	"0"	"268"	"268"	"1"	"0"
"17796"	"4"	"17"	"6"	"2"	"400"	"92"	"4"	"9"	"153"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"8"	"7"	"0"	"273"	"273"	"1"	"0"
"17797"	"4"	"17"	"6"	"2"	"400"	"84"	"2"	"15"	"173"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"8"	"3"	"0"	"285"	"285"	"1"	"1"
"17798"	"4"	"17"	"6"	"2"	"400"	"85"	"4"	"16"	"159"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"8"	"7"	"0"	"279"	"279"	"1"	"0"
"17799"	"4"	"17"	"6"	"2"	"400"	"81"	"3"	"17"	"164"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"8"	"6"	"0"	"279"	"279"	"1"	"0"
"17800"	"4"	"17"	"6"	"2"	"400"	"82"	"2"	"7"	"158"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"9"	"4"	"0"	"262"	"262"	"1"	"0"
"17801"	"4"	"17"	"6"	"2"	"400"	"91"	"5"	"9"	"155"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"10"	"5"	"0"	"275"	"275"	"1"	"0"
"17802"	"4"	"17"	"6"	"2"	"400"	"86"	"5"	"17"	"155"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"8"	"8"	"0"	"279"	"279"	"1"	"1"
"17803"	"4"	"17"	"6"	"2"	"400"	"73"	"3"	"10"	"191"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"3"	"1"	"0"	"281"	"281"	"1"	"0"
"17804"	"4"	"17"	"6"	"2"	"400"	"82"	"4"	"9"	"217"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"312"	"312"	"5"	"0"	"0"	"317"	"317"	"1"	"0"
"17805"	"4"	"17"	"6"	"2"	"270"	"61"	"5"	"2"	"143"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"2"	"1"	"0"	"214"	"214"	"1"	"0"
"17806"	"4"	"17"	"6"	"2"	"269"	"62"	"5"	"6"	"105"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"2"	"1"	"0"	"181"	"181"	"1"	"0"
"17807"	"4"	"17"	"6"	"2"	"380"	"64"	"4"	"19"	"147"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"13"	"6"	"0"	"253"	"253"	"1"	"0"
"17808"	"4"	"17"	"6"	"2"	"380"	"72"	"5"	"14"	"131"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"15"	"2"	"0"	"239"	"239"	"1"	"0"
"17809"	"4"	"17"	"6"	"2"	"380"	"55"	"2"	"20"	"134"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"15"	"10"	"0"	"236"	"236"	"1"	"0"
"17810"	"4"	"17"	"6"	"2"	"325"	"54"	"2"	"10"	"134"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"8"	"4"	"0"	"212"	"212"	"1"	"0"
"17811"	"4"	"17"	"6"	"2"	"324"	"55"	"6"	"11"	"150"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"4"	"3"	"0"	"229"	"229"	"1"	"0"
