"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"BIEN"	"VAMOS"	"VALOR"	"FUERZA"	"SEMILLA"	"EG"	"PHG"	"PODEMOS"	"PPT"	"FCN_NACION"	"MLP"	"UNIONISTA"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16013"	"4"	"15"	"7"	"2"	"396"	"19"	"59"	"12"	"25"	"51"	"8"	"12"	"11"	"12"	"6"	"1"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"13"	"6"	"19"	"244"	"244"	"1"	"0"
"16014"	"4"	"15"	"7"	"2"	"396"	"12"	"57"	"28"	"16"	"60"	"17"	"10"	"12"	"9"	"4"	"7"	"21"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"9"	"7"	"0"	"271"	"271"	"1"	"0"
"16015"	"4"	"15"	"7"	"2"	"396"	"10"	"67"	"31"	"15"	"44"	"8"	"19"	"15"	"13"	"4"	"2"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"16"	"4"	"0"	"260"	"260"	"1"	"0"
"16016"	"4"	"15"	"7"	"2"	"400"	"10"	"77"	"27"	"14"	"41"	"18"	"10"	"11"	"5"	"8"	"2"	"13"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"26"	"2"	"0"	"266"	"266"	"1"	"0"
"16017"	"4"	"15"	"7"	"2"	"396"	"25"	"68"	"27"	"31"	"53"	"11"	"5"	"10"	"3"	"4"	"0"	"13"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"13"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"16"	"3"	"0"	"271"	"271"	"1"	"0"
"16018"	"4"	"15"	"7"	"2"	"396"	"23"	"59"	"30"	"32"	"50"	"11"	"10"	"11"	"6"	"10"	"1"	"9"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"9"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"11"	"4"	"0"	"269"	"269"	"1"	"0"
"16019"	"4"	"15"	"7"	"2"	"396"	"14"	"55"	"21"	"17"	"57"	"16"	"7"	"10"	"12"	"14"	"2"	"10"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"10"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"7"	"0"	"0"	"246"	"246"	"1"	"0"
"16020"	"4"	"15"	"7"	"2"	"396"	"16"	"63"	"28"	"21"	"61"	"11"	"14"	"10"	"6"	"4"	"1"	"13"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"6"	"2"	"0"	"260"	"260"	"1"	"0"
"16021"	"4"	"15"	"7"	"2"	"400"	"21"	"42"	"18"	"17"	"67"	"16"	"5"	"12"	"7"	"10"	"0"	"12"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"5"	"4"	"0"	"239"	"239"	"1"	"0"
"16022"	"4"	"15"	"7"	"2"	"399"	"14"	"37"	"39"	"26"	"66"	"20"	"4"	"12"	"7"	"9"	"0"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"5"	"0"	"0"	"248"	"248"	"1"	"0"
"16023"	"4"	"15"	"7"	"2"	"395"	"21"	"53"	"44"	"9"	"33"	"18"	"17"	"17"	"5"	"5"	"4"	"10"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"11"	"4"	"0"	"264"	"264"	"1"	"0"
