"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VIVA"	"UNE"	"URNG_MAIZ"	"BIEN"	"VAMOS"	"FUERZA"	"LIBRE"	"UCN"	"PHG"	"UNIONISTA"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12710"	"4"	"12"	"24"	"2"	"400"	"0"	"23"	"7"	"29"	"29"	"15"	"3"	"48"	"70"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"7"	"13"	"0"	"253"	"253"	"1"	"0"
"12711"	"4"	"12"	"24"	"2"	"380"	"1"	"27"	"6"	"37"	"28"	"10"	"0"	"51"	"60"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"14"	"9"	"0"	"251"	"251"	"1"	"0"
"12712"	"4"	"12"	"24"	"2"	"400"	"1"	"25"	"1"	"37"	"36"	"16"	"0"	"57"	"49"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"15"	"7"	"0"	"254"	"254"	"1"	"0"
"12713"	"4"	"12"	"24"	"2"	"400"	"0"	"26"	"2"	"28"	"38"	"6"	"0"	"42"	"51"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"7"	"9"	"0"	"216"	"216"	"1"	"0"
"12714"	"4"	"12"	"24"	"2"	"400"	"0"	"24"	"3"	"21"	"24"	"1"	"2"	"47"	"67"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"12"	"13"	"0"	"222"	"222"	"1"	"0"
"12715"	"4"	"12"	"24"	"2"	"400"	"0"	"23"	"2"	"28"	"25"	"5"	"1"	"51"	"70"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"10"	"5"	"0"	"233"	"233"	"1"	"0"
"12716"	"4"	"12"	"24"	"2"	"357"	"1"	"18"	"4"	"21"	"29"	"5"	"1"	"56"	"59"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"6"	"4"	"0"	"214"	"214"	"1"	"0"
"12717"	"4"	"12"	"24"	"2"	"357"	"0"	"26"	"0"	"23"	"17"	"4"	"0"	"33"	"57"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"4"	"1"	"0"	"174"	"174"	"1"	"0"
"12718"	"4"	"12"	"24"	"2"	"400"	"1"	"48"	"7"	"19"	"16"	"14"	"0"	"54"	"37"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"20"	"15"	"0"	"244"	"244"	"1"	"0"
"12719"	"4"	"12"	"24"	"2"	"400"	"0"	"36"	"9"	"14"	"16"	"4"	"0"	"40"	"52"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"19"	"15"	"0"	"221"	"221"	"1"	"0"
