"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"UNE"	"UCN"	"BIEN"	"VALOR"	"FUERZA"	"VICTORIA"	"FCN_NACION"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"2002"	"4"	"1"	"3"	"2"	"400"	"12"	"13"	"81"	"8"	"70"	"28"	"4"	"23"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"10"	"2"	"0"	"279"	"279"	"1"	"0"
"2003"	"4"	"1"	"3"	"2"	"395"	"8"	"13"	"73"	"5"	"86"	"15"	"5"	"27"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"13"	"1"	"0"	"274"	"274"	"1"	"0"
"2004"	"4"	"1"	"3"	"2"	"400"	"15"	"13"	"75"	"6"	"43"	"28"	"10"	"22"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"8"	"3"	"0"	"248"	"248"	"1"	"0"
"2005"	"4"	"1"	"3"	"2"	"400"	"18"	"13"	"76"	"13"	"68"	"24"	"5"	"19"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"12"	"1"	"1"	"280"	"280"	"1"	"0"
"2006"	"4"	"1"	"3"	"2"	"400"	"14"	"3"	"75"	"6"	"86"	"20"	"10"	"19"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"11"	"3"	"0"	"279"	"279"	"1"	"0"
"2007"	"4"	"1"	"3"	"2"	"400"	"20"	"14"	"70"	"13"	"73"	"16"	"9"	"18"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"13"	"2"	"0"	"279"	"279"	"1"	"0"
"2008"	"4"	"1"	"3"	"2"	"398"	"10"	"19"	"85"	"11"	"61"	"18"	"4"	"17"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"9"	"4"	"0"	"271"	"271"	"1"	"0"
"2009"	"4"	"1"	"3"	"2"	"400"	"16"	"20"	"82"	"9"	"74"	"28"	"10"	"24"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"15"	"1"	"0"	"312"	"312"	"1"	"0"
"2010"	"4"	"1"	"3"	"2"	"396"	"11"	"20"	"80"	"7"	"60"	"23"	"5"	"22"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"13"	"3"	"0"	"277"	"277"	"1"	"0"
"2011"	"4"	"1"	"3"	"2"	"398"	"17"	"15"	"81"	"6"	"72"	"22"	"6"	"20"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"13"	"8"	"0"	"301"	"301"	"1"	"0"
"2012"	"4"	"1"	"3"	"2"	"400"	"14"	"14"	"97"	"6"	"81"	"27"	"9"	"17"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"13"	"3"	"0"	"302"	"302"	"1"	"0"
"2013"	"4"	"1"	"3"	"2"	"400"	"20"	"12"	"67"	"11"	"79"	"22"	"5"	"22"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"14"	"9"	"0"	"291"	"291"	"1"	"0"
"2014"	"4"	"1"	"3"	"2"	"400"	"19"	"16"	"67"	"8"	"71"	"26"	"8"	"13"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"6"	"2"	"0"	"266"	"266"	"1"	"0"
"2015"	"4"	"1"	"3"	"2"	"397"	"14"	"16"	"56"	"6"	"84"	"23"	"5"	"12"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"2"	"9"	"0"	"263"	"263"	"1"	"0"
"2016"	"4"	"1"	"3"	"2"	"397"	"20"	"5"	"60"	"8"	"59"	"20"	"5"	"27"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"15"	"4"	"0"	"251"	"251"	"1"	"0"
"2017"	"4"	"1"	"3"	"2"	"397"	"14"	"10"	"68"	"11"	"59"	"25"	"13"	"20"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"10"	"0"	"0"	"260"	"260"	"1"	"0"
"2018"	"4"	"1"	"3"	"2"	"397"	"11"	"14"	"82"	"12"	"63"	"24"	"7"	"20"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"13"	"0"	"0"	"267"	"267"	"1"	"0"
