"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"VICTORIA"	"CREO"	"VAMOS"	"VIVA"	"UNE"	"PHG"	"UNIDOS"	"PODEMOS"	"FCN_NACION"	"LIBRE"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5275"	"4"	"3"	"2"	"2"	"400"	"10"	"25"	"2"	"72"	"12"	"71"	"71"	"0"	"7"	"2"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"9"	"8"	"0"	"322"	"322"	"1"	"0"
"5276"	"4"	"3"	"2"	"2"	"400"	"14"	"15"	"7"	"105"	"16"	"64"	"56"	"0"	"3"	"20"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"336"	"336"	"4"	"14"	"0"	"354"	"354"	"1"	"0"
"5277"	"4"	"3"	"2"	"2"	"400"	"14"	"14"	"2"	"71"	"22"	"58"	"75"	"0"	"13"	"7"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"6"	"5"	"0"	"312"	"312"	"1"	"0"
"5278"	"4"	"3"	"2"	"2"	"400"	"13"	"11"	"5"	"75"	"12"	"72"	"58"	"2"	"30"	"1"	"44"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"323"	"323"	"3"	"10"	"0"	"336"	"336"	"1"	"0"
"5279"	"4"	"3"	"2"	"2"	"400"	"7"	"13"	"6"	"65"	"6"	"67"	"66"	"1"	"19"	"3"	"62"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"315"	"315"	"5"	"3"	"0"	"323"	"323"	"1"	"0"
"5280"	"4"	"3"	"2"	"2"	"400"	"6"	"13"	"5"	"93"	"17"	"62"	"66"	"1"	"6"	"3"	"47"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"319"	"319"	"6"	"5"	"0"	"330"	"330"	"1"	"0"
"5281"	"4"	"3"	"2"	"2"	"400"	"7"	"16"	"9"	"78"	"21"	"71"	"73"	"0"	"2"	"1"	"54"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"54"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"332"	"332"	"5"	"4"	"0"	"341"	"341"	"1"	"0"
"5282"	"4"	"3"	"2"	"2"	"400"	"7"	"14"	"9"	"82"	"16"	"67"	"74"	"0"	"2"	"2"	"59"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"332"	"332"	"7"	"0"	"0"	"339"	"339"	"1"	"0"
"5283"	"4"	"3"	"2"	"2"	"405"	"10"	"15"	"3"	"92"	"19"	"56"	"59"	"0"	"12"	"4"	"53"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"53"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"323"	"323"	"4"	"4"	"0"	"331"	"331"	"1"	"0"
"5284"	"4"	"3"	"2"	"2"	"400"	"28"	"17"	"6"	"76"	"16"	"50"	"55"	"2"	"9"	"2"	"59"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"10"	"7"	"0"	"337"	"337"	"1"	"0"
