"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UNE"	"UCN"	"FUERZA"	"TODOS"	"CONVERGENCIA"	"SEMILLA"	"VICTORIA"	"EG"	"MLP"	"BIEN"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14110"	"4"	"13"	"23"	"2"	"400"	"47"	"30"	"2"	"6"	"37"	"47"	"12"	"6"	"1"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"12"	"3"	"0"	"216"	"216"	"1"	"0"
"14111"	"4"	"13"	"23"	"2"	"400"	"35"	"19"	"1"	"9"	"33"	"68"	"9"	"4"	"0"	"20"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"22"	"6"	"0"	"229"	"229"	"1"	"0"
"14112"	"4"	"13"	"23"	"2"	"400"	"47"	"36"	"2"	"7"	"23"	"50"	"4"	"5"	"0"	"32"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"12"	"9"	"1"	"228"	"228"	"1"	"0"
"14113"	"4"	"13"	"23"	"2"	"400"	"51"	"34"	"2"	"12"	"24"	"69"	"16"	"5"	"0"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"12"	"6"	"0"	"249"	"249"	"1"	"0"
"14114"	"4"	"13"	"23"	"2"	"399"	"41"	"17"	"4"	"12"	"40"	"59"	"10"	"12"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"13"	"14"	"0"	"231"	"231"	"1"	"0"
"14115"	"4"	"13"	"23"	"2"	"400"	"52"	"22"	"6"	"14"	"28"	"61"	"11"	"11"	"0"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"5"	"11"	"0"	"234"	"234"	"1"	"0"
"14116"	"4"	"13"	"23"	"2"	"400"	"18"	"24"	"4"	"35"	"43"	"46"	"12"	"8"	"0"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"10"	"14"	"0"	"221"	"221"	"1"	"0"
"14117"	"4"	"13"	"23"	"2"	"400"	"30"	"36"	"5"	"15"	"22"	"29"	"8"	"3"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"4"	"2"	"0"	"160"	"160"	"1"	"0"
"14118"	"4"	"13"	"23"	"2"	"400"	"36"	"34"	"4"	"14"	"28"	"43"	"10"	"3"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"11"	"6"	"0"	"202"	"202"	"1"	"0"
"14119"	"4"	"13"	"23"	"2"	"400"	"33"	"22"	"2"	"13"	"28"	"44"	"20"	"8"	"1"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"10"	"6"	"0"	"200"	"200"	"1"	"0"
"14120"	"4"	"13"	"23"	"2"	"400"	"40"	"18"	"3"	"12"	"20"	"57"	"13"	"8"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"9"	"6"	"2"	"195"	"195"	"1"	"0"
