"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"WINAQ"	"UCN"	"VIVA"	"FUERZA"	"FCN_NACION"	"UNIONISTA"	"URNG_MAIZ"	"MLP"	"VAMOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17890"	"4"	"17"	"9"	"2"	"400"	"58"	"72"	"0"	"44"	"8"	"1"	"12"	"1"	"4"	"12"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"16"	"9"	"0"	"245"	"245"	"1"	"0"
"17891"	"4"	"17"	"9"	"2"	"398"	"83"	"90"	"0"	"56"	"5"	"8"	"11"	"0"	"5"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"10"	"7"	"0"	"286"	"286"	"1"	"0"
"17892"	"4"	"17"	"9"	"2"	"396"	"56"	"79"	"0"	"54"	"7"	"3"	"14"	"0"	"8"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"25"	"4"	"0"	"259"	"259"	"1"	"0"
"17893"	"4"	"17"	"9"	"2"	"400"	"60"	"68"	"1"	"70"	"8"	"4"	"18"	"1"	"8"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"17"	"11"	"0"	"274"	"274"	"1"	"0"
"17894"	"4"	"17"	"9"	"2"	"396"	"71"	"74"	"0"	"73"	"10"	"0"	"16"	"1"	"5"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"10"	"2"	"0"	"272"	"272"	"1"	"0"
"17895"	"4"	"17"	"9"	"2"	"400"	"73"	"78"	"0"	"77"	"7"	"3"	"19"	"1"	"5"	"8"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"13"	"4"	"0"	"293"	"293"	"1"	"0"
"17896"	"4"	"17"	"9"	"2"	"396"	"64"	"77"	"1"	"70"	"8"	"4"	"20"	"1"	"3"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"19"	"8"	"0"	"284"	"284"	"1"	"0"
"17897"	"4"	"17"	"9"	"2"	"400"	"60"	"81"	"0"	"67"	"4"	"1"	"12"	"1"	"4"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"6"	"4"	"0"	"248"	"248"	"1"	"0"
"17898"	"4"	"17"	"9"	"2"	"400"	"58"	"72"	"2"	"56"	"8"	"2"	"11"	"0"	"6"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"6"	"1"	"0"	"230"	"230"	"1"	"0"
"17899"	"4"	"17"	"9"	"2"	"396"	"66"	"78"	"2"	"55"	"7"	"1"	"13"	"0"	"5"	"12"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"10"	"3"	"0"	"255"	"255"	"1"	"0"
"17900"	"4"	"17"	"9"	"2"	"400"	"62"	"80"	"0"	"50"	"10"	"1"	"11"	"0"	"3"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"10"	"5"	"0"	"239"	"239"	"1"	"8"
"17901"	"4"	"17"	"9"	"2"	"400"	"64"	"82"	"1"	"49"	"11"	"0"	"17"	"2"	"6"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"16"	"3"	"0"	"260"	"260"	"1"	"0"
"17902"	"4"	"17"	"9"	"2"	"400"	"58"	"56"	"1"	"45"	"10"	"1"	"17"	"0"	"5"	"11"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"9"	"7"	"0"	"225"	"225"	"1"	"0"
"17903"	"4"	"17"	"9"	"2"	"400"	"54"	"64"	"1"	"52"	"8"	"4"	"18"	"0"	"4"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"22"	"6"	"0"	"245"	"245"	"1"	"0"
"17904"	"4"	"17"	"9"	"2"	"400"	"73"	"76"	"3"	"50"	"4"	"2"	"18"	"0"	"3"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"10"	"6"	"0"	"251"	"251"	"1"	"0"
"17905"	"4"	"17"	"9"	"2"	"359"	"55"	"95"	"0"	"63"	"8"	"3"	"12"	"1"	"5"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"4"	"1"	"0"	"250"	"250"	"1"	"0"
"17906"	"4"	"17"	"9"	"2"	"358"	"57"	"64"	"1"	"60"	"12"	"2"	"12"	"0"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"7"	"4"	"0"	"226"	"226"	"1"	"0"
"17907"	"4"	"17"	"9"	"2"	"398"	"75"	"54"	"1"	"74"	"2"	"1"	"13"	"0"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"29"	"3"	"0"	"257"	"257"	"1"	"0"
"17908"	"4"	"17"	"9"	"2"	"400"	"70"	"41"	"1"	"90"	"8"	"4"	"14"	"3"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"29"	"8"	"0"	"272"	"272"	"1"	"0"
