"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CUM"	"VIVA"	"EG"	"UNE"	"BIEN"	"PHG"	"UNIONISTA"	"MLP"	"VALOR"	"CREO"	"TODOS"	"FCN_NACION"	"UCN"	"SEMILLA"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11429"	"4"	"12"	"1"	"2"	"399"	"112"	"2"	"29"	"13"	"7"	"26"	"7"	"3"	"0"	"13"	"13"	"20"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"16"	"6"	"0"	"270"	"270"	"1"	"0"
"11430"	"4"	"12"	"1"	"2"	"0"	"124"	"4"	"27"	"12"	"3"	"35"	"7"	"0"	"0"	"20"	"11"	"12"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"10"	"4"	"0"	"272"	"272"	"1"	"0"
"11431"	"4"	"12"	"1"	"2"	"400"	"112"	"5"	"40"	"18"	"8"	"27"	"4"	"0"	"4"	"20"	"14"	"9"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"15"	"9"	"0"	"289"	"289"	"1"	"0"
"11432"	"4"	"12"	"1"	"2"	"400"	"117"	"1"	"39"	"26"	"4"	"35"	"6"	"1"	"3"	"32"	"18"	"11"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"298"	"14"	"6"	"0"	"323"	"318"	"0"	"0"
"11433"	"4"	"12"	"1"	"2"	"400"	"109"	"6"	"28"	"11"	"6"	"36"	"6"	"0"	"1"	"17"	"11"	"15"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"8"	"0"	"0"	"255"	"255"	"1"	"0"
"11434"	"4"	"12"	"1"	"2"	"382"	"113"	"5"	"34"	"16"	"3"	"22"	"2"	"2"	"2"	"21"	"6"	"17"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"9"	"2"	"0"	"258"	"258"	"1"	"0"
"11435"	"4"	"12"	"1"	"2"	"400"	"111"	"3"	"42"	"23"	"6"	"21"	"6"	"0"	"2"	"16"	"23"	"9"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"7"	"3"	"0"	"277"	"277"	"1"	"0"
"11436"	"4"	"12"	"1"	"2"	"400"	"117"	"5"	"24"	"11"	"5"	"35"	"5"	"1"	"3"	"25"	"10"	"15"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"17"	"1"	"0"	"281"	"281"	"1"	"0"
"11437"	"4"	"12"	"1"	"2"	"380"	"99"	"9"	"19"	"22"	"2"	"33"	"2"	"2"	"1"	"21"	"14"	"12"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"7"	"5"	"0"	"251"	"251"	"1"	"0"
"11438"	"4"	"12"	"1"	"2"	"347"	"92"	"6"	"30"	"14"	"8"	"19"	"2"	"1"	"0"	"20"	"7"	"11"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"7"	"1"	"0"	"227"	"227"	"1"	"0"
