"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VAMOS"	"VIVA"	"FUERZA"	"C_C_M_T_"	"LIBRE"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9616"	"4"	"9"	"12"	"2"	"400"	"28"	"91"	"121"	"31"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"5"	"13"	"0"	"308"	"308"	"1"	"0"
"9617"	"4"	"9"	"12"	"2"	"400"	"27"	"86"	"135"	"24"	"25"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"7"	"11"	"0"	"319"	"319"	"1"	"0"
"9618"	"4"	"9"	"12"	"2"	"400"	"43"	"74"	"142"	"29"	"19"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"3"	"13"	"0"	"325"	"325"	"1"	"0"
"9619"	"4"	"9"	"12"	"2"	"400"	"54"	"121"	"108"	"16"	"16"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"319"	"319"	"2"	"9"	"0"	"330"	"330"	"1"	"0"
"9620"	"4"	"9"	"12"	"2"	"400"	"33"	"110"	"131"	"15"	"20"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"310"	"310"	"4"	"19"	"0"	"333"	"333"	"1"	"0"
"9621"	"4"	"9"	"12"	"2"	"380"	"15"	"61"	"140"	"40"	"57"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"315"	"315"	"5"	"10"	"0"	"330"	"330"	"1"	"0"
"9622"	"4"	"9"	"12"	"2"	"400"	"20"	"60"	"105"	"73"	"49"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"1"	"5"	"0"	"314"	"314"	"1"	"0"
"9623"	"4"	"9"	"12"	"2"	"400"	"12"	"61"	"78"	"87"	"51"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"2"	"4"	"0"	"297"	"297"	"1"	"0"
"9624"	"4"	"9"	"12"	"2"	"400"	"19"	"154"	"66"	"7"	"21"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"6"	"66"	"1"	"281"	"341"	"0"	"0"
"9625"	"4"	"9"	"12"	"2"	"400"	"20"	"84"	"116"	"26"	"20"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"2"	"5"	"0"	"274"	"274"	"1"	"0"
"9626"	"4"	"9"	"12"	"2"	"400"	"24"	"72"	"111"	"34"	"19"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"0"	"3"	"0"	"264"	"264"	"1"	"0"
"9627"	"4"	"9"	"12"	"2"	"400"	"22"	"83"	"110"	"43"	"28"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"5"	"3"	"0"	"299"	"299"	"1"	"0"
"9628"	"4"	"9"	"12"	"2"	"400"	"27"	"70"	"117"	"43"	"19"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"1"	"3"	"0"	"283"	"283"	"1"	"0"
"9629"	"4"	"9"	"12"	"2"	"287"	"27"	"56"	"85"	"26"	"24"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"0"	"1"	"0"	"221"	"221"	"1"	"0"
"9630"	"4"	"9"	"12"	"2"	"287"	"17"	"55"	"97"	"24"	"12"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"0"	"0"	"0"	"208"	"208"	"1"	"0"
"9631"	"4"	"9"	"12"	"2"	"380"	"30"	"68"	"85"	"11"	"12"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"15"	"10"	"0"	"254"	"254"	"1"	"0"
"9632"	"4"	"9"	"12"	"2"	"380"	"37"	"94"	"78"	"21"	"13"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"12"	"17"	"0"	"286"	"286"	"1"	"0"
"9633"	"4"	"9"	"12"	"2"	"380"	"51"	"60"	"121"	"14"	"18"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"9"	"6"	"0"	"285"	"285"	"1"	"0"
"9634"	"4"	"9"	"12"	"2"	"380"	"106"	"56"	"102"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"6"	"14"	"0"	"292"	"292"	"1"	"0"
