"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UCN"	"UNE"	"WINAQ"	"LIBRE"	"UNIONISTA"	"FCN_NACION"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13909"	"4"	"13"	"18"	"2"	"400"	"28"	"116"	"35"	"74"	"2"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"8"	"4"	"0"	"276"	"276"	"1"	"0"
"13910"	"4"	"13"	"18"	"2"	"400"	"101"	"29"	"55"	"82"	"10"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"11"	"5"	"0"	"302"	"302"	"1"	"0"
"13911"	"4"	"13"	"18"	"2"	"397"	"106"	"21"	"45"	"128"	"4"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"315"	"315"	"2"	"7"	"9"	"315"	"324"	"0"	"0"
"13912"	"4"	"13"	"18"	"2"	"400"	"69"	"25"	"77"	"106"	"2"	"2"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"6"	"5"	"0"	"307"	"307"	"1"	"0"
"13913"	"4"	"13"	"18"	"2"	"400"	"67"	"17"	"88"	"111"	"2"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"4"	"2"	"0"	"303"	"303"	"1"	"0"
"13914"	"4"	"13"	"18"	"2"	"400"	"60"	"39"	"73"	"60"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"3"	"0"	"0"	"240"	"240"	"1"	"0"
"13915"	"4"	"13"	"18"	"2"	"400"	"67"	"46"	"60"	"69"	"3"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"3"	"5"	"0"	"260"	"260"	"1"	"0"
"13916"	"4"	"13"	"18"	"2"	"400"	"56"	"42"	"49"	"76"	"0"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"4"	"5"	"0"	"242"	"242"	"1"	"0"
"13917"	"4"	"13"	"18"	"2"	"400"	"81"	"38"	"55"	"78"	"4"	"2"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"4"	"5"	"0"	"280"	"280"	"1"	"0"
"13918"	"4"	"13"	"18"	"2"	"376"	"50"	"59"	"60"	"71"	"5"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"2"	"0"	"0"	"252"	"252"	"1"	"0"
