"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"UCN"	"CONVERGENCIA"	"LIBRE"	"CREO"	"VALOR"	"MLP"	"TODOS"	"FCN_NACION"	"URNG_MAIZ"	"VICTORIA"	"CCCSP"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12520"	"4"	"12"	"19"	"2"	"400"	"38"	"48"	"72"	"5"	"0"	"1"	"5"	"6"	"4"	"3"	"10"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"27"	"8"	"0"	"239"	"239"	"1"	"0"
"12521"	"4"	"12"	"19"	"2"	"390"	"58"	"45"	"67"	"2"	"2"	"4"	"6"	"5"	"4"	"9"	"18"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"27"	"8"	"0"	"268"	"268"	"1"	"0"
"12522"	"4"	"12"	"19"	"2"	"400"	"52"	"34"	"53"	"7"	"6"	"5"	"6"	"2"	"6"	"0"	"18"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"25"	"173"	"0"	"400"	"400"	"1"	"0"
"12523"	"4"	"12"	"19"	"2"	"400"	"70"	"37"	"44"	"7"	"10"	"4"	"4"	"1"	"3"	"2"	"16"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"27"	"14"	"0"	"255"	"255"	"1"	"0"
"12524"	"4"	"12"	"19"	"2"	"400"	"80"	"36"	"63"	"6"	"6"	"5"	"8"	"3"	"5"	"0"	"15"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"25"	"13"	"0"	"276"	"276"	"1"	"0"
"12525"	"4"	"12"	"19"	"2"	"400"	"61"	"51"	"55"	"5"	"5"	"2"	"7"	"0"	"8"	"1"	"10"	"1"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"31"	"9"	"0"	"260"	"260"	"1"	"0"
"12526"	"4"	"12"	"19"	"2"	"397"	"47"	"41"	"60"	"12"	"2"	"4"	"1"	"12"	"0"	"2"	"15"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"35"	"13"	"0"	"256"	"255"	"0"	"1"
"12527"	"4"	"12"	"19"	"2"	"400"	"42"	"44"	"66"	"9"	"5"	"5"	"8"	"6"	"3"	"1"	"23"	"1"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"19"	"5"	"0"	"253"	"253"	"1"	"0"
"12528"	"4"	"12"	"19"	"2"	"400"	"35"	"48"	"73"	"12"	"7"	"3"	"3"	"2"	"1"	"4"	"14"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"18"	"6"	"0"	"239"	"239"	"1"	"0"
"12529"	"4"	"12"	"19"	"2"	"400"	"51"	"68"	"51"	"5"	"2"	"7"	"6"	"8"	"5"	"3"	"10"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"12"	"10"	"0"	"245"	"245"	"1"	"0"
"12530"	"4"	"12"	"19"	"2"	"400"	"74"	"42"	"63"	"5"	"4"	"13"	"6"	"2"	"8"	"1"	"11"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"18"	"3"	"0"	"260"	"260"	"1"	"0"
"12531"	"4"	"12"	"19"	"2"	"400"	"55"	"31"	"90"	"8"	"7"	"0"	"7"	"2"	"5"	"5"	"15"	"1"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"15"	"4"	"0"	"261"	"261"	"1"	"0"
"12532"	"4"	"12"	"19"	"2"	"400"	"70"	"25"	"86"	"0"	"6"	"1"	"11"	"6"	"4"	"2"	"11"	"2"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"24"	"8"	"0"	"269"	"269"	"1"	"0"
"12533"	"4"	"12"	"19"	"2"	"400"	"34"	"29"	"95"	"2"	"2"	"3"	"16"	"10"	"6"	"9"	"7"	"2"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"34"	"2"	"0"	"265"	"265"	"1"	"0"
"12534"	"4"	"12"	"19"	"2"	"400"	"50"	"24"	"93"	"1"	"2"	"4"	"5"	"4"	"5"	"6"	"6"	"1"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"25"	"4"	"0"	"256"	"256"	"1"	"0"
"12535"	"4"	"12"	"19"	"2"	"400"	"31"	"30"	"83"	"1"	"7"	"0"	"15"	"5"	"15"	"12"	"13"	"1"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"26"	"7"	"0"	"267"	"267"	"1"	"0"
"12536"	"4"	"12"	"19"	"2"	"400"	"43"	"34"	"83"	"1"	"20"	"3"	"1"	"5"	"3"	"3"	"9"	"2"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"226"	"22"	"7"	"0"	"257"	"255"	"0"	"0"
"12537"	"4"	"12"	"19"	"2"	"397"	"51"	"18"	"71"	"4"	"2"	"3"	"13"	"2"	"4"	"1"	"9"	"0"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"8"	"2"	"0"	"203"	"203"	"1"	"0"
"12538"	"4"	"12"	"19"	"2"	"400"	"42"	"19"	"60"	"2"	"9"	"4"	"6"	"1"	"4"	"1"	"8"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"5"	"2"	"0"	"177"	"177"	"1"	"0"
"12539"	"4"	"12"	"19"	"2"	"400"	"56"	"29"	"64"	"4"	"2"	"3"	"8"	"4"	"3"	"2"	"12"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"15"	"0"	"0"	"214"	"214"	"1"	"0"
"12540"	"4"	"12"	"19"	"2"	"400"	"57"	"26"	"60"	"3"	"3"	"6"	"6"	"1"	"3"	"1"	"14"	"0"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"19"	"1"	"3"	"215"	"215"	"1"	"0"
"12541"	"4"	"12"	"19"	"2"	"400"	"55"	"19"	"74"	"7"	"6"	"5"	"9"	"4"	"2"	"1"	"20"	"1"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"18"	"4"	"0"	"244"	"244"	"1"	"0"
"12542"	"4"	"12"	"19"	"2"	"400"	"60"	"22"	"68"	"5"	"3"	"3"	"6"	"3"	"1"	"4"	"8"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"14"	"5"	"0"	"213"	"213"	"1"	"0"
"12543"	"4"	"12"	"19"	"2"	"400"	"62"	"31"	"67"	"4"	"2"	"6"	"9"	"2"	"13"	"3"	"9"	"0"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"10"	"6"	"0"	"242"	"242"	"1"	"0"
