"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UCN"	"EL_RELOJ"	"MLP"	"UNIONISTA"	"VIVA"	"PODEMOS"	"UNE"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10534"	"4"	"10"	"9"	"2"	"397"	"32"	"153"	"2"	"1"	"1"	"17"	"13"	"65"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"9"	"6"	"1"	"299"	"299"	"1"	"0"
"10535"	"4"	"10"	"9"	"2"	"400"	"22"	"167"	"8"	"1"	"0"	"11"	"13"	"70"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"8"	"2"	"0"	"302"	"302"	"1"	"0"
"10536"	"4"	"10"	"9"	"2"	"377"	"24"	"149"	"8"	"3"	"0"	"12"	"23"	"75"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"8"	"7"	"0"	"309"	"309"	"1"	"0"
"10537"	"4"	"10"	"9"	"2"	"400"	"26"	"162"	"6"	"2"	"0"	"13"	"22"	"63"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"8"	"7"	"0"	"309"	"309"	"1"	"0"
"10538"	"4"	"10"	"9"	"2"	"386"	"19"	"157"	"3"	"0"	"0"	"15"	"12"	"64"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"18"	"6"	"0"	"294"	"294"	"1"	"0"
"10539"	"4"	"10"	"9"	"2"	"396"	"15"	"167"	"4"	"2"	"0"	"9"	"9"	"76"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"13"	"6"	"0"	"301"	"301"	"1"	"0"
"10540"	"4"	"10"	"9"	"2"	"374"	"27"	"172"	"3"	"0"	"1"	"7"	"10"	"85"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"11"	"5"	"0"	"321"	"321"	"1"	"0"
"10541"	"4"	"10"	"9"	"2"	"396"	"28"	"129"	"8"	"0"	"0"	"11"	"13"	"59"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"5"	"4"	"0"	"257"	"257"	"1"	"0"
"10542"	"4"	"10"	"9"	"2"	"376"	"24"	"112"	"8"	"0"	"0"	"18"	"23"	"65"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"7"	"4"	"0"	"261"	"261"	"1"	"0"
"10543"	"4"	"10"	"9"	"2"	"396"	"17"	"139"	"6"	"0"	"1"	"10"	"21"	"71"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"13"	"2"	"0"	"280"	"280"	"1"	"0"
