"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"VIVA"	"CONVERGENCIA"	"UCN"	"EG"	"SEMILLA"	"UNE"	"FCN_NACION"	"CREO"	"FUERZA"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"2406"	"4"	"1"	"7"	"1"	"400"	"13"	"4"	"1"	"39"	"39"	"7"	"106"	"27"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"9"	"4"	"0"	"259"	"259"	"1"	"0"
"2407"	"4"	"1"	"7"	"1"	"400"	"12"	"4"	"1"	"38"	"36"	"12"	"80"	"38"	"10"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"10"	"145"	"9"	"391"	"391"	"1"	"0"
"2408"	"4"	"1"	"7"	"1"	"400"	"18"	"0"	"3"	"42"	"41"	"8"	"94"	"30"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"18"	"7"	"25"	"273"	"273"	"1"	"1"
"2409"	"4"	"1"	"7"	"1"	"400"	"11"	"1"	"1"	"38"	"34"	"19"	"105"	"36"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"12"	"3"	"0"	"272"	"272"	"1"	"0"
"2410"	"4"	"1"	"7"	"1"	"400"	"11"	"0"	"0"	"38"	"40"	"6"	"90"	"35"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"12"	"8"	"0"	"251"	"251"	"1"	"0"
"2411"	"4"	"1"	"7"	"1"	"400"	"17"	"0"	"0"	"49"	"43"	"10"	"105"	"24"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"20"	"5"	"0"	"280"	"280"	"1"	"0"
"2412"	"4"	"1"	"7"	"1"	"400"	"8"	"2"	"1"	"59"	"37"	"11"	"105"	"40"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"16"	"9"	"0"	"293"	"293"	"1"	"0"
"2413"	"4"	"1"	"7"	"1"	"400"	"8"	"1"	"0"	"65"	"43"	"12"	"108"	"31"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"20"	"7"	"0"	"305"	"305"	"1"	"0"
"2414"	"4"	"1"	"7"	"1"	"400"	"8"	"1"	"0"	"52"	"49"	"20"	"91"	"31"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"15"	"3"	"0"	"281"	"281"	"1"	"0"
"2415"	"4"	"1"	"7"	"1"	"400"	"13"	"0"	"0"	"45"	"48"	"15"	"88"	"29"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"8"	"2"	"0"	"258"	"258"	"1"	"0"
"2416"	"4"	"1"	"7"	"2"	"397"	"15"	"1"	"1"	"35"	"37"	"16"	"85"	"31"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"7"	"3"	"0"	"236"	"236"	"1"	"0"
"2417"	"4"	"1"	"7"	"2"	"394"	"13"	"4"	"1"	"42"	"31"	"12"	"98"	"46"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"10"	"2"	"0"	"265"	"265"	"1"	"0"
"2418"	"4"	"1"	"7"	"2"	"401"	"3"	"1"	"1"	"38"	"46"	"13"	"106"	"20"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"11"	"3"	"0"	"250"	"250"	"1"	"0"
"2419"	"4"	"1"	"7"	"2"	"400"	"22"	"0"	"0"	"48"	"32"	"19"	"93"	"25"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"8"	"3"	"0"	"258"	"258"	"1"	"0"
"2420"	"4"	"1"	"7"	"2"	"403"	"17"	"0"	"2"	"27"	"43"	"9"	"85"	"28"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"10"	"3"	"0"	"234"	"234"	"1"	"0"
"2421"	"4"	"1"	"7"	"1"	"400"	"13"	"3"	"0"	"49"	"33"	"21"	"77"	"25"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"8"	"2"	"0"	"242"	"242"	"1"	"0"
"2422"	"4"	"1"	"7"	"2"	"269"	"14"	"1"	"1"	"24"	"30"	"16"	"61"	"15"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"0"	"0"	"1"	"171"	"171"	"1"	"0"
"2423"	"4"	"1"	"7"	"1"	"269"	"8"	"1"	"0"	"36"	"22"	"14"	"60"	"13"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"1"	"3"	"0"	"163"	"163"	"1"	"0"
"2424"	"4"	"1"	"7"	"1"	"376"	"5"	"0"	"2"	"37"	"21"	"6"	"36"	"1"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"115"	"115"	"7"	"9"	"0"	"131"	"131"	"1"	"0"
