"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VALOR"	"FUERZA"	"UNE"	"TODOS"	"PC"	"MLP"	"PAN"	"VAMOS"	"PHG"	"UNIDOS"	"EG"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14981"	"4"	"14"	"9"	"2"	"400"	"21"	"5"	"53"	"74"	"24"	"1"	"5"	"4"	"31"	"2"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"14"	"3"	"0"	"254"	"254"	"1"	"0"
"14982"	"4"	"14"	"9"	"2"	"400"	"20"	"7"	"43"	"56"	"28"	"0"	"8"	"10"	"26"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"17"	"8"	"0"	"230"	"230"	"1"	"0"
"14983"	"4"	"14"	"9"	"2"	"400"	"21"	"4"	"44"	"59"	"35"	"6"	"5"	"4"	"27"	"2"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"17"	"14"	"0"	"254"	"254"	"1"	"0"
"14984"	"4"	"14"	"9"	"2"	"400"	"36"	"1"	"44"	"83"	"26"	"3"	"3"	"3"	"42"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"22"	"14"	"0"	"287"	"287"	"1"	"0"
"14985"	"4"	"14"	"9"	"2"	"400"	"30"	"0"	"51"	"68"	"57"	"6"	"12"	"3"	"23"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"14"	"18"	"0"	"293"	"293"	"1"	"0"
"14986"	"4"	"14"	"9"	"2"	"400"	"49"	"1"	"59"	"95"	"22"	"4"	"4"	"3"	"16"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"19"	"13"	"0"	"292"	"292"	"1"	"0"
"14987"	"4"	"14"	"9"	"2"	"400"	"3"	"1"	"44"	"152"	"15"	"1"	"7"	"5"	"25"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"17"	"13"	"0"	"288"	"288"	"1"	"0"
"14988"	"4"	"14"	"9"	"2"	"400"	"4"	"1"	"55"	"99"	"43"	"9"	"7"	"8"	"29"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"37"	"6"	"0"	"301"	"301"	"1"	"1"
"14989"	"4"	"14"	"9"	"2"	"398"	"17"	"2"	"46"	"177"	"8"	"8"	"7"	"4"	"19"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"15"	"8"	"0"	"314"	"314"	"1"	"0"
"14990"	"4"	"14"	"9"	"2"	"400"	"25"	"0"	"47"	"114"	"7"	"6"	"30"	"4"	"19"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"14"	"12"	"0"	"289"	"289"	"1"	"0"
"14991"	"4"	"14"	"9"	"2"	"400"	"17"	"8"	"57"	"48"	"32"	"9"	"8"	"2"	"58"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"16"	"15"	"0"	"278"	"278"	"1"	"0"
"14992"	"4"	"14"	"9"	"2"	"400"	"22"	"0"	"46"	"87"	"24"	"7"	"12"	"9"	"35"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"14"	"137"	"0"	"400"	"400"	"1"	"0"
