"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"VIVA"	"VAMOS"	"WINAQ"	"SEMILLA"	"UCN"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8418"	"4"	"7"	"18"	"2"	"396"	"72"	"60"	"75"	"31"	"45"	"55"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"338"	"338"	"3"	"1"	"0"	"342"	"342"	"1"	"0"
"8419"	"4"	"7"	"18"	"2"	"396"	"75"	"55"	"69"	"24"	"50"	"66"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"339"	"339"	"5"	"4"	"0"	"348"	"348"	"1"	"0"
"8420"	"4"	"7"	"18"	"2"	"395"	"69"	"61"	"70"	"20"	"64"	"61"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"345"	"345"	"2"	"4"	"0"	"351"	"351"	"1"	"0"
"8421"	"4"	"7"	"18"	"2"	"401"	"79"	"77"	"65"	"17"	"56"	"59"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"353"	"353"	"4"	"4"	"0"	"361"	"361"	"1"	"0"
"8422"	"4"	"7"	"18"	"2"	"400"	"94"	"65"	"76"	"17"	"54"	"59"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"365"	"365"	"1"	"6"	"0"	"372"	"372"	"1"	"0"
"8423"	"4"	"7"	"18"	"2"	"400"	"93"	"68"	"55"	"20"	"61"	"62"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"359"	"359"	"3"	"1"	"0"	"363"	"363"	"1"	"0"
"8424"	"4"	"7"	"18"	"2"	"400"	"90"	"81"	"64"	"22"	"51"	"55"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"363"	"363"	"2"	"3"	"0"	"368"	"368"	"1"	"0"
"8425"	"4"	"7"	"18"	"2"	"400"	"87"	"94"	"72"	"14"	"42"	"59"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"368"	"368"	"7"	"9"	"0"	"384"	"384"	"1"	"0"
"8426"	"4"	"7"	"18"	"2"	"400"	"78"	"92"	"91"	"9"	"46"	"57"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"373"	"373"	"0"	"2"	"0"	"375"	"375"	"1"	"0"
"8427"	"4"	"7"	"18"	"2"	"396"	"79"	"80"	"66"	"27"	"46"	"65"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"363"	"363"	"2"	"5"	"0"	"370"	"370"	"1"	"0"
