"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UCN"	"TODOS"	"SEMILLA"	"CONVERGENCIA"	"UNE"	"PC"	"PAN"	"UNIONISTA"	"VALOR"	"FCN_NACION"	"CREO"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13292"	"4"	"13"	"6"	"2"	"396"	"51"	"43"	"15"	"1"	"4"	"12"	"15"	"0"	"4"	"13"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"12"	"7"	"0"	"226"	"226"	"1"	"0"
"13293"	"4"	"13"	"6"	"2"	"396"	"27"	"55"	"16"	"1"	"1"	"17"	"9"	"1"	"4"	"10"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"15"	"7"	"0"	"187"	"187"	"1"	"0"
"13294"	"4"	"13"	"6"	"2"	"400"	"32"	"30"	"19"	"4"	"1"	"11"	"16"	"3"	"7"	"10"	"43"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"17"	"9"	"0"	"203"	"203"	"1"	"0"
"13295"	"4"	"13"	"6"	"2"	"396"	"31"	"44"	"37"	"4"	"3"	"10"	"10"	"3"	"10"	"19"	"55"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"17"	"6"	"0"	"249"	"249"	"1"	"0"
"13296"	"4"	"13"	"6"	"2"	"396"	"19"	"75"	"23"	"8"	"7"	"4"	"20"	"0"	"12"	"26"	"69"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"15"	"7"	"0"	"285"	"285"	"1"	"0"
"13297"	"4"	"13"	"6"	"2"	"400"	"14"	"58"	"28"	"6"	"3"	"7"	"7"	"1"	"27"	"15"	"76"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"9"	"9"	"0"	"260"	"260"	"1"	"0"
"13298"	"4"	"13"	"6"	"2"	"396"	"24"	"76"	"49"	"0"	"1"	"11"	"19"	"2"	"8"	"10"	"76"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"9"	"7"	"0"	"294"	"294"	"1"	"0"
"13299"	"4"	"13"	"6"	"2"	"400"	"28"	"110"	"25"	"0"	"1"	"10"	"24"	"0"	"6"	"7"	"73"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"19"	"4"	"0"	"307"	"307"	"1"	"0"
"13300"	"4"	"13"	"6"	"2"	"396"	"9"	"62"	"45"	"2"	"2"	"6"	"4"	"1"	"8"	"30"	"108"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"4"	"5"	"0"	"286"	"286"	"1"	"0"
"13301"	"4"	"13"	"6"	"2"	"396"	"8"	"59"	"37"	"1"	"1"	"9"	"12"	"1"	"3"	"33"	"102"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"11"	"2"	"0"	"281"	"281"	"1"	"0"
