"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"FCN_NACION"	"MLP"	"UCN"	"SEMILLA"	"VALOR"	"AVANZA"	"UNIONISTA"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19971"	"4"	"21"	"2"	"2"	"396"	"30"	"81"	"13"	"21"	"83"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"27"	"8"	"0"	"0"	"276"	"0"	"0"
"19972"	"4"	"21"	"2"	"2"	"396"	"30"	"94"	"13"	"42"	"66"	"17"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"20"	"7"	"0"	"293"	"293"	"1"	"0"
"19973"	"4"	"21"	"2"	"2"	"396"	"28"	"90"	"10"	"35"	"76"	"12"	"3"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"21"	"11"	"0"	"291"	"291"	"1"	"0"
"19974"	"4"	"21"	"2"	"2"	"396"	"49"	"76"	"14"	"18"	"77"	"16"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"24"	"7"	"0"	"283"	"283"	"1"	"0"
"19975"	"4"	"21"	"2"	"2"	"395"	"88"	"80"	"19"	"11"	"62"	"13"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"32"	"7"	"0"	"314"	"314"	"1"	"0"
"19976"	"4"	"21"	"2"	"2"	"0"	"76"	"73"	"17"	"7"	"72"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"258"	"19"	"6"	"0"	"0"	"283"	"0"	"0"
"19977"	"4"	"21"	"2"	"2"	"396"	"23"	"71"	"21"	"6"	"98"	"18"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"20"	"10"	"0"	"270"	"270"	"1"	"0"
"19978"	"4"	"21"	"2"	"2"	"396"	"35"	"116"	"39"	"4"	"72"	"18"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"22"	"9"	"0"	"318"	"319"	"0"	"0"
"19979"	"4"	"21"	"2"	"2"	"395"	"68"	"74"	"28"	"7"	"65"	"15"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"12"	"7"	"0"	"278"	"278"	"1"	"0"
"19980"	"4"	"21"	"2"	"2"	"396"	"36"	"84"	"13"	"11"	"57"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"9"	"10"	"0"	"231"	"231"	"1"	"0"
