"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FCN_NACION"	"UNE"	"COCIDISH"	"VIVA"	"COCISA"	"CONVERGENCIA"	"PPT"	"VAMOS"	"UNIONISTA"	"PHG"	"BIEN"	"MLP"	"PC"	"VALOR"	"CREO"	"LIBRE"	"TODOS"	"SEMILLA"	"UCN"	"EG"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11504"	"4"	"12"	"2"	"2"	"400"	"3"	"30"	"13"	"8"	"31"	"3"	"1"	"65"	"0"	"1"	"20"	"0"	"20"	"5"	"1"	"8"	"2"	"36"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"9"	"4"	"0"	"261"	"261"	"1"	"0"
"11505"	"4"	"12"	"2"	"2"	"400"	"6"	"35"	"10"	"9"	"32"	"5"	"1"	"68"	"0"	"2"	"15"	"0"	"19"	"3"	"4"	"4"	"2"	"36"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"8"	"0"	"0"	"260"	"260"	"1"	"0"
"11506"	"4"	"12"	"2"	"2"	"405"	"7"	"33"	"16"	"9"	"26"	"4"	"2"	"73"	"0"	"5"	"23"	"1"	"14"	"3"	"2"	"3"	"2"	"35"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"16"	"1"	"0"	"279"	"279"	"1"	"0"
"11507"	"4"	"12"	"2"	"2"	"396"	"6"	"35"	"21"	"10"	"25"	"3"	"2"	"68"	"0"	"0"	"16"	"1"	"15"	"5"	"0"	"5"	"3"	"32"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"17"	"2"	"0"	"267"	"267"	"1"	"0"
"11508"	"4"	"12"	"2"	"2"	"400"	"6"	"37"	"20"	"8"	"29"	"3"	"2"	"79"	"0"	"1"	"18"	"3"	"18"	"3"	"1"	"3"	"2"	"40"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"8"	"4"	"0"	"289"	"289"	"1"	"1"
"11509"	"4"	"12"	"2"	"2"	"393"	"1"	"27"	"22"	"11"	"27"	"6"	"0"	"86"	"0"	"0"	"12"	"4"	"16"	"2"	"3"	"1"	"2"	"49"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"10"	"2"	"0"	"285"	"285"	"1"	"0"
"11510"	"4"	"12"	"2"	"2"	"0"	"5"	"34"	"13"	"13"	"27"	"2"	"2"	"80"	"3"	"0"	"13"	"0"	"18"	"2"	"0"	"9"	"3"	"43"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"5"	"3"	"0"	"283"	"281"	"0"	"0"
"11511"	"4"	"12"	"2"	"2"	"400"	"0"	"36"	"16"	"8"	"33"	"3"	"2"	"77"	"0"	"3"	"17"	"0"	"17"	"3"	"2"	"3"	"2"	"54"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"7"	"1"	"0"	"285"	"285"	"1"	"0"
"11512"	"4"	"12"	"2"	"2"	"400"	"6"	"40"	"16"	"11"	"27"	"2"	"2"	"86"	"1"	"3"	"21"	"2"	"16"	"0"	"1"	"5"	"1"	"53"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"5"	"3"	"0"	"304"	"304"	"1"	"0"
"11513"	"4"	"12"	"2"	"2"	"400"	"7"	"35"	"12"	"15"	"37"	"2"	"3"	"66"	"0"	"4"	"23"	"2"	"26"	"6"	"1"	"5"	"2"	"72"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"13"	"2"	"0"	"333"	"333"	"1"	"0"
