"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"C_C_N_I_"	"UNE"	"FCN_NACION"	"EG"	"UNIONISTA"	"FUERZA"	"PHG"	"CREO"	"UCN"	"PAN"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12098"	"4"	"12"	"11"	"2"	"400"	"98"	"85"	"50"	"29"	"9"	"1"	"4"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"15"	"7"	"0"	"313"	"313"	"1"	"0"
"12099"	"4"	"12"	"11"	"2"	"400"	"94"	"98"	"77"	"16"	"3"	"3"	"6"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"15"	"1"	"0"	"325"	"325"	"1"	"0"
"12100"	"4"	"12"	"11"	"2"	"400"	"102"	"89"	"65"	"16"	"4"	"5"	"4"	"15"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"7"	"3"	"0"	"312"	"312"	"1"	"0"
"12101"	"4"	"12"	"11"	"2"	"400"	"99"	"78"	"58"	"27"	"3"	"5"	"7"	"15"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"7"	"13"	"0"	"313"	"313"	"1"	"0"
"12102"	"4"	"12"	"11"	"2"	"400"	"120"	"75"	"74"	"16"	"4"	"5"	"6"	"18"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"9"	"4"	"0"	"333"	"333"	"1"	"0"
"12103"	"4"	"12"	"11"	"2"	"400"	"101"	"74"	"98"	"24"	"5"	"2"	"10"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"333"	"333"	"8"	"6"	"0"	"347"	"347"	"1"	"0"
"12104"	"4"	"12"	"11"	"2"	"400"	"107"	"66"	"92"	"16"	"0"	"7"	"8"	"13"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"314"	"314"	"12"	"4"	"0"	"330"	"330"	"1"	"0"
"12105"	"4"	"12"	"11"	"2"	"400"	"112"	"57"	"73"	"14"	"5"	"1"	"3"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"5"	"1"	"0"	"282"	"282"	"1"	"0"
"12106"	"4"	"12"	"11"	"2"	"400"	"100"	"79"	"57"	"20"	"8"	"5"	"8"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"5"	"0"	"1"	"294"	"294"	"1"	"2"
"12107"	"4"	"12"	"11"	"2"	"400"	"92"	"61"	"76"	"23"	"9"	"2"	"11"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"4"	"2"	"0"	"293"	"293"	"1"	"0"
