"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"FUERZA"	"UCN"	"FCN_NACION"	"PHG"	"SEMILLA"	"UNE"	"AVANZA"	"VALOR"	"DESANRAY"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"3451"	"4"	"1"	"11"	"2"	"400"	"19"	"9"	"81"	"17"	"11"	"15"	"67"	"3"	"4"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"9"	"5"	"0"	"285"	"285"	"1"	"0"
"3452"	"4"	"1"	"11"	"2"	"400"	"32"	"9"	"65"	"12"	"23"	"8"	"67"	"4"	"7"	"52"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"18"	"3"	"0"	"300"	"300"	"1"	"0"
"3453"	"4"	"1"	"11"	"2"	"400"	"31"	"10"	"70"	"21"	"16"	"11"	"64"	"3"	"5"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"8"	"2"	"0"	"284"	"284"	"1"	"0"
"3454"	"4"	"1"	"11"	"2"	"400"	"36"	"12"	"84"	"24"	"19"	"7"	"47"	"4"	"8"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"15"	"3"	"0"	"305"	"305"	"1"	"0"
"3455"	"4"	"1"	"11"	"2"	"400"	"36"	"12"	"65"	"15"	"20"	"9"	"72"	"4"	"0"	"48"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"15"	"3"	"0"	"299"	"299"	"1"	"0"
"3456"	"4"	"1"	"11"	"2"	"400"	"19"	"5"	"78"	"19"	"11"	"13"	"52"	"3"	"8"	"54"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"4"	"5"	"0"	"271"	"271"	"1"	"0"
"3457"	"4"	"1"	"11"	"2"	"396"	"24"	"19"	"70"	"15"	"12"	"6"	"51"	"6"	"3"	"48"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"9"	"0"	"0"	"263"	"263"	"1"	"0"
"3458"	"4"	"1"	"11"	"2"	"400"	"27"	"11"	"92"	"18"	"13"	"15"	"53"	"4"	"2"	"57"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"10"	"2"	"0"	"304"	"304"	"1"	"0"
"3459"	"4"	"1"	"11"	"2"	"396"	"23"	"2"	"68"	"24"	"19"	"9"	"75"	"7"	"1"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"7"	"3"	"0"	"283"	"283"	"1"	"0"
"3460"	"4"	"1"	"11"	"2"	"396"	"29"	"5"	"72"	"14"	"28"	"6"	"48"	"5"	"4"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"13"	"5"	"0"	"255"	"255"	"1"	"0"
