"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"SEMILLA"	"FCN_NACION"	"URNG_MAIZ"	"LIBRE"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14016"	"4"	"13"	"20"	"2"	"400"	"101"	"54"	"37"	"92"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"10"	"10"	"0"	"309"	"309"	"1"	"0"
"14017"	"4"	"13"	"20"	"2"	"400"	"116"	"93"	"21"	"80"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"321"	"321"	"7"	"11"	"0"	"339"	"339"	"1"	"0"
"14018"	"4"	"13"	"20"	"2"	"400"	"112"	"106"	"12"	"78"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"316"	"316"	"6"	"11"	"0"	"333"	"333"	"1"	"0"
"14019"	"4"	"13"	"20"	"2"	"400"	"109"	"133"	"12"	"79"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"339"	"339"	"2"	"4"	"0"	"345"	"345"	"1"	"0"
"14020"	"4"	"13"	"20"	"2"	"400"	"82"	"87"	"33"	"68"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"7"	"8"	"0"	"296"	"296"	"1"	"0"
"14021"	"4"	"13"	"20"	"2"	"401"	"92"	"89"	"28"	"63"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"5"	"7"	"0"	"289"	"289"	"1"	"0"
"14022"	"4"	"13"	"20"	"2"	"400"	"78"	"57"	"45"	"75"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"13"	"3"	"0"	"275"	"275"	"1"	"0"
"14023"	"4"	"13"	"20"	"2"	"394"	"106"	"99"	"21"	"70"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"4"	"2"	"0"	"306"	"306"	"1"	"0"
"14024"	"4"	"13"	"20"	"2"	"395"	"105"	"89"	"15"	"95"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"310"	"310"	"2"	"4"	"0"	"316"	"316"	"1"	"0"
"14025"	"4"	"13"	"20"	"2"	"400"	"99"	"114"	"14"	"60"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"4"	"14"	"0"	"310"	"310"	"1"	"0"
