"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VALOR"	"FCN_NACION"	"WINAQ"	"TODOS"	"CREO"	"VICTORIA"	"BIEN"	"UCN"	"URNG_MAIZ"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16687"	"4"	"16"	"8"	"2"	"394"	"48"	"131"	"51"	"3"	"4"	"1"	"10"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"22"	"2"	"0"	"277"	"277"	"1"	"0"
"16688"	"4"	"16"	"8"	"2"	"400"	"19"	"128"	"80"	"0"	"1"	"0"	"35"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"18"	"1"	"0"	"286"	"286"	"1"	"0"
"16689"	"4"	"16"	"8"	"2"	"396"	"34"	"96"	"104"	"3"	"1"	"0"	"36"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"25"	"2"	"0"	"306"	"306"	"1"	"0"
"16690"	"4"	"16"	"8"	"2"	"400"	"28"	"101"	"77"	"1"	"1"	"2"	"48"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"263"	"13"	"4"	"0"	"280"	"280"	"0"	"0"
"16691"	"4"	"16"	"8"	"2"	"400"	"46"	"132"	"58"	"1"	"0"	"0"	"41"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"17"	"4"	"0"	"303"	"303"	"1"	"0"
"16692"	"4"	"16"	"8"	"2"	"400"	"25"	"119"	"62"	"3"	"1"	"1"	"40"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"25"	"2"	"0"	"281"	"281"	"1"	"0"
"16693"	"4"	"16"	"8"	"2"	"396"	"50"	"127"	"64"	"0"	"2"	"0"	"28"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"15"	"3"	"0"	"298"	"298"	"1"	"0"
"16694"	"4"	"16"	"8"	"2"	"400"	"46"	"172"	"71"	"1"	"6"	"0"	"32"	"2"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"335"	"335"	"11"	"2"	"0"	"348"	"348"	"1"	"0"
"16695"	"4"	"16"	"8"	"2"	"400"	"56"	"152"	"51"	"0"	"0"	"0"	"19"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"13"	"2"	"0"	"297"	"297"	"1"	"0"
"16696"	"4"	"16"	"8"	"2"	"400"	"41"	"127"	"52"	"0"	"1"	"0"	"17"	"3"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"9"	"1"	"0"	"256"	"256"	"1"	"0"
