"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FCN_NACION"	"VAMOS"	"VALOR"	"SEMILLA"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7248"	"4"	"5"	"14"	"2"	"396"	"165"	"12"	"103"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"12"	"9"	"0"	"306"	"305"	"0"	"1"
"7249"	"4"	"5"	"14"	"2"	"396"	"200"	"6"	"101"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"9"	"2"	"0"	"318"	"318"	"1"	"0"
"7250"	"4"	"5"	"14"	"2"	"396"	"200"	"7"	"73"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"5"	"2"	"0"	"292"	"292"	"1"	"0"
"7251"	"4"	"5"	"14"	"2"	"400"	"186"	"12"	"87"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"18"	"3"	"0"	"314"	"314"	"1"	"0"
"7252"	"4"	"5"	"14"	"2"	"396"	"191"	"10"	"103"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"10"	"6"	"0"	"321"	"321"	"1"	"0"
"7253"	"4"	"5"	"14"	"2"	"400"	"197"	"9"	"82"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"15"	"4"	"0"	"310"	"310"	"1"	"1"
"7254"	"4"	"5"	"14"	"2"	"400"	"195"	"7"	"81"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"9"	"1"	"0"	"295"	"295"	"1"	"2"
"7255"	"4"	"5"	"14"	"2"	"400"	"186"	"10"	"88"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"4"	"1"	"0"	"292"	"292"	"1"	"0"
"7256"	"4"	"5"	"14"	"2"	"400"	"219"	"5"	"71"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"7"	"4"	"0"	"309"	"309"	"1"	"0"
"7257"	"4"	"5"	"14"	"2"	"400"	"172"	"5"	"88"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"14"	"119"	"0"	"400"	"401"	"0"	"0"
"7258"	"4"	"5"	"14"	"2"	"400"	"192"	"4"	"98"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"4"	"1"	"0"	"302"	"302"	"1"	"0"
"7259"	"4"	"5"	"14"	"2"	"396"	"188"	"3"	"100"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"6"	"4"	"0"	"305"	"305"	"1"	"2"
"7260"	"4"	"5"	"14"	"2"	"400"	"174"	"12"	"77"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"10"	"13"	"0"	"288"	"288"	"1"	"0"
"7261"	"4"	"5"	"14"	"2"	"396"	"168"	"2"	"87"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"9"	"2"	"0"	"270"	"270"	"1"	"0"
"7262"	"4"	"5"	"14"	"2"	"396"	"203"	"5"	"72"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"5"	"4"	"106"	"290"	"290"	"1"	"0"
"7263"	"4"	"5"	"14"	"2"	"380"	"184"	"5"	"77"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"5"	"3"	"0"	"277"	"277"	"1"	"0"
"7264"	"4"	"5"	"14"	"2"	"400"	"214"	"5"	"74"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"11"	"0"	"0"	"308"	"308"	"1"	"0"
"7265"	"4"	"5"	"14"	"2"	"318"	"150"	"6"	"81"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"0"	"2"	"0"	"239"	"239"	"1"	"0"
"7266"	"4"	"5"	"14"	"2"	"318"	"147"	"2"	"55"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"7"	"5"	"0"	"219"	"219"	"1"	"2"
"7267"	"4"	"5"	"14"	"2"	"400"	"181"	"6"	"132"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"321"	"321"	"7"	"2"	"0"	"330"	"330"	"1"	"0"
"7268"	"4"	"5"	"14"	"2"	"235"	"122"	"3"	"64"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"0"	"1"	"6"	"191"	"191"	"1"	"0"
"7269"	"4"	"5"	"14"	"2"	"236"	"117"	"2"	"76"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"2"	"3"	"0"	"200"	"200"	"1"	"0"
"7270"	"4"	"5"	"14"	"2"	"380"	"211"	"11"	"91"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"314"	"314"	"15"	"1"	"0"	"330"	"330"	"1"	"0"
"7271"	"4"	"5"	"14"	"2"	"380"	"226"	"7"	"82"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"317"	"317"	"11"	"3"	"0"	"331"	"331"	"1"	"3"
"7272"	"4"	"5"	"14"	"2"	"298"	"155"	"8"	"57"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"12"	"8"	"0"	"244"	"244"	"1"	"0"
"7273"	"4"	"5"	"14"	"2"	"298"	"155"	"2"	"60"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"2"	"2"	"0"	"225"	"225"	"1"	"0"
