"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"PC"	"PODEMOS"	"SEMILLA"	"URNG_MAIZ"	"_ATS_"	"SUD"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7887"	"4"	"7"	"1"	"2"	"396"	"12"	"5"	"17"	"2"	"116"	"25"	"121"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"5"	"1"	"0"	"304"	"304"	"1"	"0"
"7888"	"4"	"7"	"1"	"2"	"400"	"8"	"0"	"17"	"5"	"137"	"19"	"116"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"11"	"4"	"0"	"317"	"317"	"1"	"0"
"7889"	"4"	"7"	"1"	"2"	"396"	"11"	"4"	"25"	"4"	"136"	"16"	"97"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"20"	"6"	"0"	"319"	"319"	"1"	"0"
"7890"	"4"	"7"	"1"	"2"	"396"	"9"	"4"	"29"	"11"	"145"	"18"	"95"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"311"	"311"	"14"	"6"	"0"	"331"	"331"	"1"	"0"
"7891"	"4"	"7"	"1"	"2"	"400"	"8"	"6"	"32"	"6"	"125"	"28"	"106"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"311"	"311"	"7"	"2"	"0"	"320"	"320"	"1"	"0"
"7892"	"4"	"7"	"1"	"2"	"400"	"10"	"3"	"28"	"10"	"113"	"30"	"107"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"9"	"1"	"0"	"311"	"311"	"1"	"0"
"7893"	"4"	"7"	"1"	"2"	"396"	"6"	"1"	"48"	"5"	"99"	"21"	"109"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"13"	"3"	"91"	"305"	"305"	"1"	"0"
"7894"	"4"	"7"	"1"	"2"	"400"	"5"	"2"	"26"	"2"	"118"	"25"	"102"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"5"	"3"	"0"	"288"	"288"	"1"	"0"
"7895"	"4"	"7"	"1"	"2"	"400"	"13"	"1"	"29"	"2"	"97"	"24"	"117"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"6"	"1"	"0"	"290"	"290"	"1"	"0"
"7896"	"4"	"7"	"1"	"2"	"400"	"12"	"3"	"32"	"9"	"104"	"21"	"118"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"6"	"5"	"0"	"310"	"310"	"1"	"0"
"7897"	"4"	"7"	"1"	"2"	"400"	"12"	"6"	"38"	"8"	"108"	"17"	"96"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"8"	"0"	"0"	"293"	"293"	"1"	"0"
"7898"	"4"	"7"	"1"	"2"	"400"	"13"	"2"	"24"	"6"	"103"	"22"	"126"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"6"	"2"	"0"	"304"	"304"	"1"	"0"
"7899"	"4"	"7"	"1"	"2"	"393"	"8"	"2"	"21"	"7"	"97"	"25"	"107"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"10"	"4"	"0"	"281"	"281"	"1"	"0"
"7900"	"4"	"7"	"1"	"2"	"204"	"3"	"0"	"27"	"7"	"69"	"16"	"78"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"2"	"2"	"0"	"204"	"204"	"1"	"0"
"7901"	"4"	"7"	"1"	"2"	"207"	"6"	"2"	"11"	"3"	"71"	"15"	"78"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"4"	"0"	"0"	"190"	"190"	"1"	"0"
"7902"	"4"	"7"	"1"	"2"	"396"	"1"	"1"	"2"	"3"	"156"	"25"	"102"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"10"	"3"	"0"	"303"	"303"	"1"	"0"
"7903"	"4"	"7"	"1"	"2"	"400"	"2"	"4"	"8"	"1"	"166"	"29"	"86"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"4"	"4"	"96"	"304"	"304"	"1"	"0"
