"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"WINAQ"	"TODOS"	"FUERZA"	"UNE"	"MLP"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13406"	"4"	"13"	"8"	"2"	"400"	"12"	"9"	"49"	"64"	"28"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"8"	"6"	"0"	"177"	"177"	"1"	"0"
"13407"	"4"	"13"	"8"	"2"	"400"	"13"	"6"	"79"	"59"	"16"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"8"	"5"	"0"	"189"	"189"	"1"	"0"
"13408"	"4"	"13"	"8"	"2"	"400"	"5"	"7"	"60"	"64"	"30"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"8"	"4"	"0"	"181"	"181"	"1"	"1"
"13409"	"4"	"13"	"8"	"2"	"402"	"9"	"10"	"47"	"77"	"35"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"11"	"10"	"0"	"210"	"210"	"1"	"0"
"13410"	"4"	"13"	"8"	"2"	"400"	"10"	"13"	"74"	"88"	"15"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"13"	"11"	"0"	"230"	"230"	"1"	"0"
"13411"	"4"	"13"	"8"	"2"	"400"	"8"	"10"	"54"	"66"	"23"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"13"	"10"	"0"	"189"	"189"	"1"	"1"
"13412"	"4"	"13"	"8"	"2"	"400"	"9"	"10"	"69"	"68"	"22"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"10"	"0"	"0"	"193"	"193"	"1"	"0"
"13413"	"4"	"13"	"8"	"2"	"400"	"13"	"13"	"53"	"59"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"7"	"10"	"0"	"171"	"171"	"1"	"0"
"13414"	"4"	"13"	"8"	"1"	"400"	"7"	"14"	"38"	"75"	"36"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"8"	"8"	"0"	"190"	"190"	"1"	"0"
"13415"	"4"	"13"	"8"	"1"	"400"	"12"	"5"	"33"	"68"	"29"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"151"	"12"	"12"	"0"	"175"	"175"	"1"	"0"
"13416"	"4"	"13"	"8"	"1"	"400"	"9"	"6"	"52"	"80"	"32"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"5"	"11"	"0"	"196"	"196"	"1"	"0"
"13417"	"4"	"13"	"8"	"1"	"400"	"17"	"8"	"52"	"60"	"25"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"9"	"10"	"0"	"182"	"182"	"1"	"0"
"13418"	"4"	"13"	"8"	"1"	"400"	"15"	"15"	"61"	"77"	"31"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"3"	"9"	"0"	"214"	"214"	"1"	"1"
"13419"	"4"	"13"	"8"	"1"	"400"	"12"	"18"	"41"	"82"	"56"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"15"	"8"	"0"	"236"	"236"	"1"	"0"
"13420"	"4"	"13"	"8"	"1"	"400"	"10"	"11"	"68"	"67"	"17"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"6"	"5"	"0"	"185"	"185"	"1"	"0"
"13421"	"4"	"13"	"8"	"1"	"400"	"9"	"21"	"71"	"73"	"15"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"10"	"10"	"0"	"215"	"215"	"1"	"0"
"13422"	"4"	"13"	"8"	"1"	"400"	"4"	"22"	"38"	"78"	"32"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"10"	"9"	"0"	"197"	"197"	"1"	"0"
"13423"	"4"	"13"	"8"	"1"	"400"	"13"	"6"	"73"	"69"	"24"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"6"	"3"	"0"	"198"	"198"	"1"	"0"
"13424"	"4"	"13"	"8"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"13425"	"4"	"13"	"8"	"1"	"400"	"8"	"12"	"48"	"61"	"22"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"2"	"3"	"1"	"158"	"158"	"1"	"0"
"13426"	"4"	"13"	"8"	"2"	"400"	"4"	"13"	"50"	"53"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"1"	"1"	"0"	"137"	"137"	"1"	"0"
"13427"	"4"	"13"	"8"	"2"	"400"	"10"	"8"	"41"	"56"	"23"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"139"	"139"	"4"	"5"	"0"	"148"	"148"	"1"	"0"
"13428"	"4"	"13"	"8"	"2"	"400"	"12"	"11"	"55"	"67"	"18"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"11"	"4"	"14"	"180"	"180"	"1"	"0"
"13429"	"4"	"13"	"8"	"2"	"400"	"11"	"15"	"47"	"87"	"25"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"12"	"7"	"0"	"208"	"208"	"1"	"0"
"13430"	"4"	"13"	"8"	"2"	"400"	"6"	"11"	"55"	"66"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"5"	"4"	"0"	"165"	"165"	"1"	"0"
