"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"URNG_MAIZ"	"FCN_NACION"	"CONVERGENCIA"	"WINAQ"	"BIEN"	"UNIONISTA"	"PHG"	"FUERZA"	"VIVA"	"MLP"	"VALOR"	"VICTORIA"	"CREO"	"TODOS"	"EG"	"SEMILLA"	"VAMOS"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11864"	"4"	"12"	"7"	"2"	"400"	"0"	"42"	"14"	"13"	"0"	"0"	"80"	"0"	"1"	"1"	"1"	"3"	"3"	"1"	"19"	"7"	"5"	"17"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"16"	"6"	"0"	"237"	"237"	"1"	"0"
"11865"	"4"	"12"	"7"	"2"	"396"	"0"	"34"	"12"	"15"	"1"	"1"	"81"	"2"	"0"	"1"	"1"	"1"	"5"	"0"	"21"	"5"	"2"	"30"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"13"	"6"	"0"	"235"	"235"	"1"	"0"
"11866"	"4"	"12"	"7"	"2"	"400"	"1"	"41"	"13"	"7"	"1"	"1"	"62"	"0"	"3"	"1"	"5"	"4"	"4"	"1"	"45"	"1"	"0"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"16"	"16"	"0"	"232"	"232"	"1"	"0"
"11867"	"4"	"12"	"7"	"2"	"400"	"0"	"45"	"13"	"12"	"2"	"0"	"80"	"1"	"1"	"1"	"2"	"4"	"1"	"2"	"31"	"5"	"3"	"11"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"223"	"17"	"10"	"0"	"250"	"250"	"0"	"0"
"11868"	"4"	"12"	"7"	"2"	"400"	"3"	"37"	"14"	"13"	"3"	"3"	"63"	"3"	"1"	"3"	"1"	"1"	"4"	"4"	"31"	"4"	"0"	"14"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"20"	"14"	"0"	"240"	"240"	"1"	"0"
"11869"	"4"	"12"	"7"	"2"	"400"	"0"	"42"	"12"	"11"	"3"	"3"	"90"	"3"	"0"	"2"	"1"	"3"	"4"	"1"	"33"	"7"	"0"	"9"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"15"	"7"	"0"	"253"	"253"	"1"	"0"
"11870"	"4"	"12"	"7"	"2"	"400"	"0"	"54"	"12"	"5"	"2"	"4"	"74"	"6"	"1"	"0"	"0"	"2"	"10"	"2"	"18"	"8"	"4"	"10"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"11"	"11"	"0"	"241"	"241"	"1"	"0"
"11871"	"4"	"12"	"7"	"2"	"400"	"0"	"27"	"43"	"16"	"2"	"2"	"65"	"12"	"0"	"1"	"2"	"1"	"9"	"4"	"25"	"10"	"1"	"15"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"4"	"4"	"0"	"254"	"254"	"1"	"0"
"11872"	"4"	"12"	"7"	"2"	"400"	"1"	"26"	"10"	"7"	"1"	"1"	"66"	"3"	"0"	"4"	"1"	"3"	"4"	"0"	"18"	"8"	"0"	"14"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"8"	"4"	"0"	"184"	"184"	"1"	"0"
"11873"	"4"	"12"	"7"	"2"	"400"	"2"	"17"	"14"	"7"	"0"	"1"	"53"	"0"	"1"	"0"	"2"	"1"	"3"	"3"	"27"	"2"	"0"	"19"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"157"	"157"	"8"	"3"	"0"	"168"	"168"	"1"	"0"
