"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"CCT"	"UNE"	"BIEN"	"VAMOS"	"PHG"	"SEMILLA"	"TODOS"	"VICTORIA"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12051"	"4"	"12"	"10"	"2"	"0"	"71"	"26"	"8"	"5"	"16"	"7"	"3"	"42"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"12"	"7"	"0"	"198"	"198"	"1"	"0"
"12052"	"4"	"12"	"10"	"2"	"399"	"45"	"24"	"11"	"3"	"25"	"7"	"3"	"60"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"11"	"7"	"0"	"197"	"197"	"1"	"0"
"12053"	"4"	"12"	"10"	"2"	"0"	"45"	"26"	"13"	"3"	"23"	"1"	"4"	"56"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"11"	"11"	"0"	"194"	"194"	"1"	"0"
"12054"	"4"	"12"	"10"	"2"	"400"	"42"	"41"	"7"	"3"	"21"	"6"	"4"	"62"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"11"	"8"	"0"	"208"	"208"	"1"	"0"
"12055"	"4"	"12"	"10"	"2"	"0"	"39"	"42"	"15"	"3"	"27"	"4"	"1"	"65"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"15"	"4"	"0"	"216"	"216"	"1"	"0"
"12056"	"4"	"12"	"10"	"2"	"400"	"72"	"54"	"4"	"0"	"15"	"2"	"4"	"47"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"19"	"6"	"0"	"224"	"224"	"1"	"0"
"12057"	"4"	"12"	"10"	"2"	"0"	"49"	"40"	"14"	"4"	"30"	"6"	"4"	"41"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"10"	"7"	"0"	"206"	"206"	"1"	"0"
"12058"	"4"	"12"	"10"	"2"	"400"	"46"	"54"	"9"	"3"	"23"	"4"	"1"	"51"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"11"	"3"	"0"	"208"	"208"	"1"	"0"
"12059"	"4"	"12"	"10"	"2"	"400"	"37"	"71"	"12"	"5"	"29"	"9"	"5"	"56"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"13"	"4"	"0"	"244"	"244"	"1"	"0"
"12060"	"4"	"12"	"10"	"2"	"400"	"57"	"72"	"4"	"10"	"32"	"9"	"11"	"53"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"8"	"5"	"0"	"265"	"265"	"1"	"0"
"12061"	"4"	"12"	"10"	"2"	"0"	"37"	"65"	"6"	"13"	"16"	"12"	"13"	"62"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"230"	"8"	"8"	"0"	"246"	"246"	"0"	"0"
"12062"	"4"	"12"	"10"	"2"	"400"	"31"	"45"	"8"	"7"	"15"	"6"	"4"	"61"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"3"	"1"	"0"	"181"	"181"	"1"	"0"
"12063"	"4"	"12"	"10"	"2"	"400"	"48"	"40"	"6"	"2"	"9"	"2"	"6"	"52"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"3"	"4"	"0"	"176"	"176"	"1"	"0"
"12064"	"4"	"12"	"10"	"2"	"400"	"31"	"21"	"7"	"8"	"14"	"7"	"9"	"76"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"3"	"7"	"0"	"184"	"184"	"1"	"0"
"12065"	"4"	"12"	"10"	"2"	"411"	"51"	"37"	"6"	"4"	"16"	"12"	"8"	"55"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"8"	"2"	"0"	"199"	"199"	"1"	"0"
"12066"	"4"	"12"	"10"	"2"	"400"	"31"	"40"	"3"	"4"	"10"	"6"	"9"	"73"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"7"	"4"	"0"	"195"	"195"	"1"	"0"
"12067"	"4"	"12"	"10"	"2"	"400"	"38"	"44"	"8"	"4"	"19"	"6"	"9"	"51"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"5"	"1"	"0"	"187"	"187"	"1"	"0"
"12068"	"4"	"12"	"10"	"2"	"265"	"32"	"33"	"1"	"3"	"19"	"6"	"10"	"35"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"141"	"141"	"3"	"0"	"0"	"144"	"144"	"1"	"0"
"12069"	"4"	"12"	"10"	"2"	"265"	"30"	"26"	"0"	"4"	"13"	"0"	"7"	"35"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"118"	"118"	"1"	"5"	"0"	"124"	"124"	"1"	"0"
"12070"	"4"	"12"	"10"	"2"	"380"	"35"	"64"	"14"	"7"	"19"	"3"	"0"	"54"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"19"	"4"	"0"	"222"	"222"	"1"	"0"
"12071"	"4"	"12"	"10"	"2"	"380"	"17"	"71"	"21"	"1"	"15"	"5"	"2"	"104"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"14"	"4"	"0"	"258"	"258"	"1"	"0"
"12072"	"4"	"12"	"10"	"2"	"380"	"22"	"65"	"7"	"3"	"10"	"5"	"2"	"95"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"25"	"3"	"0"	"238"	"238"	"1"	"0"
"12073"	"4"	"12"	"10"	"2"	"380"	"26"	"55"	"11"	"3"	"12"	"5"	"1"	"73"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"13"	"7"	"0"	"207"	"207"	"1"	"0"
"12074"	"4"	"12"	"10"	"2"	"380"	"26"	"80"	"8"	"2"	"3"	"4"	"3"	"63"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"16"	"4"	"0"	"211"	"211"	"1"	"0"
"12075"	"4"	"12"	"10"	"2"	"380"	"25"	"70"	"9"	"1"	"11"	"8"	"1"	"59"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"7"	"2"	"0"	"195"	"195"	"1"	"0"
"12076"	"4"	"12"	"10"	"2"	"239"	"23"	"37"	"7"	"1"	"5"	"4"	"0"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"106"	"106"	"0"	"1"	"0"	"107"	"107"	"1"	"0"
"12077"	"4"	"12"	"10"	"2"	"241"	"24"	"43"	"5"	"1"	"7"	"7"	"2"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"126"	"126"	"2"	"0"	"0"	"128"	"128"	"1"	"0"
"12078"	"4"	"12"	"10"	"2"	"380"	"37"	"41"	"13"	"4"	"22"	"4"	"3"	"65"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"16"	"9"	"0"	"218"	"218"	"1"	"0"
"12079"	"4"	"12"	"10"	"2"	"379"	"22"	"46"	"10"	"5"	"22"	"1"	"0"	"78"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"20"	"5"	"1"	"220"	"220"	"1"	"0"
"12080"	"4"	"12"	"10"	"2"	"0"	"31"	"48"	"13"	"1"	"31"	"4"	"0"	"89"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"13"	"4"	"0"	"0"	"238"	"0"	"0"
"12081"	"4"	"12"	"10"	"2"	"380"	"34"	"42"	"10"	"4"	"18"	"3"	"3"	"63"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"13"	"3"	"0"	"199"	"199"	"1"	"0"
