"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UNE"	"EG"	"CREO"	"FCN_NACION"	"CONVERGENCIA"	"TODOS"	"PODEMOS"	"VIVA"	"LIBRE"	"UCN"	"PHG"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13774"	"4"	"13"	"15"	"2"	"396"	"4"	"63"	"13"	"139"	"0"	"2"	"0"	"4"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"15"	"14"	"0"	"260"	"260"	"1"	"0"
"13775"	"4"	"13"	"15"	"2"	"396"	"2"	"67"	"9"	"161"	"1"	"5"	"2"	"5"	"4"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"12"	"24"	"0"	"296"	"296"	"1"	"0"
"13776"	"4"	"13"	"15"	"2"	"400"	"1"	"52"	"9"	"169"	"1"	"4"	"1"	"5"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"5"	"8"	"0"	"259"	"259"	"1"	"0"
"13777"	"4"	"13"	"15"	"2"	"400"	"4"	"48"	"10"	"115"	"0"	"4"	"0"	"2"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"4"	"1"	"0"	"191"	"191"	"1"	"0"
"13778"	"4"	"13"	"15"	"2"	"234"	"1"	"27"	"4"	"78"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"112"	"112"	"1"	"7"	"0"	"120"	"120"	"1"	"0"
"13779"	"4"	"13"	"15"	"2"	"233"	"1"	"28"	"5"	"65"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"103"	"103"	"3"	"1"	"0"	"107"	"107"	"1"	"0"
"13780"	"4"	"13"	"15"	"2"	"397"	"3"	"80"	"7"	"126"	"0"	"7"	"0"	"1"	"3"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"15"	"8"	"0"	"254"	"254"	"1"	"0"
"13781"	"4"	"13"	"15"	"2"	"400"	"2"	"60"	"13"	"160"	"1"	"4"	"0"	"4"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"10"	"24"	"0"	"284"	"284"	"1"	"0"
"13782"	"4"	"13"	"15"	"2"	"396"	"2"	"71"	"11"	"126"	"1"	"4"	"1"	"4"	"2"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"9"	"17"	"0"	"256"	"256"	"1"	"0"
"13783"	"4"	"13"	"15"	"2"	"396"	"0"	"55"	"5"	"153"	"0"	"3"	"0"	"1"	"1"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"8"	"8"	"0"	"240"	"240"	"1"	"0"
