"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"EG"	"UNE"	"TODOS"	"FUERZA"	"COMCICH"	"VALOR"	"CONVERGENCIA"	"UNIONISTA"	"PHG"	"FCN_NACION"	"PC"	"BIEN"	"MLP"	"SEMILLA"	"LIBRE"	"UCN"	"PODEMOS"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8500"	"4"	"8"	"1"	"2"	"400"	"29"	"5"	"85"	"46"	"13"	"11"	"6"	"5"	"12"	"9"	"2"	"4"	"8"	"7"	"19"	"2"	"5"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"10"	"3"	"0"	"307"	"307"	"1"	"0"
"8501"	"4"	"8"	"1"	"2"	"400"	"20"	"5"	"77"	"46"	"14"	"16"	"4"	"8"	"1"	"15"	"0"	"4"	"3"	"6"	"10"	"13"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"18"	"7"	"0"	"280"	"280"	"1"	"0"
"8502"	"4"	"8"	"1"	"2"	"400"	"19"	"3"	"88"	"44"	"12"	"17"	"4"	"7"	"4"	"9"	"2"	"2"	"5"	"10"	"10"	"4"	"2"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"9"	"4"	"0"	"271"	"271"	"1"	"0"
"8503"	"4"	"8"	"1"	"2"	"400"	"26"	"3"	"81"	"39"	"16"	"17"	"3"	"6"	"3"	"14"	"6"	"5"	"5"	"7"	"8"	"5"	"9"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"14"	"6"	"0"	"286"	"286"	"1"	"0"
"8504"	"4"	"8"	"1"	"2"	"400"	"23"	"3"	"84"	"64"	"8"	"10"	"4"	"6"	"7"	"9"	"1"	"2"	"6"	"9"	"9"	"4"	"6"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"12"	"4"	"0"	"298"	"298"	"1"	"0"
"8505"	"4"	"8"	"1"	"2"	"400"	"31"	"5"	"71"	"65"	"9"	"18"	"5"	"1"	"8"	"2"	"5"	"1"	"1"	"6"	"10"	"6"	"6"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"11"	"11"	"0"	"291"	"291"	"1"	"0"
"8506"	"4"	"8"	"1"	"2"	"397"	"14"	"3"	"91"	"57"	"12"	"21"	"4"	"4"	"10"	"4"	"8"	"1"	"4"	"9"	"11"	"2"	"6"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"17"	"4"	"21"	"305"	"305"	"1"	"0"
"8507"	"4"	"8"	"1"	"2"	"400"	"25"	"3"	"81"	"47"	"18"	"23"	"3"	"4"	"2"	"10"	"1"	"4"	"5"	"5"	"12"	"6"	"9"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"12"	"6"	"0"	"301"	"301"	"1"	"0"
"8508"	"4"	"8"	"1"	"2"	"400"	"26"	"3"	"96"	"40"	"15"	"16"	"7"	"5"	"5"	"11"	"4"	"3"	"7"	"8"	"11"	"4"	"9"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"10"	"7"	"0"	"303"	"303"	"1"	"0"
"8509"	"4"	"8"	"1"	"2"	"396"	"32"	"2"	"83"	"41"	"20"	"24"	"4"	"11"	"7"	"15"	"2"	"4"	"4"	"7"	"13"	"4"	"9"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"14"	"1"	"4"	"323"	"323"	"1"	"0"
"8510"	"4"	"8"	"1"	"2"	"400"	"34"	"0"	"90"	"34"	"14"	"16"	"2"	"1"	"3"	"8"	"4"	"1"	"4"	"3"	"14"	"3"	"3"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"12"	"1"	"0"	"270"	"270"	"1"	"0"
"8511"	"4"	"8"	"1"	"2"	"400"	"24"	"1"	"76"	"45"	"18"	"17"	"2"	"3"	"2"	"13"	"3"	"1"	"3"	"3"	"14"	"5"	"1"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"8"	"4"	"0"	"257"	"257"	"1"	"0"
"8512"	"4"	"8"	"1"	"2"	"398"	"33"	"2"	"77"	"43"	"21"	"14"	"7"	"3"	"2"	"20"	"5"	"8"	"3"	"1"	"12"	"4"	"3"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"7"	"1"	"1"	"284"	"284"	"1"	"0"
"8513"	"4"	"8"	"1"	"2"	"400"	"21"	"2"	"89"	"39"	"16"	"15"	"6"	"4"	"2"	"18"	"2"	"5"	"6"	"4"	"14"	"2"	"6"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"9"	"3"	"0"	"283"	"283"	"1"	"0"
"8514"	"4"	"8"	"1"	"2"	"400"	"32"	"3"	"83"	"44"	"17"	"19"	"8"	"2"	"5"	"18"	"1"	"12"	"6"	"6"	"17"	"3"	"6"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"9"	"2"	"0"	"311"	"311"	"1"	"0"
"8515"	"4"	"8"	"1"	"2"	"400"	"38"	"3"	"59"	"45"	"17"	"16"	"0"	"3"	"7"	"18"	"5"	"9"	"5"	"5"	"14"	"3"	"8"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"9"	"5"	"0"	"292"	"292"	"1"	"0"
"8516"	"4"	"8"	"1"	"2"	"400"	"32"	"6"	"86"	"56"	"13"	"17"	"3"	"3"	"4"	"16"	"4"	"0"	"2"	"4"	"11"	"4"	"3"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"13"	"1"	"0"	"303"	"303"	"1"	"0"
"8517"	"4"	"8"	"1"	"2"	"396"	"28"	"5"	"78"	"57"	"16"	"21"	"5"	"6"	"3"	"10"	"2"	"4"	"2"	"4"	"12"	"5"	"4"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"15"	"2"	"0"	"296"	"296"	"1"	"0"
"8518"	"4"	"8"	"1"	"2"	"395"	"29"	"2"	"72"	"54"	"15"	"16"	"7"	"1"	"2"	"8"	"2"	"1"	"7"	"3"	"10"	"3"	"2"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"11"	"3"	"0"	"265"	"265"	"1"	"0"
"8519"	"4"	"8"	"1"	"2"	"400"	"26"	"1"	"76"	"42"	"11"	"15"	"6"	"4"	"4"	"8"	"1"	"2"	"4"	"3"	"13"	"2"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"20"	"13"	"0"	"267"	"267"	"1"	"0"
"8520"	"4"	"8"	"1"	"2"	"399"	"23"	"3"	"90"	"35"	"11"	"22"	"4"	"6"	"3"	"10"	"7"	"4"	"3"	"3"	"15"	"1"	"3"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"10"	"4"	"0"	"273"	"273"	"1"	"0"
"8521"	"4"	"8"	"1"	"2"	"400"	"35"	"2"	"66"	"33"	"16"	"14"	"4"	"1"	"6"	"9"	"1"	"2"	"4"	"5"	"10"	"3"	"5"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"3"	"3"	"3"	"241"	"241"	"1"	"0"
"8522"	"4"	"8"	"1"	"2"	"402"	"20"	"2"	"79"	"35"	"12"	"19"	"3"	"3"	"3"	"11"	"2"	"1"	"5"	"5"	"11"	"4"	"2"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"14"	"3"	"0"	"254"	"254"	"1"	"0"
"8523"	"4"	"8"	"1"	"2"	"392"	"18"	"5"	"68"	"48"	"15"	"14"	"4"	"4"	"11"	"13"	"3"	"1"	"2"	"5"	"8"	"5"	"4"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"8"	"0"	"0"	"252"	"252"	"1"	"0"
"8524"	"4"	"8"	"1"	"2"	"390"	"17"	"4"	"66"	"46"	"16"	"5"	"2"	"5"	"4"	"13"	"3"	"0"	"5"	"4"	"17"	"5"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"6"	"2"	"0"	"236"	"236"	"1"	"0"
"8525"	"4"	"8"	"1"	"2"	"400"	"14"	"2"	"68"	"34"	"28"	"13"	"5"	"4"	"3"	"8"	"4"	"0"	"8"	"6"	"4"	"1"	"3"	"13"	"0"	"0"	"4"	"0"	"8"	"6"	"4"	"1"	"3"	"13"	"0"	"0"	"218"	"218"	"19"	"8"	"0"	"245"	"245"	"1"	"0"
