"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"WINAQ"	"FCN_NACION"	"PC"	"BIEN"	"UNIDOS"	"TODOS"	"PODEMOS"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16554"	"4"	"16"	"6"	"2"	"400"	"88"	"2"	"11"	"56"	"63"	"44"	"1"	"16"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"9"	"8"	"0"	"308"	"308"	"1"	"0"
"16555"	"4"	"16"	"6"	"2"	"400"	"63"	"3"	"18"	"77"	"58"	"69"	"0"	"15"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"310"	"310"	"6"	"3"	"0"	"319"	"319"	"1"	"0"
"16556"	"4"	"16"	"6"	"2"	"400"	"74"	"4"	"19"	"66"	"63"	"63"	"0"	"12"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"312"	"312"	"4"	"4"	"0"	"320"	"320"	"1"	"0"
"16557"	"4"	"16"	"6"	"2"	"400"	"71"	"6"	"16"	"63"	"52"	"99"	"1"	"17"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"329"	"329"	"12"	"7"	"0"	"348"	"348"	"1"	"0"
"16558"	"4"	"16"	"6"	"2"	"400"	"68"	"1"	"23"	"91"	"82"	"46"	"1"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"325"	"325"	"8"	"6"	"0"	"339"	"339"	"1"	"0"
"16559"	"4"	"16"	"6"	"2"	"400"	"48"	"1"	"30"	"80"	"80"	"66"	"2"	"9"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"321"	"321"	"5"	"10"	"0"	"336"	"336"	"1"	"0"
"16560"	"4"	"16"	"6"	"2"	"399"	"91"	"1"	"21"	"53"	"59"	"73"	"1"	"13"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"7"	"4"	"0"	"329"	"329"	"1"	"0"
"16561"	"4"	"16"	"6"	"2"	"400"	"86"	"1"	"25"	"47"	"36"	"104"	"0"	"22"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"329"	"329"	"8"	"6"	"0"	"343"	"343"	"1"	"0"
"16562"	"4"	"16"	"6"	"2"	"400"	"85"	"3"	"16"	"37"	"61"	"66"	"0"	"32"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"10"	"4"	"0"	"320"	"320"	"1"	"0"
"16563"	"4"	"16"	"6"	"2"	"0"	"117"	"4"	"8"	"46"	"75"	"50"	"1"	"23"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"332"	"332"	"9"	"3"	"0"	"344"	"344"	"1"	"0"
"16564"	"4"	"16"	"6"	"2"	"400"	"129"	"4"	"3"	"52"	"58"	"45"	"0"	"11"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"310"	"310"	"8"	"6"	"0"	"324"	"324"	"1"	"0"
"16565"	"4"	"16"	"6"	"2"	"0"	"143"	"4"	"12"	"43"	"37"	"39"	"1"	"15"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"13"	"12"	"0"	"325"	"325"	"1"	"0"
"16566"	"4"	"16"	"6"	"2"	"0"	"87"	"0"	"8"	"56"	"95"	"33"	"1"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"5"	"1"	"0"	"302"	"302"	"1"	"0"
"16567"	"4"	"16"	"6"	"2"	"380"	"78"	"2"	"15"	"51"	"60"	"58"	"1"	"13"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"7"	"0"	"0"	"289"	"289"	"1"	"0"
"16568"	"4"	"16"	"6"	"2"	"400"	"64"	"4"	"18"	"68"	"44"	"60"	"0"	"18"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"7"	"0"	"0"	"287"	"287"	"1"	"0"
"16569"	"4"	"16"	"6"	"2"	"400"	"82"	"0"	"9"	"65"	"51"	"45"	"0"	"28"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"7"	"1"	"0"	"294"	"294"	"1"	"0"
"16570"	"4"	"16"	"6"	"2"	"400"	"73"	"2"	"16"	"51"	"40"	"59"	"0"	"31"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"4"	"2"	"0"	"288"	"288"	"1"	"0"
"16571"	"4"	"16"	"6"	"2"	"400"	"92"	"3"	"22"	"72"	"39"	"59"	"1"	"14"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"315"	"315"	"7"	"1"	"0"	"323"	"323"	"1"	"0"
"16572"	"4"	"16"	"6"	"2"	"400"	"69"	"7"	"14"	"58"	"45"	"56"	"0"	"14"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"0"	"3"	"0"	"275"	"275"	"1"	"0"
"16573"	"4"	"16"	"6"	"2"	"400"	"90"	"4"	"9"	"60"	"35"	"60"	"0"	"16"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"5"	"5"	"0"	"289"	"289"	"1"	"0"
"16574"	"4"	"16"	"6"	"2"	"400"	"67"	"3"	"19"	"43"	"44"	"54"	"0"	"17"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"7"	"5"	"0"	"267"	"267"	"1"	"0"
"16575"	"4"	"16"	"6"	"2"	"400"	"68"	"2"	"5"	"64"	"58"	"52"	"0"	"23"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"6"	"6"	"0"	"299"	"299"	"1"	"0"
"16576"	"4"	"16"	"6"	"2"	"400"	"73"	"9"	"18"	"60"	"44"	"72"	"0"	"16"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"1"	"1"	"0"	"299"	"299"	"1"	"0"
"16577"	"4"	"16"	"6"	"2"	"400"	"71"	"5"	"11"	"53"	"54"	"51"	"1"	"20"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"1"	"2"	"0"	"275"	"275"	"1"	"0"
"16578"	"4"	"16"	"6"	"2"	"400"	"81"	"1"	"13"	"51"	"62"	"71"	"0"	"22"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"1"	"0"	"0"	"307"	"307"	"1"	"0"
"16579"	"4"	"16"	"6"	"2"	"205"	"56"	"0"	"4"	"23"	"32"	"40"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"8"	"1"	"0"	"167"	"167"	"1"	"0"
"16580"	"4"	"16"	"6"	"2"	"200"	"52"	"3"	"6"	"21"	"21"	"31"	"0"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"2"	"0"	"0"	"144"	"144"	"1"	"0"
"16581"	"4"	"16"	"6"	"2"	"400"	"55"	"0"	"14"	"54"	"109"	"77"	"2"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"316"	"316"	"6"	"9"	"0"	"331"	"331"	"1"	"0"
"16582"	"4"	"16"	"6"	"2"	"400"	"61"	"2"	"13"	"54"	"69"	"78"	"0"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"14"	"7"	"0"	"306"	"306"	"1"	"0"
"16583"	"4"	"16"	"6"	"2"	"400"	"70"	"1"	"7"	"72"	"65"	"79"	"0"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"13"	"8"	"0"	"322"	"322"	"1"	"0"
"16584"	"4"	"16"	"6"	"2"	"400"	"77"	"3"	"4"	"43"	"25"	"54"	"0"	"2"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"12"	"7"	"0"	"257"	"257"	"1"	"0"
"16585"	"4"	"16"	"6"	"2"	"400"	"59"	"1"	"11"	"48"	"60"	"76"	"0"	"3"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"7"	"3"	"0"	"279"	"279"	"1"	"0"
"16586"	"4"	"16"	"6"	"2"	"217"	"31"	"2"	"6"	"23"	"29"	"29"	"0"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"126"	"126"	"4"	"2"	"0"	"132"	"132"	"1"	"0"
"16587"	"4"	"16"	"6"	"2"	"216"	"41"	"0"	"4"	"39"	"31"	"42"	"0"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"1"	"2"	"0"	"168"	"168"	"1"	"0"
"16588"	"4"	"16"	"6"	"2"	"380"	"82"	"0"	"37"	"122"	"37"	"10"	"0"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"10"	"0"	"0"	"307"	"307"	"1"	"0"
"16589"	"4"	"16"	"6"	"2"	"380"	"68"	"2"	"36"	"109"	"64"	"10"	"0"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"4"	"5"	"0"	"309"	"309"	"1"	"0"
"16590"	"4"	"16"	"6"	"2"	"380"	"43"	"3"	"92"	"99"	"24"	"34"	"0"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"6"	"3"	"0"	"311"	"311"	"1"	"0"
"16591"	"4"	"16"	"6"	"2"	"381"	"62"	"3"	"27"	"112"	"26"	"26"	"0"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"3"	"4"	"0"	"270"	"270"	"1"	"0"
