"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"UNE"	"UNIONISTA"	"TODOS"	"UCN"	"LIBRE"	"FCN_NACION"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14453"	"4"	"13"	"32"	"2"	"400"	"25"	"44"	"56"	"2"	"9"	"16"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"15"	"7"	"0"	"177"	"177"	"1"	"0"
"14454"	"4"	"13"	"32"	"2"	"400"	"12"	"51"	"44"	"0"	"8"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"9"	"12"	"0"	"152"	"152"	"1"	"0"
"14455"	"4"	"13"	"32"	"2"	"400"	"16"	"50"	"54"	"0"	"15"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"145"	"145"	"11"	"7"	"0"	"163"	"163"	"1"	"0"
"14456"	"4"	"13"	"32"	"2"	"400"	"9"	"66"	"104"	"1"	"12"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"8"	"5"	"0"	"214"	"214"	"1"	"0"
"14457"	"4"	"13"	"32"	"2"	"400"	"7"	"76"	"61"	"3"	"9"	"12"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"9"	"13"	"0"	"194"	"194"	"1"	"0"
"14458"	"4"	"13"	"32"	"2"	"400"	"30"	"60"	"65"	"3"	"9"	"16"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"11"	"7"	"0"	"205"	"205"	"1"	"0"
"14459"	"4"	"13"	"32"	"2"	"401"	"90"	"23"	"23"	"2"	"9"	"24"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"11"	"9"	"0"	"196"	"196"	"1"	"0"
"14460"	"4"	"13"	"32"	"2"	"400"	"26"	"44"	"37"	"1"	"1"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"119"	"119"	"2"	"8"	"0"	"129"	"129"	"1"	"0"
"14461"	"4"	"13"	"32"	"2"	"400"	"28"	"57"	"40"	"1"	"8"	"10"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"3"	"4"	"0"	"157"	"157"	"1"	"0"
"14462"	"4"	"13"	"32"	"2"	"400"	"23"	"48"	"30"	"3"	"16"	"10"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"134"	"134"	"7"	"7"	"0"	"148"	"148"	"1"	"0"
