"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"UCN"	"UNE"	"VAMOS"	"FCN_NACION"	"BIEN"	"VALOR"	"MLP"	"AVANZA"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19054"	"4"	"19"	"6"	"2"	"400"	"9"	"84"	"36"	"31"	"96"	"7"	"18"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"8"	"4"	"0"	"300"	"300"	"1"	"0"
"19055"	"4"	"19"	"6"	"2"	"400"	"8"	"71"	"39"	"32"	"88"	"15"	"19"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"16"	"0"	"0"	"300"	"300"	"1"	"0"
"19056"	"4"	"19"	"6"	"2"	"400"	"16"	"95"	"40"	"30"	"84"	"20"	"13"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"17"	"1"	"0"	"323"	"323"	"1"	"0"
"19057"	"4"	"19"	"6"	"2"	"400"	"15"	"96"	"39"	"28"	"84"	"12"	"9"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"14"	"5"	"0"	"313"	"313"	"1"	"0"
"19058"	"4"	"19"	"6"	"2"	"400"	"21"	"104"	"23"	"30"	"91"	"7"	"10"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"9"	"3"	"0"	"309"	"309"	"1"	"0"
"19059"	"4"	"19"	"6"	"2"	"400"	"19"	"79"	"23"	"29"	"86"	"7"	"14"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"16"	"2"	"0"	"287"	"287"	"1"	"0"
"19060"	"4"	"19"	"6"	"2"	"396"	"13"	"96"	"30"	"26"	"83"	"11"	"14"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"5"	"5"	"0"	"292"	"292"	"1"	"1"
"19061"	"4"	"19"	"6"	"2"	"326"	"13"	"94"	"27"	"28"	"59"	"2"	"11"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"6"	"0"	"0"	"248"	"248"	"1"	"0"
"19062"	"4"	"19"	"6"	"2"	"325"	"8"	"79"	"28"	"21"	"92"	"11"	"5"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"2"	"2"	"0"	"254"	"254"	"1"	"3"
"19063"	"4"	"19"	"6"	"2"	"376"	"7"	"86"	"20"	"19"	"76"	"33"	"5"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"13"	"2"	"0"	"266"	"266"	"1"	"0"
"19064"	"4"	"19"	"6"	"2"	"380"	"12"	"102"	"16"	"9"	"104"	"25"	"3"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"20"	"80"	"0"	"380"	"380"	"1"	"0"
"19065"	"4"	"19"	"6"	"2"	"322"	"13"	"61"	"9"	"12"	"72"	"18"	"4"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"12"	"2"	"0"	"208"	"208"	"1"	"0"
"19066"	"4"	"19"	"6"	"2"	"318"	"9"	"79"	"13"	"10"	"66"	"32"	"7"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"5"	"2"	"0"	"225"	"225"	"1"	"0"
"19067"	"4"	"19"	"6"	"2"	"380"	"18"	"108"	"33"	"5"	"72"	"13"	"7"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"15"	"4"	"0"	"280"	"280"	"1"	"0"
"19068"	"4"	"19"	"6"	"2"	"380"	"23"	"99"	"31"	"12"	"73"	"18"	"1"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"23"	"5"	"0"	"296"	"296"	"1"	"0"
