"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"BIEN"	"EL_GALLO"	"TODOS"	"MANO"	"AL_RESCATE_DE_ZACAPA"	"VALOR"	"WINAQ"	"UNE"	"UCN"	"R_19_PAZ"	"VIVA"	"VICTORIA"	"CONVERGENCIA"	"VAMOS"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18799"	"4"	"19"	"1"	"2"	"400"	"15"	"2"	"15"	"59"	"79"	"19"	"0"	"21"	"11"	"26"	"8"	"4"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"265"	"11"	"2"	"0"	"269"	"278"	"0"	"0"
"18800"	"4"	"19"	"1"	"2"	"404"	"20"	"1"	"22"	"40"	"73"	"15"	"3"	"35"	"14"	"27"	"10"	"2"	"10"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"11"	"0"	"0"	"290"	"290"	"1"	"0"
"18801"	"4"	"19"	"1"	"2"	"396"	"17"	"2"	"21"	"50"	"75"	"16"	"6"	"18"	"8"	"30"	"4"	"3"	"12"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"8"	"2"	"0"	"281"	"281"	"1"	"0"
"18802"	"4"	"19"	"1"	"2"	"394"	"13"	"7"	"12"	"52"	"75"	"13"	"1"	"24"	"2"	"35"	"5"	"7"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"4"	"2"	"2"	"266"	"264"	"0"	"0"
"18803"	"4"	"19"	"1"	"2"	"400"	"14"	"2"	"27"	"33"	"76"	"18"	"4"	"24"	"5"	"39"	"9"	"5"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"4"	"1"	"0"	"268"	"268"	"1"	"0"
"18804"	"4"	"19"	"1"	"2"	"390"	"14"	"0"	"16"	"25"	"85"	"12"	"2"	"16"	"13"	"40"	"5"	"4"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"11"	"1"	"0"	"253"	"253"	"1"	"0"
"18805"	"4"	"19"	"1"	"2"	"390"	"10"	"0"	"13"	"42"	"86"	"7"	"3"	"24"	"10"	"46"	"4"	"4"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"5"	"3"	"0"	"264"	"264"	"1"	"0"
"18806"	"4"	"19"	"1"	"2"	"400"	"7"	"1"	"12"	"22"	"44"	"1"	"1"	"14"	"37"	"33"	"4"	"5"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"24"	"4"	"0"	"220"	"220"	"1"	"0"
"18807"	"4"	"19"	"1"	"2"	"400"	"14"	"1"	"6"	"25"	"50"	"6"	"0"	"27"	"36"	"40"	"4"	"3"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"23"	"6"	"0"	"246"	"246"	"1"	"0"
"18808"	"4"	"19"	"1"	"2"	"400"	"10"	"2"	"18"	"23"	"65"	"6"	"2"	"15"	"33"	"41"	"2"	"4"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"21"	"7"	"0"	"255"	"255"	"1"	"0"
"18809"	"4"	"19"	"1"	"2"	"391"	"7"	"0"	"7"	"26"	"56"	"9"	"2"	"13"	"42"	"53"	"3"	"5"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"18"	"6"	"4"	"256"	"256"	"1"	"0"
"18810"	"4"	"19"	"1"	"2"	"396"	"11"	"2"	"14"	"43"	"60"	"6"	"0"	"15"	"29"	"35"	"6"	"2"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"20"	"4"	"0"	"258"	"258"	"1"	"0"
"18811"	"4"	"19"	"1"	"2"	"400"	"8"	"1"	"11"	"43"	"43"	"5"	"2"	"17"	"31"	"31"	"2"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"17"	"186"	"17"	"214"	"400"	"0"	"0"
"18812"	"4"	"19"	"1"	"2"	"396"	"12"	"1"	"9"	"30"	"49"	"6"	"2"	"20"	"35"	"35"	"2"	"5"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"11"	"2"	"1"	"222"	"222"	"1"	"0"
"18813"	"4"	"19"	"1"	"2"	"380"	"8"	"2"	"8"	"29"	"52"	"7"	"1"	"12"	"20"	"36"	"6"	"2"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"20"	"2"	"1"	"219"	"217"	"0"	"1"
"18814"	"4"	"19"	"1"	"2"	"396"	"5"	"1"	"8"	"26"	"38"	"7"	"3"	"12"	"29"	"32"	"3"	"3"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"27"	"2"	"200"	"200"	"200"	"1"	"0"
"18815"	"4"	"19"	"1"	"2"	"396"	"10"	"2"	"9"	"30"	"48"	"7"	"2"	"21"	"19"	"43"	"2"	"3"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"9"	"2"	"0"	"211"	"211"	"1"	"0"
"18816"	"4"	"19"	"1"	"2"	"399"	"9"	"0"	"8"	"37"	"51"	"4"	"3"	"16"	"23"	"35"	"0"	"3"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"8"	"3"	"0"	"207"	"207"	"1"	"0"
"18817"	"4"	"19"	"1"	"2"	"396"	"13"	"4"	"8"	"36"	"38"	"7"	"2"	"25"	"9"	"53"	"10"	"8"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"22"	"2"	"151"	"245"	"245"	"1"	"0"
"18818"	"4"	"19"	"1"	"2"	"400"	"14"	"0"	"9"	"37"	"61"	"4"	"2"	"28"	"14"	"75"	"2"	"0"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"16"	"6"	"0"	"274"	"274"	"1"	"0"
"18819"	"4"	"19"	"1"	"2"	"396"	"9"	"2"	"13"	"32"	"46"	"0"	"6"	"24"	"8"	"82"	"3"	"3"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"29"	"4"	"0"	"269"	"269"	"1"	"0"
"18820"	"4"	"19"	"1"	"2"	"400"	"10"	"3"	"10"	"31"	"51"	"8"	"1"	"27"	"13"	"85"	"2"	"1"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"32"	"5"	"0"	"286"	"286"	"1"	"0"
"18821"	"4"	"19"	"1"	"2"	"400"	"10"	"2"	"8"	"30"	"64"	"6"	"2"	"26"	"16"	"78"	"6"	"0"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"24"	"8"	"0"	"288"	"288"	"1"	"0"
"18822"	"4"	"19"	"1"	"2"	"396"	"18"	"0"	"16"	"47"	"57"	"9"	"2"	"28"	"7"	"70"	"8"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"11"	"3"	"0"	"283"	"283"	"1"	"0"
"18823"	"4"	"19"	"1"	"2"	"400"	"23"	"2"	"14"	"38"	"48"	"5"	"5"	"27"	"14"	"74"	"4"	"7"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"267"	"11"	"1"	"0"	"280"	"279"	"0"	"0"
"18824"	"4"	"19"	"1"	"2"	"396"	"17"	"3"	"6"	"35"	"70"	"2"	"0"	"38"	"13"	"65"	"3"	"4"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"4"	"3"	"0"	"276"	"276"	"1"	"0"
"18825"	"4"	"19"	"1"	"2"	"396"	"17"	"5"	"6"	"24"	"49"	"18"	"2"	"28"	"9"	"46"	"3"	"5"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"16"	"2"	"0"	"237"	"237"	"1"	"0"
"18826"	"4"	"19"	"1"	"2"	"400"	"18"	"0"	"10"	"24"	"44"	"7"	"1"	"23"	"11"	"59"	"2"	"0"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"17"	"2"	"0"	"229"	"229"	"1"	"0"
"18827"	"4"	"19"	"1"	"2"	"398"	"16"	"2"	"16"	"26"	"51"	"7"	"6"	"22"	"13"	"58"	"4"	"3"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"22"	"4"	"1"	"257"	"257"	"1"	"0"
"18828"	"4"	"19"	"1"	"2"	"396"	"19"	"0"	"13"	"33"	"50"	"9"	"4"	"31"	"7"	"55"	"5"	"3"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"8"	"7"	"0"	"254"	"254"	"1"	"0"
"18829"	"4"	"19"	"1"	"2"	"400"	"18"	"1"	"16"	"34"	"48"	"11"	"4"	"26"	"16"	"43"	"3"	"6"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"6"	"2"	"0"	"238"	"238"	"1"	"0"
"18830"	"4"	"19"	"1"	"2"	"396"	"13"	"2"	"9"	"23"	"53"	"7"	"8"	"28"	"10"	"59"	"5"	"4"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"232"	"21"	"1"	"0"	"246"	"254"	"0"	"0"
"18831"	"4"	"19"	"1"	"2"	"396"	"18"	"1"	"16"	"26"	"49"	"8"	"3"	"27"	"6"	"58"	"2"	"3"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"16"	"2"	"0"	"239"	"239"	"1"	"0"
"18832"	"4"	"19"	"1"	"2"	"396"	"9"	"4"	"6"	"30"	"52"	"3"	"1"	"24"	"9"	"53"	"1"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"6"	"2"	"0"	"204"	"204"	"1"	"0"
"18833"	"4"	"19"	"1"	"2"	"395"	"15"	"0"	"7"	"26"	"60"	"12"	"5"	"19"	"12"	"50"	"4"	"4"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"15"	"2"	"0"	"238"	"238"	"1"	"0"
"18834"	"4"	"19"	"1"	"2"	"352"	"10"	"2"	"14"	"35"	"53"	"10"	"3"	"26"	"10"	"60"	"2"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"6"	"1"	"0"	"237"	"237"	"1"	"0"
"18835"	"4"	"19"	"1"	"2"	"355"	"10"	"2"	"12"	"28"	"60"	"5"	"2"	"26"	"7"	"50"	"8"	"4"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"13"	"123"	"0"	"355"	"355"	"1"	"0"
"18836"	"4"	"19"	"1"	"2"	"400"	"11"	"4"	"7"	"47"	"53"	"10"	"3"	"27"	"20"	"57"	"7"	"9"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"10"	"0"	"1"	"273"	"273"	"1"	"0"
"18837"	"4"	"19"	"1"	"2"	"400"	"10"	"4"	"13"	"44"	"52"	"9"	"5"	"26"	"9"	"52"	"4"	"10"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"12"	"4"	"1"	"259"	"259"	"1"	"0"
"18838"	"4"	"19"	"1"	"2"	"400"	"14"	"1"	"11"	"46"	"51"	"7"	"3"	"27"	"12"	"52"	"7"	"5"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"9"	"4"	"0"	"259"	"259"	"1"	"0"
"18839"	"4"	"19"	"1"	"2"	"397"	"15"	"5"	"15"	"43"	"58"	"8"	"2"	"32"	"18"	"49"	"9"	"4"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"20"	"3"	"0"	"292"	"292"	"1"	"0"
"18840"	"4"	"19"	"1"	"2"	"400"	"15"	"3"	"11"	"47"	"63"	"9"	"5"	"35"	"12"	"40"	"6"	"8"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"15"	"6"	"0"	"282"	"282"	"1"	"0"
"18841"	"4"	"19"	"1"	"2"	"396"	"13"	"1"	"18"	"41"	"49"	"10"	"3"	"24"	"14"	"49"	"8"	"4"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"16"	"4"	"0"	"262"	"262"	"1"	"0"
"18842"	"4"	"19"	"1"	"2"	"396"	"14"	"0"	"16"	"47"	"68"	"13"	"4"	"32"	"16"	"39"	"5"	"7"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"13"	"3"	"0"	"283"	"283"	"1"	"1"
"18843"	"4"	"19"	"1"	"2"	"400"	"17"	"4"	"17"	"41"	"79"	"12"	"2"	"20"	"7"	"43"	"8"	"6"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"15"	"3"	"2"	"284"	"284"	"1"	"0"
"18844"	"4"	"19"	"1"	"2"	"400"	"20"	"1"	"16"	"45"	"74"	"13"	"4"	"30"	"13"	"43"	"5"	"5"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"9"	"2"	"0"	"290"	"290"	"1"	"0"
"18845"	"4"	"19"	"1"	"2"	"391"	"13"	"3"	"15"	"45"	"68"	"14"	"1"	"27"	"15"	"39"	"3"	"10"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"4"	"1"	"0"	"272"	"272"	"1"	"0"
