"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"PC"	"UNE"	"FUERZA"	"SEMILLA"	"PODEMOS"	"FCN_NACION"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14652"	"4"	"14"	"4"	"2"	"414"	"55"	"85"	"88"	"17"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"5"	"4"	"0"	"268"	"268"	"1"	"0"
"14653"	"4"	"14"	"4"	"2"	"400"	"55"	"101"	"99"	"9"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"9"	"6"	"0"	"290"	"290"	"1"	"0"
"14654"	"4"	"14"	"4"	"2"	"400"	"59"	"87"	"96"	"11"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"11"	"6"	"0"	"277"	"277"	"1"	"0"
"14655"	"4"	"14"	"4"	"2"	"400"	"81"	"91"	"90"	"9"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"13"	"4"	"0"	"299"	"299"	"1"	"0"
"14656"	"4"	"14"	"4"	"2"	"414"	"88"	"93"	"92"	"17"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"7"	"7"	"0"	"309"	"309"	"1"	"0"
"14657"	"4"	"14"	"4"	"2"	"390"	"141"	"63"	"72"	"14"	"15"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"310"	"310"	"6"	"4"	"0"	"320"	"320"	"1"	"0"
"14658"	"4"	"14"	"4"	"2"	"400"	"192"	"60"	"47"	"13"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"8"	"3"	"0"	"329"	"329"	"1"	"0"
"14659"	"4"	"14"	"4"	"2"	"399"	"218"	"42"	"49"	"8"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"3"	"4"	"0"	"327"	"327"	"1"	"0"
"14660"	"4"	"14"	"4"	"2"	"401"	"168"	"71"	"48"	"8"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"8"	"4"	"0"	"313"	"313"	"1"	"0"
"14661"	"4"	"14"	"4"	"2"	"400"	"103"	"85"	"61"	"7"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"9"	"2"	"0"	"277"	"277"	"1"	"0"
"14662"	"4"	"14"	"4"	"2"	"400"	"69"	"50"	"81"	"17"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"3"	"3"	"0"	"229"	"229"	"1"	"0"
