"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"WINAQ"	"VALOR"	"UNE"	"BIEN"	"VAMOS"	"CCEA"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9751"	"4"	"9"	"16"	"2"	"400"	"12"	"42"	"116"	"122"	"24"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"343"	"343"	"2"	"8"	"0"	"353"	"353"	"1"	"0"
"9752"	"4"	"9"	"16"	"2"	"400"	"2"	"73"	"128"	"103"	"19"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"344"	"344"	"5"	"15"	"0"	"364"	"364"	"1"	"0"
"9753"	"4"	"9"	"16"	"2"	"397"	"11"	"72"	"122"	"105"	"26"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"360"	"360"	"4"	"9"	"0"	"373"	"373"	"1"	"0"
"9754"	"4"	"9"	"16"	"2"	"0"	"17"	"75"	"124"	"109"	"18"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"359"	"359"	"8"	"8"	"0"	"375"	"375"	"1"	"0"
"9755"	"4"	"9"	"16"	"2"	"400"	"12"	"74"	"119"	"94"	"24"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"339"	"339"	"3"	"10"	"0"	"352"	"352"	"1"	"0"
"9756"	"4"	"9"	"16"	"2"	"400"	"8"	"61"	"108"	"131"	"21"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"348"	"348"	"7"	"13"	"0"	"368"	"368"	"1"	"0"
"9757"	"4"	"9"	"16"	"2"	"0"	"13"	"53"	"94"	"137"	"29"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"145"	"345"	"9"	"6"	"0"	"360"	"360"	"0"	"0"
"9758"	"4"	"9"	"16"	"2"	"400"	"8"	"2"	"116"	"110"	"24"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"345"	"285"	"9"	"8"	"0"	"362"	"302"	"0"	"0"
"9759"	"4"	"9"	"16"	"2"	"400"	"9"	"52"	"106"	"140"	"27"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"355"	"355"	"6"	"4"	"0"	"365"	"365"	"1"	"0"
"9760"	"4"	"9"	"16"	"2"	"399"	"8"	"59"	"107"	"114"	"38"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"338"	"338"	"3"	"2"	"0"	"343"	"343"	"1"	"0"
