"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"UNE"	"CREO"	"BIEN"	"UNIDOS"	"VICTORIA"	"FCN_NACION"	"PHG"	"PC"	"FUERZA"	"UNIONISTA"	"VALOR"	"MLP"	"PAN"	"UCN"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5947"	"3"	"4"	"1"	"2"	"400"	"20"	"8"	"62"	"21"	"56"	"13"	"2"	"13"	"17"	"1"	"3"	"1"	"29"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"20"	"14"	"0"	"283"	"283"	"1"	"0"
"5948"	"3"	"4"	"1"	"2"	"399"	"26"	"8"	"56"	"25"	"37"	"8"	"3"	"7"	"13"	"1"	"9"	"0"	"23"	"3"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"25"	"18"	"0"	"272"	"272"	"1"	"0"
"5949"	"3"	"4"	"1"	"2"	"400"	"16"	"3"	"61"	"15"	"61"	"23"	"1"	"12"	"13"	"0"	"4"	"3"	"35"	"4"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"11"	"13"	"0"	"283"	"283"	"1"	"0"
"5950"	"3"	"4"	"1"	"2"	"398"	"15"	"6"	"73"	"20"	"54"	"12"	"3"	"7"	"10"	"1"	"4"	"1"	"35"	"1"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"25"	"15"	"0"	"290"	"290"	"1"	"0"
"5951"	"3"	"4"	"1"	"2"	"400"	"24"	"5"	"56"	"26"	"43"	"11"	"0"	"11"	"19"	"0"	"3"	"1"	"48"	"2"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"28"	"15"	"0"	"300"	"300"	"1"	"0"
"5952"	"3"	"4"	"1"	"2"	"399"	"14"	"9"	"61"	"33"	"47"	"16"	"2"	"13"	"17"	"0"	"3"	"0"	"34"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"33"	"22"	"0"	"310"	"310"	"1"	"0"
"5953"	"3"	"4"	"1"	"2"	"400"	"21"	"8"	"83"	"25"	"51"	"19"	"2"	"5"	"6"	"1"	"6"	"1"	"38"	"1"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"25"	"14"	"0"	"315"	"315"	"1"	"0"
"5954"	"3"	"4"	"1"	"2"	"398"	"18"	"8"	"56"	"30"	"54"	"30"	"3"	"7"	"8"	"0"	"3"	"0"	"35"	"2"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"29"	"9"	"0"	"299"	"299"	"1"	"0"
"5955"	"3"	"4"	"1"	"2"	"400"	"16"	"11"	"43"	"28"	"63"	"13"	"1"	"11"	"18"	"1"	"1"	"3"	"45"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"8"	"7"	"0"	"274"	"274"	"1"	"0"
"5956"	"3"	"4"	"1"	"2"	"400"	"20"	"8"	"70"	"23"	"45"	"16"	"3"	"12"	"14"	"0"	"4"	"0"	"27"	"0"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"25"	"10"	"0"	"288"	"288"	"1"	"0"
"5957"	"3"	"4"	"1"	"2"	"400"	"16"	"6"	"51"	"24"	"58"	"12"	"2"	"13"	"10"	"1"	"3"	"5"	"34"	"3"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"13"	"10"	"0"	"270"	"270"	"1"	"0"
"5958"	"3"	"4"	"1"	"2"	"398"	"17"	"12"	"47"	"23"	"66"	"15"	"1"	"10"	"18"	"3"	"3"	"2"	"34"	"3"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"31"	"8"	"0"	"302"	"302"	"1"	"0"
"5959"	"3"	"4"	"1"	"2"	"401"	"16"	"7"	"66"	"28"	"41"	"14"	"0"	"9"	"16"	"4"	"2"	"3"	"28"	"4"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"27"	"9"	"0"	"279"	"279"	"1"	"0"
"5960"	"3"	"4"	"1"	"2"	"400"	"13"	"10"	"58"	"22"	"47"	"19"	"6"	"12"	"9"	"1"	"2"	"3"	"45"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"23"	"7"	"0"	"282"	"282"	"1"	"0"
"5961"	"3"	"4"	"1"	"2"	"400"	"27"	"7"	"53"	"25"	"41"	"16"	"2"	"11"	"12"	"3"	"1"	"1"	"32"	"0"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"10"	"18"	"0"	"272"	"272"	"1"	"0"
"5962"	"3"	"4"	"1"	"2"	"401"	"18"	"8"	"55"	"23"	"47"	"15"	"1"	"9"	"8"	"1"	"4"	"2"	"38"	"1"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"28"	"10"	"0"	"279"	"279"	"1"	"0"
"5963"	"3"	"4"	"1"	"2"	"400"	"10"	"8"	"62"	"26"	"51"	"9"	"0"	"7"	"9"	"0"	"5"	"1"	"27"	"1"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"17"	"14"	"0"	"260"	"260"	"1"	"0"
"5964"	"3"	"4"	"1"	"2"	"400"	"19"	"7"	"49"	"28"	"60"	"17"	"3"	"10"	"7"	"0"	"4"	"2"	"37"	"1"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"10"	"8"	"0"	"268"	"268"	"1"	"0"
"5965"	"3"	"4"	"1"	"2"	"400"	"16"	"7"	"68"	"22"	"45"	"14"	"2"	"15"	"11"	"1"	"4"	"3"	"45"	"4"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"9"	"5"	"0"	"282"	"282"	"1"	"0"
"5966"	"3"	"4"	"1"	"2"	"368"	"14"	"8"	"57"	"21"	"50"	"17"	"1"	"23"	"8"	"0"	"4"	"4"	"53"	"2"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"9"	"9"	"0"	"290"	"290"	"1"	"0"
"5967"	"3"	"4"	"1"	"2"	"367"	"8"	"11"	"65"	"19"	"54"	"6"	"3"	"11"	"7"	"0"	"2"	"1"	"20"	"1"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"11"	"8"	"0"	"233"	"233"	"1"	"0"
"5968"	"3"	"4"	"1"	"2"	"404"	"11"	"7"	"84"	"17"	"73"	"8"	"1"	"5"	"11"	"1"	"13"	"1"	"19"	"0"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"15"	"21"	"1"	"294"	"294"	"1"	"0"
"5969"	"3"	"4"	"1"	"2"	"404"	"5"	"4"	"82"	"27"	"69"	"7"	"1"	"8"	"7"	"3"	"10"	"3"	"16"	"0"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"13"	"13"	"0"	"279"	"279"	"1"	"0"
"5970"	"3"	"4"	"1"	"2"	"400"	"10"	"4"	"59"	"27"	"62"	"6"	"2"	"6"	"9"	"1"	"13"	"2"	"24"	"2"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"20"	"15"	"0"	"271"	"271"	"1"	"0"
"5971"	"3"	"4"	"1"	"2"	"400"	"15"	"5"	"84"	"27"	"77"	"3"	"2"	"3"	"10"	"0"	"9"	"6"	"14"	"0"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"13"	"24"	"0"	"301"	"301"	"1"	"0"
