"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"WINAQ"	"UNE"	"VALOR"	"UNIONISTA"	"FCN_NACION"	"VIVA"	"PPT"	"UCN"	"CONVERGENCIA"	"EG"	"CREO"	"SEMILLA"	"FUERZA"	"PC"	"PODEMOS"	"BIEN"	"LIBRE"	"URNG_MAIZ"	"VICTORIA"	"UNIDOS"	"PHG"	"PAN"	"AVANZA"	"MLP"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"1878"	"3"	"1"	"2"	"2"	"400"	"18"	"5"	"6"	"7"	"15"	"32"	"1"	"21"	"6"	"5"	"1"	"4"	"13"	"18"	"2"	"36"	"2"	"6"	"3"	"5"	"4"	"3"	"13"	"10"	"4"	"7"	"0"	"0"	"0"	"0"	"247"	"247"	"24"	"11"	"0"	"282"	"282"	"1"	"0"
"1879"	"3"	"1"	"2"	"2"	"400"	"15"	"6"	"3"	"11"	"14"	"27"	"2"	"15"	"11"	"5"	"1"	"5"	"14"	"21"	"2"	"53"	"1"	"4"	"7"	"6"	"4"	"0"	"15"	"10"	"6"	"2"	"0"	"0"	"0"	"0"	"260"	"260"	"21"	"11"	"0"	"292"	"292"	"1"	"0"
"1880"	"3"	"1"	"2"	"2"	"400"	"14"	"8"	"8"	"11"	"9"	"49"	"1"	"9"	"14"	"4"	"4"	"4"	"12"	"17"	"2"	"32"	"0"	"2"	"3"	"4"	"4"	"2"	"13"	"13"	"4"	"8"	"0"	"0"	"0"	"0"	"251"	"251"	"23"	"9"	"0"	"283"	"283"	"1"	"0"
"1881"	"3"	"1"	"2"	"2"	"400"	"19"	"4"	"7"	"14"	"14"	"34"	"0"	"9"	"13"	"4"	"2"	"3"	"11"	"21"	"5"	"37"	"1"	"4"	"4"	"4"	"4"	"1"	"18"	"7"	"1"	"5"	"0"	"0"	"0"	"0"	"246"	"246"	"30"	"12"	"0"	"288"	"288"	"1"	"0"
"1882"	"3"	"1"	"2"	"2"	"401"	"8"	"7"	"6"	"7"	"8"	"46"	"2"	"17"	"8"	"3"	"4"	"8"	"14"	"18"	"0"	"41"	"0"	"5"	"4"	"6"	"3"	"0"	"17"	"11"	"2"	"2"	"0"	"0"	"0"	"0"	"247"	"247"	"31"	"8"	"0"	"286"	"286"	"1"	"0"
"1883"	"3"	"1"	"2"	"2"	"400"	"16"	"7"	"7"	"12"	"16"	"35"	"2"	"9"	"13"	"5"	"8"	"3"	"13"	"20"	"2"	"55"	"1"	"2"	"2"	"4"	"2"	"1"	"18"	"9"	"2"	"2"	"0"	"0"	"0"	"0"	"266"	"266"	"36"	"6"	"0"	"308"	"308"	"1"	"0"
"1884"	"3"	"1"	"2"	"2"	"400"	"15"	"8"	"6"	"10"	"17"	"24"	"3"	"16"	"10"	"5"	"2"	"8"	"15"	"21"	"7"	"43"	"2"	"5"	"4"	"5"	"5"	"0"	"11"	"7"	"4"	"3"	"0"	"0"	"0"	"0"	"256"	"256"	"27"	"9"	"0"	"292"	"292"	"1"	"0"
"1885"	"3"	"1"	"2"	"2"	"400"	"20"	"7"	"11"	"10"	"6"	"36"	"3"	"13"	"15"	"3"	"2"	"2"	"18"	"22"	"0"	"39"	"1"	"3"	"8"	"9"	"5"	"2"	"13"	"5"	"5"	"4"	"0"	"0"	"0"	"0"	"262"	"262"	"26"	"8"	"6"	"296"	"296"	"1"	"0"
"1886"	"3"	"1"	"2"	"2"	"400"	"22"	"8"	"9"	"12"	"16"	"30"	"4"	"18"	"9"	"3"	"6"	"0"	"12"	"15"	"0"	"36"	"2"	"7"	"5"	"5"	"4"	"2"	"15"	"11"	"2"	"3"	"0"	"0"	"0"	"0"	"256"	"256"	"35"	"11"	"0"	"302"	"302"	"1"	"0"
"1887"	"3"	"1"	"2"	"2"	"400"	"23"	"7"	"8"	"11"	"14"	"43"	"2"	"16"	"14"	"3"	"2"	"3"	"9"	"18"	"0"	"50"	"1"	"3"	"3"	"5"	"2"	"2"	"20"	"5"	"2"	"7"	"0"	"0"	"0"	"0"	"273"	"273"	"12"	"10"	"26"	"295"	"295"	"1"	"0"
"1888"	"3"	"1"	"2"	"2"	"400"	"13"	"9"	"2"	"10"	"18"	"33"	"5"	"7"	"12"	"5"	"1"	"6"	"14"	"19"	"2"	"45"	"3"	"0"	"3"	"6"	"2"	"1"	"13"	"4"	"3"	"5"	"0"	"0"	"0"	"0"	"241"	"241"	"38"	"10"	"0"	"289"	"289"	"1"	"0"
"1889"	"3"	"1"	"2"	"2"	"400"	"22"	"12"	"13"	"13"	"15"	"38"	"2"	"11"	"4"	"9"	"4"	"2"	"12"	"20"	"3"	"50"	"4"	"2"	"4"	"2"	"1"	"0"	"16"	"10"	"3"	"2"	"0"	"0"	"0"	"0"	"274"	"274"	"22"	"10"	"0"	"306"	"306"	"1"	"0"
