"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"WINAQ"	"PPT"	"FCN_NACION"	"VALOR"	"FUERZA"	"CREO"	"URNG_MAIZ"	"PAN"	"VIVA"	"UCN"	"PC"	"CONVERGENCIA"	"PHG"	"UNE"	"BIEN"	"LIBRE"	"VICTORIA"	"PODEMOS"	"EG"	"UNIONISTA"	"SEMILLA"	"MLP"	"UNIDOS"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9053"	"3"	"9"	"1"	"2"	"400"	"10"	"2"	"61"	"2"	"1"	"14"	"9"	"6"	"17"	"9"	"12"	"7"	"2"	"2"	"26"	"3"	"2"	"7"	"0"	"4"	"4"	"4"	"25"	"5"	"13"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"41"	"2"	"0"	"290"	"290"	"1"	"0"
"9054"	"3"	"9"	"1"	"2"	"400"	"18"	"3"	"47"	"1"	"5"	"14"	"5"	"12"	"8"	"9"	"18"	"4"	"3"	"1"	"26"	"3"	"6"	"9"	"1"	"2"	"1"	"2"	"30"	"5"	"10"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"35"	"7"	"0"	"285"	"285"	"1"	"0"
"9055"	"3"	"9"	"1"	"2"	"400"	"21"	"3"	"36"	"1"	"2"	"14"	"7"	"2"	"14"	"7"	"24"	"5"	"4"	"4"	"19"	"5"	"4"	"7"	"0"	"1"	"4"	"5"	"27"	"7"	"6"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"46"	"12"	"0"	"287"	"287"	"1"	"0"
"9056"	"3"	"9"	"1"	"2"	"400"	"9"	"3"	"49"	"4"	"5"	"14"	"7"	"9"	"8"	"11"	"18"	"2"	"2"	"2"	"16"	"5"	"5"	"6"	"2"	"1"	"14"	"2"	"31"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"59"	"9"	"0"	"294"	"296"	"0"	"0"
"9057"	"3"	"9"	"1"	"2"	"400"	"14"	"1"	"45"	"2"	"3"	"9"	"6"	"10"	"12"	"13"	"17"	"4"	"4"	"11"	"22"	"3"	"3"	"5"	"2"	"4"	"5"	"2"	"20"	"3"	"11"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"50"	"8"	"0"	"289"	"289"	"1"	"0"
"9058"	"3"	"9"	"1"	"2"	"400"	"14"	"1"	"39"	"4"	"4"	"11"	"8"	"9"	"7"	"13"	"11"	"2"	"7"	"5"	"27"	"6"	"4"	"9"	"2"	"7"	"5"	"4"	"31"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"243"	"240"	"51"	"8"	"0"	"302"	"299"	"0"	"0"
"9059"	"3"	"9"	"1"	"2"	"400"	"20"	"3"	"41"	"2"	"5"	"13"	"8"	"9"	"7"	"11"	"9"	"7"	"6"	"7"	"20"	"6"	"5"	"5"	"1"	"5"	"5"	"0"	"22"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"239"	"231"	"44"	"11"	"8"	"294"	"286"	"0"	"0"
"9060"	"3"	"9"	"1"	"2"	"400"	"16"	"2"	"45"	"2"	"5"	"8"	"4"	"5"	"11"	"7"	"19"	"5"	"3"	"3"	"28"	"3"	"7"	"8"	"2"	"4"	"7"	"4"	"26"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"42"	"9"	"0"	"285"	"285"	"1"	"0"
"9061"	"3"	"9"	"1"	"2"	"400"	"11"	"4"	"24"	"0"	"5"	"5"	"2"	"5"	"3"	"7"	"7"	"2"	"0"	"0"	"3"	"1"	"1"	"0"	"2"	"4"	"0"	"0"	"71"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"106"	"161"	"137"	"20"	"15"	"263"	"318"	"0"	"0"
"9062"	"3"	"9"	"1"	"2"	"400"	"22"	"1"	"48"	"3"	"2"	"14"	"6"	"8"	"6"	"3"	"14"	"5"	"2"	"4"	"10"	"4"	"3"	"7"	"1"	"5"	"3"	"0"	"38"	"7"	"6"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"58"	"8"	"0"	"288"	"288"	"1"	"0"
"9063"	"3"	"9"	"1"	"2"	"400"	"19"	"1"	"45"	"8"	"4"	"9"	"4"	"9"	"7"	"9"	"14"	"5"	"4"	"3"	"15"	"3"	"8"	"5"	"0"	"0"	"5"	"3"	"39"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"49"	"5"	"0"	"284"	"284"	"1"	"0"
"9064"	"3"	"9"	"1"	"2"	"400"	"12"	"4"	"51"	"3"	"4"	"9"	"13"	"6"	"10"	"12"	"7"	"2"	"5"	"4"	"22"	"6"	"3"	"7"	"3"	"4"	"3"	"3"	"34"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"50"	"5"	"293"	"0"	"293"	"0"	"0"
"9065"	"3"	"9"	"1"	"2"	"400"	"13"	"2"	"40"	"6"	"4"	"9"	"5"	"10"	"5"	"6"	"14"	"5"	"6"	"7"	"14"	"4"	"4"	"4"	"1"	"5"	"3"	"2"	"30"	"10"	"5"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"48"	"11"	"0"	"273"	"273"	"1"	"0"
"9066"	"3"	"9"	"1"	"2"	"400"	"14"	"3"	"46"	"7"	"3"	"6"	"9"	"6"	"6"	"1"	"11"	"1"	"4"	"6"	"15"	"7"	"7"	"6"	"0"	"1"	"9"	"4"	"31"	"10"	"12"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"51"	"11"	"0"	"287"	"287"	"1"	"0"
"9067"	"3"	"9"	"1"	"2"	"0"	"15"	"3"	"35"	"6"	"2"	"8"	"5"	"8"	"8"	"5"	"12"	"4"	"3"	"4"	"22"	"6"	"8"	"9"	"1"	"4"	"6"	"4"	"35"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"55"	"5"	"0"	"286"	"286"	"1"	"0"
"9068"	"3"	"9"	"1"	"2"	"400"	"8"	"1"	"50"	"5"	"2"	"11"	"6"	"8"	"6"	"15"	"12"	"3"	"2"	"8"	"6"	"15"	"1"	"5"	"2"	"5"	"3"	"1"	"30"	"8"	"7"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"60"	"7"	"0"	"287"	"287"	"1"	"0"
"9069"	"3"	"9"	"1"	"2"	"400"	"16"	"5"	"48"	"2"	"5"	"8"	"7"	"3"	"8"	"6"	"11"	"5"	"4"	"3"	"17"	"6"	"2"	"7"	"5"	"4"	"6"	"1"	"30"	"9"	"7"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"57"	"5"	"0"	"287"	"287"	"1"	"0"
"9070"	"3"	"9"	"1"	"2"	"400"	"13"	"4"	"39"	"2"	"1"	"9"	"10"	"2"	"17"	"13"	"12"	"4"	"2"	"12"	"13"	"5"	"2"	"6"	"1"	"13"	"4"	"1"	"29"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"54"	"6"	"0"	"286"	"286"	"1"	"0"
"9071"	"3"	"9"	"1"	"2"	"400"	"22"	"1"	"40"	"7"	"7"	"13"	"7"	"14"	"9"	"9"	"12"	"5"	"6"	"5"	"27"	"3"	"2"	"4"	"1"	"6"	"4"	"4"	"26"	"6"	"10"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"59"	"5"	"0"	"314"	"314"	"1"	"0"
"9072"	"3"	"9"	"1"	"2"	"400"	"17"	"5"	"57"	"1"	"3"	"11"	"4"	"11"	"9"	"10"	"13"	"3"	"0"	"3"	"14"	"1"	"3"	"6"	"2"	"7"	"10"	"1"	"26"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"43"	"5"	"0"	"276"	"276"	"1"	"0"
"9073"	"3"	"9"	"1"	"2"	"400"	"15"	"3"	"43"	"2"	"5"	"13"	"4"	"6"	"16"	"7"	"10"	"2"	"6"	"7"	"23"	"2"	"1"	"4"	"0"	"4"	"3"	"1"	"40"	"8"	"15"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"30"	"5"	"0"	"275"	"275"	"1"	"0"
"9074"	"3"	"9"	"1"	"2"	"400"	"21"	"0"	"41"	"3"	"2"	"7"	"4"	"8"	"4"	"9"	"12"	"1"	"0"	"6"	"20"	"6"	"2"	"9"	"2"	"2"	"4"	"2"	"25"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"38"	"2"	"0"	"240"	"240"	"1"	"0"
"9075"	"3"	"9"	"1"	"2"	"400"	"11"	"3"	"44"	"0"	"4"	"12"	"5"	"8"	"5"	"8"	"8"	"3"	"7"	"5"	"21"	"1"	"2"	"5"	"4"	"3"	"3"	"4"	"27"	"6"	"13"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"37"	"4"	"0"	"253"	"253"	"1"	"0"
"9076"	"3"	"9"	"1"	"2"	"400"	"20"	"5"	"27"	"5"	"6"	"8"	"6"	"6"	"9"	"11"	"13"	"6"	"2"	"5"	"19"	"3"	"3"	"3"	"3"	"5"	"4"	"2"	"37"	"11"	"8"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"34"	"3"	"0"	"264"	"264"	"1"	"0"
"9077"	"3"	"9"	"1"	"2"	"400"	"19"	"2"	"48"	"4"	"2"	"8"	"8"	"10"	"19"	"9"	"16"	"8"	"2"	"9"	"15"	"4"	"0"	"2"	"2"	"4"	"4"	"1"	"30"	"6"	"9"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"29"	"5"	"10"	"275"	"275"	"1"	"0"
"9078"	"3"	"9"	"1"	"2"	"400"	"14"	"2"	"47"	"4"	"3"	"5"	"5"	"13"	"8"	"8"	"13"	"6"	"2"	"9"	"24"	"1"	"1"	"7"	"1"	"8"	"8"	"2"	"23"	"7"	"13"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"41"	"10"	"0"	"285"	"285"	"1"	"0"
"9079"	"3"	"9"	"1"	"2"	"400"	"14"	"2"	"34"	"1"	"3"	"6"	"5"	"11"	"11"	"8"	"14"	"9"	"8"	"4"	"17"	"1"	"2"	"10"	"1"	"2"	"4"	"4"	"36"	"4"	"13"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"40"	"5"	"0"	"269"	"269"	"1"	"0"
"9080"	"3"	"9"	"1"	"2"	"400"	"14"	"3"	"41"	"2"	"1"	"12"	"14"	"5"	"11"	"7"	"14"	"2"	"3"	"6"	"20"	"3"	"4"	"6"	"0"	"4"	"5"	"3"	"26"	"3"	"10"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"35"	"9"	"0"	"263"	"263"	"1"	"0"
