"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"WINAQ"	"VAMOS"	"UNIONISTA"	"PAN"	"CONVERGENCIA"	"UNIDOS"	"VICTORIA"	"VALOR"	"VIVA"	"FUERZA"	"UCN"	"EG"	"PHG"	"AVANZA"	"PC"	"CREO"	"MLP"	"BIEN"	"LIBRE"	"SEMILLA"	"PPT"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4664"	"3"	"2"	"1"	"2"	"400"	"6"	"9"	"5"	"27"	"22"	"9"	"4"	"2"	"8"	"27"	"16"	"7"	"1"	"5"	"9"	"2"	"10"	"24"	"8"	"4"	"10"	"56"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"41"	"2"	"0"	"315"	"315"	"1"	"0"
"4665"	"3"	"2"	"1"	"2"	"400"	"12"	"21"	"18"	"31"	"23"	"6"	"2"	"7"	"2"	"18"	"9"	"3"	"3"	"7"	"11"	"0"	"11"	"12"	"8"	"1"	"13"	"51"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"33"	"10"	"0"	"312"	"312"	"1"	"0"
"4666"	"3"	"2"	"1"	"2"	"400"	"9"	"23"	"11"	"24"	"20"	"12"	"3"	"1"	"6"	"16"	"10"	"3"	"3"	"8"	"15"	"3"	"7"	"11"	"13"	"5"	"7"	"53"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"42"	"5"	"0"	"318"	"318"	"1"	"0"
"4667"	"3"	"2"	"1"	"2"	"347"	"9"	"23"	"13"	"36"	"31"	"2"	"5"	"5"	"6"	"18"	"5"	"2"	"5"	"7"	"13"	"4"	"7"	"8"	"8"	"2"	"13"	"44"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"56"	"7"	"0"	"332"	"332"	"1"	"0"
"4668"	"3"	"2"	"1"	"2"	"400"	"4"	"18"	"15"	"33"	"25"	"9"	"3"	"2"	"3"	"21"	"13"	"4"	"2"	"8"	"6"	"1"	"7"	"15"	"4"	"1"	"10"	"53"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"44"	"5"	"0"	"308"	"308"	"1"	"0"
"4669"	"3"	"2"	"1"	"2"	"400"	"7"	"16"	"11"	"41"	"16"	"5"	"2"	"6"	"8"	"22"	"13"	"4"	"0"	"9"	"15"	"1"	"17"	"9"	"6"	"2"	"12"	"51"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"32"	"7"	"12"	"312"	"312"	"1"	"0"
"4670"	"3"	"2"	"1"	"2"	"399"	"7"	"19"	"10"	"30"	"20"	"2"	"6"	"3"	"1"	"19"	"17"	"9"	"4"	"10"	"15"	"1"	"12"	"18"	"2"	"3"	"9"	"44"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"41"	"10"	"0"	"313"	"313"	"1"	"0"
"4671"	"3"	"2"	"1"	"2"	"400"	"7"	"15"	"16"	"40"	"17"	"6"	"6"	"1"	"10"	"17"	"6"	"10"	"3"	"12"	"12"	"3"	"4"	"10"	"8"	"1"	"12"	"53"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"41"	"1"	"0"	"311"	"311"	"1"	"0"
"4672"	"3"	"2"	"1"	"2"	"400"	"12"	"15"	"11"	"38"	"25"	"2"	"2"	"1"	"9"	"22"	"12"	"4"	"2"	"11"	"12"	"1"	"10"	"13"	"10"	"0"	"13"	"50"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"48"	"3"	"0"	"327"	"327"	"1"	"0"
"4673"	"3"	"2"	"1"	"2"	"400"	"5"	"18"	"20"	"40"	"24"	"4"	"3"	"5"	"1"	"17"	"8"	"5"	"3"	"8"	"13"	"1"	"10"	"13"	"4"	"0"	"7"	"38"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"48"	"9"	"0"	"306"	"306"	"1"	"0"
