"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"VICTORIA"	"UNE"	"FCN_NACION"	"VIVA"	"CONVERGENCIA"	"CREO"	"WINAQ"	"UNIONISTA"	"FUERZA"	"LIBRE"	"PPT"	"PHG"	"BIEN"	"UCN"	"MLP"	"PC"	"VALOR"	"SEMILLA"	"EG"	"UNIDOS"	"PAN"	"URNG_MAIZ"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11429"	"3"	"12"	"1"	"2"	"400"	"11"	"22"	"1"	"9"	"37"	"16"	"6"	"10"	"11"	"2"	"5"	"6"	"1"	"26"	"4"	"1"	"3"	"3"	"5"	"6"	"21"	"2"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"26"	"29"	"0"	"270"	"270"	"1"	"0"
"11430"	"3"	"12"	"1"	"2"	"0"	"7"	"20"	"1"	"10"	"17"	"9"	"5"	"14"	"18"	"2"	"5"	"8"	"2"	"29"	"7"	"4"	"6"	"1"	"3"	"19"	"18"	"2"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"28"	"30"	"0"	"272"	"272"	"1"	"0"
"11431"	"3"	"12"	"1"	"2"	"400"	"20"	"18"	"6"	"10"	"10"	"11"	"14"	"10"	"17"	"6"	"5"	"7"	"2"	"22"	"12"	"3"	"6"	"5"	"3"	"15"	"15"	"2"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"34"	"31"	"0"	"289"	"289"	"1"	"0"
"11432"	"3"	"12"	"1"	"2"	"400"	"24"	"18"	"2"	"15"	"23"	"7"	"12"	"15"	"23"	"11"	"1"	"6"	"4"	"27"	"4"	"6"	"8"	"4"	"6"	"10"	"20"	"4"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"46"	"20"	"0"	"323"	"323"	"1"	"0"
"11433"	"3"	"12"	"1"	"2"	"400"	"10"	"29"	"3"	"14"	"26"	"11"	"8"	"13"	"20"	"3"	"1"	"7"	"1"	"18"	"6"	"2"	"5"	"1"	"3"	"14"	"19"	"1"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"24"	"9"	"0"	"255"	"255"	"1"	"0"
"11434"	"3"	"12"	"1"	"2"	"400"	"16"	"16"	"3"	"15"	"17"	"11"	"3"	"21"	"14"	"4"	"2"	"6"	"2"	"15"	"2"	"3"	"4"	"1"	"4"	"14"	"27"	"1"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"26"	"23"	"0"	"258"	"258"	"1"	"0"
"11435"	"3"	"12"	"1"	"2"	"400"	"18"	"11"	"3"	"20"	"17"	"12"	"13"	"12"	"18"	"6"	"1"	"9"	"0"	"15"	"7"	"2"	"9"	"2"	"2"	"18"	"23"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"38"	"16"	"0"	"277"	"277"	"1"	"0"
"11436"	"3"	"12"	"1"	"2"	"400"	"21"	"21"	"1"	"16"	"20"	"9"	"4"	"15"	"15"	"7"	"4"	"5"	"0"	"30"	"3"	"3"	"4"	"2"	"5"	"13"	"14"	"1"	"8"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"32"	"23"	"0"	"281"	"281"	"1"	"0"
"11437"	"3"	"12"	"1"	"2"	"400"	"13"	"14"	"0"	"18"	"18"	"21"	"10"	"13"	"11"	"3"	"1"	"9"	"0"	"17"	"3"	"0"	"3"	"0"	"4"	"12"	"17"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"25"	"34"	"0"	"251"	"251"	"1"	"0"
"11438"	"3"	"12"	"1"	"2"	"347"	"12"	"19"	"0"	"8"	"14"	"7"	"7"	"15"	"13"	"6"	"7"	"5"	"1"	"12"	"8"	"2"	"2"	"2"	"5"	"11"	"14"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"27"	"24"	"0"	"227"	"227"	"1"	"0"
