"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"CREO"	"UNIONISTA"	"EG"	"WINAQ"	"UNE"	"VALOR"	"UCN"	"URNG_MAIZ"	"PHG"	"PODEMOS"	"MLP"	"VIVA"	"PC"	"BIEN"	"UNIDOS"	"PAN"	"FCN_NACION"	"FUERZA"	"PPT"	"SEMILLA"	"VICTORIA"	"LIBRE"	"AVANZA"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10206"	"3"	"10"	"1"	"2"	"400"	"14"	"10"	"6"	"5"	"5"	"5"	"18"	"4"	"7"	"10"	"11"	"5"	"5"	"20"	"9"	"7"	"0"	"8"	"7"	"10"	"2"	"30"	"13"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"29"	"7"	"0"	"252"	"252"	"1"	"0"
"10207"	"3"	"10"	"1"	"2"	"400"	"23"	"12"	"7"	"5"	"7"	"2"	"16"	"10"	"10"	"10"	"22"	"4"	"7"	"10"	"9"	"5"	"1"	"2"	"5"	"14"	"1"	"31"	"13"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"29"	"11"	"0"	"268"	"268"	"1"	"0"
"10208"	"3"	"10"	"1"	"2"	"400"	"24"	"11"	"11"	"2"	"9"	"3"	"16"	"4"	"6"	"2"	"20"	"7"	"3"	"9"	"9"	"5"	"1"	"9"	"2"	"15"	"1"	"29"	"9"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"34"	"14"	"0"	"261"	"261"	"1"	"0"
"10209"	"3"	"10"	"1"	"2"	"400"	"17"	"7"	"8"	"4"	"8"	"0"	"15"	"9"	"6"	"9"	"12"	"9"	"4"	"12"	"12"	"4"	"0"	"6"	"2"	"24"	"1"	"37"	"11"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"44"	"13"	"57"	"282"	"282"	"1"	"0"
"10210"	"3"	"10"	"1"	"2"	"400"	"22"	"9"	"12"	"3"	"8"	"2"	"9"	"5"	"7"	"11"	"20"	"7"	"7"	"15"	"8"	"4"	"1"	"4"	"6"	"18"	"1"	"34"	"6"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"42"	"11"	"0"	"276"	"276"	"1"	"0"
"10211"	"3"	"10"	"1"	"2"	"400"	"18"	"18"	"16"	"5"	"5"	"4"	"18"	"6"	"11"	"11"	"23"	"7"	"5"	"4"	"7"	"7"	"2"	"8"	"4"	"20"	"4"	"26"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"243"	"29"	"3"	"1"	"276"	"275"	"0"	"0"
"10212"	"3"	"10"	"1"	"2"	"400"	"31"	"9"	"13"	"4"	"6"	"10"	"15"	"4"	"12"	"3"	"14"	"5"	"9"	"16"	"14"	"3"	"0"	"1"	"1"	"23"	"0"	"37"	"9"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"34"	"12"	"0"	"293"	"293"	"1"	"0"
"10213"	"3"	"10"	"1"	"2"	"399"	"20"	"5"	"5"	"2"	"4"	"7"	"18"	"5"	"12"	"9"	"16"	"5"	"1"	"11"	"14"	"11"	"1"	"10"	"6"	"32"	"0"	"26"	"9"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"36"	"13"	"1"	"282"	"282"	"1"	"0"
"10214"	"3"	"10"	"1"	"2"	"400"	"22"	"7"	"11"	"7"	"5"	"1"	"26"	"3"	"9"	"15"	"18"	"5"	"4"	"7"	"15"	"4"	"0"	"7"	"10"	"20"	"1"	"35"	"11"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"29"	"9"	"0"	"287"	"287"	"1"	"0"
"10215"	"3"	"10"	"1"	"2"	"400"	"19"	"13"	"10"	"4"	"6"	"1"	"28"	"15"	"5"	"8"	"15"	"4"	"4"	"5"	"4"	"5"	"2"	"4"	"3"	"21"	"1"	"39"	"12"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"27"	"7"	"0"	"268"	"268"	"1"	"0"
"10216"	"3"	"10"	"1"	"2"	"400"	"21"	"13"	"6"	"1"	"5"	"9"	"17"	"4"	"15"	"7"	"12"	"3"	"2"	"8"	"6"	"7"	"0"	"7"	"3"	"21"	"1"	"22"	"13"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"28"	"13"	"0"	"253"	"253"	"1"	"0"
"10217"	"3"	"10"	"1"	"2"	"400"	"15"	"6"	"7"	"7"	"1"	"6"	"12"	"6"	"8"	"6"	"8"	"2"	"3"	"7"	"12"	"4"	"1"	"2"	"6"	"26"	"0"	"25"	"13"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"25"	"10"	"1"	"224"	"224"	"1"	"0"
