"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"FCN_NACION"	"UCN"	"TODOS"	"PAN"	"SEMILLA"	"PC"	"VALOR"	"UNE"	"BIEN"	"PHG"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14314"	"4"	"13"	"27"	"2"	"404"	"7"	"32"	"53"	"13"	"20"	"22"	"4"	"25"	"35"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"7"	"10"	"1"	"236"	"236"	"1"	"0"
"14315"	"4"	"13"	"27"	"2"	"400"	"7"	"36"	"58"	"12"	"12"	"30"	"0"	"26"	"31"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"8"	"10"	"0"	"242"	"242"	"1"	"0"
"14316"	"4"	"13"	"27"	"2"	"396"	"7"	"42"	"63"	"17"	"11"	"21"	"2"	"19"	"38"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"10"	"6"	"1"	"246"	"246"	"1"	"0"
"14317"	"4"	"13"	"27"	"2"	"400"	"3"	"19"	"80"	"14"	"15"	"13"	"3"	"26"	"26"	"0"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"15"	"8"	"0"	"239"	"239"	"1"	"0"
"14318"	"4"	"13"	"27"	"2"	"396"	"4"	"11"	"91"	"5"	"14"	"27"	"2"	"24"	"35"	"0"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"6"	"9"	"0"	"247"	"247"	"1"	"0"
"14319"	"4"	"13"	"27"	"2"	"398"	"4"	"28"	"60"	"18"	"23"	"30"	"5"	"19"	"36"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"5"	"13"	"0"	"247"	"247"	"1"	"0"
"14320"	"4"	"13"	"27"	"2"	"400"	"9"	"51"	"37"	"16"	"27"	"33"	"5"	"32"	"32"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"10"	"8"	"0"	"273"	"273"	"1"	"0"
"14321"	"4"	"13"	"27"	"2"	"400"	"5"	"64"	"54"	"14"	"22"	"21"	"2"	"29"	"23"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"14"	"10"	"0"	"266"	"266"	"1"	"0"
"14322"	"4"	"13"	"27"	"2"	"396"	"4"	"40"	"34"	"12"	"20"	"32"	"1"	"38"	"32"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"5"	"8"	"0"	"234"	"234"	"1"	"0"
"14323"	"4"	"13"	"27"	"2"	"396"	"3"	"44"	"30"	"15"	"16"	"34"	"1"	"26"	"27"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"7"	"3"	"0"	"211"	"211"	"1"	"0"
"14324"	"4"	"13"	"27"	"2"	"396"	"0"	"51"	"36"	"17"	"25"	"24"	"4"	"35"	"26"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"10"	"8"	"0"	"246"	"246"	"1"	"0"
"14325"	"4"	"13"	"27"	"2"	"400"	"5"	"32"	"35"	"21"	"19"	"35"	"1"	"35"	"42"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"12"	"6"	"0"	"255"	"255"	"1"	"0"
"14326"	"4"	"13"	"27"	"2"	"396"	"11"	"39"	"25"	"15"	"18"	"23"	"0"	"27"	"34"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"14"	"8"	"1"	"227"	"227"	"1"	"0"
"14327"	"4"	"13"	"27"	"2"	"396"	"2"	"37"	"30"	"6"	"21"	"31"	"1"	"30"	"27"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"10"	"7"	"0"	"214"	"214"	"1"	"0"
"14328"	"4"	"13"	"27"	"2"	"224"	"1"	"24"	"24"	"7"	"18"	"15"	"1"	"14"	"13"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"120"	"2"	"0"	"0"	"122"	"122"	"1"	"0"
"14329"	"4"	"13"	"27"	"2"	"222"	"4"	"17"	"21"	"6"	"15"	"20"	"1"	"13"	"18"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"119"	"119"	"2"	"2"	"0"	"123"	"123"	"1"	"0"
"14330"	"4"	"13"	"27"	"2"	"400"	"7"	"79"	"49"	"10"	"20"	"15"	"1"	"10"	"24"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"13"	"9"	"0"	"240"	"240"	"1"	"0"
"14331"	"4"	"13"	"27"	"2"	"400"	"17"	"48"	"48"	"15"	"18"	"17"	"1"	"9"	"24"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"17"	"12"	"0"	"238"	"238"	"1"	"0"
"14332"	"4"	"13"	"27"	"2"	"400"	"4"	"54"	"51"	"12"	"12"	"11"	"2"	"9"	"41"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"14"	"11"	"0"	"230"	"230"	"1"	"0"
"14333"	"4"	"13"	"27"	"2"	"400"	"5"	"52"	"52"	"12"	"18"	"12"	"2"	"13"	"39"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"14"	"15"	"0"	"242"	"242"	"1"	"0"
"14334"	"4"	"13"	"27"	"2"	"400"	"3"	"31"	"109"	"10"	"14"	"11"	"0"	"11"	"29"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"6"	"15"	"0"	"249"	"249"	"1"	"0"
"14335"	"4"	"13"	"27"	"2"	"396"	"5"	"69"	"73"	"14"	"14"	"11"	"3"	"12"	"24"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"12"	"7"	"0"	"250"	"250"	"1"	"0"
"14336"	"4"	"13"	"27"	"2"	"396"	"4"	"85"	"63"	"8"	"21"	"16"	"0"	"9"	"28"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"13"	"7"	"0"	"260"	"260"	"1"	"0"
"14337"	"4"	"13"	"27"	"2"	"400"	"7"	"63"	"52"	"11"	"10"	"3"	"1"	"6"	"44"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"11"	"13"	"0"	"223"	"223"	"1"	"0"
"14338"	"4"	"13"	"27"	"2"	"399"	"4"	"52"	"24"	"10"	"7"	"12"	"1"	"13"	"52"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"12"	"18"	"0"	"212"	"212"	"1"	"0"
"14339"	"4"	"13"	"27"	"2"	"395"	"7"	"62"	"48"	"9"	"21"	"9"	"2"	"14"	"24"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"12"	"7"	"0"	"223"	"223"	"1"	"0"
"14340"	"4"	"13"	"27"	"2"	"396"	"3"	"51"	"28"	"10"	"23"	"14"	"0"	"11"	"18"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"1"	"1"	"0"	"164"	"164"	"1"	"0"
"14341"	"4"	"13"	"27"	"2"	"396"	"2"	"63"	"43"	"9"	"11"	"20"	"0"	"14"	"23"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"4"	"7"	"0"	"203"	"203"	"1"	"0"
"14342"	"4"	"13"	"27"	"2"	"396"	"3"	"70"	"46"	"12"	"17"	"19"	"1"	"10"	"35"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"5"	"6"	"0"	"232"	"232"	"1"	"0"
"14343"	"4"	"13"	"27"	"2"	"398"	"9"	"64"	"34"	"6"	"12"	"12"	"1"	"12"	"26"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"12"	"12"	"0"	"204"	"204"	"1"	"0"
"14344"	"4"	"13"	"27"	"2"	"396"	"2"	"55"	"36"	"9"	"10"	"18"	"2"	"13"	"21"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"5"	"4"	"0"	"182"	"182"	"1"	"0"
"14345"	"4"	"13"	"27"	"2"	"368"	"4"	"60"	"24"	"7"	"20"	"21"	"1"	"17"	"26"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"2"	"6"	"0"	"193"	"193"	"1"	"0"
"14346"	"4"	"13"	"27"	"2"	"365"	"6"	"54"	"29"	"11"	"14"	"12"	"1"	"15"	"17"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"3"	"3"	"0"	"176"	"176"	"1"	"0"
"14347"	"4"	"13"	"27"	"2"	"376"	"7"	"21"	"3"	"10"	"8"	"12"	"3"	"3"	"81"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"22"	"20"	"1"	"195"	"195"	"1"	"0"
"14348"	"4"	"13"	"27"	"2"	"380"	"7"	"25"	"2"	"6"	"1"	"17"	"0"	"6"	"77"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"9"	"10"	"0"	"166"	"166"	"1"	"0"
"14349"	"4"	"13"	"27"	"2"	"380"	"9"	"14"	"1"	"3"	"3"	"20"	"1"	"6"	"78"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"14"	"21"	"0"	"181"	"181"	"1"	"0"
