"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VALOR"	"FUERZA"	"VIVA"	"UNE"	"URNG_MAIZ"	"VAMOS"	"FCN_NACION"	"CREO"	"LIBRE"	"UNIONISTA"	"SEMILLA"	"VICTORIA"	"PAN"	"AVANZA"	"UCN"	"DIGNIDAD"	"MLP"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"3596"	"4"	"1"	"14"	"2"	"400"	"5"	"108"	"10"	"10"	"26"	"9"	"4"	"9"	"12"	"5"	"3"	"33"	"2"	"6"	"7"	"1"	"11"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"16"	"0"	"0"	"284"	"284"	"1"	"0"
"3597"	"4"	"1"	"14"	"2"	"400"	"2"	"100"	"12"	"6"	"29"	"9"	"11"	"5"	"11"	"6"	"2"	"48"	"6"	"5"	"1"	"2"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"8"	"2"	"0"	"280"	"280"	"1"	"0"
"3598"	"4"	"1"	"14"	"2"	"396"	"4"	"96"	"9"	"5"	"31"	"8"	"10"	"9"	"16"	"5"	"2"	"35"	"7"	"9"	"1"	"1"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"12"	"2"	"0"	"279"	"279"	"1"	"0"
"3599"	"4"	"1"	"14"	"2"	"400"	"5"	"126"	"14"	"8"	"14"	"8"	"11"	"8"	"13"	"6"	"2"	"40"	"8"	"6"	"0"	"1"	"16"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"3"	"0"	"0"	"293"	"293"	"1"	"0"
"3600"	"4"	"1"	"14"	"2"	"400"	"3"	"109"	"14"	"5"	"26"	"9"	"7"	"7"	"14"	"3"	"2"	"38"	"11"	"5"	"0"	"0"	"13"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"11"	"1"	"0"	"283"	"283"	"1"	"0"
"3601"	"4"	"1"	"14"	"2"	"400"	"5"	"101"	"7"	"12"	"20"	"15"	"11"	"9"	"16"	"4"	"2"	"46"	"9"	"3"	"2"	"1"	"18"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"9"	"0"	"0"	"294"	"294"	"1"	"0"
"3602"	"4"	"1"	"14"	"2"	"400"	"8"	"111"	"5"	"11"	"25"	"11"	"8"	"5"	"18"	"5"	"2"	"40"	"6"	"8"	"1"	"0"	"9"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"13"	"1"	"0"	"295"	"295"	"1"	"0"
"3603"	"4"	"1"	"14"	"2"	"400"	"6"	"118"	"10"	"7"	"21"	"5"	"7"	"6"	"19"	"7"	"0"	"45"	"9"	"1"	"3"	"1"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"12"	"3"	"0"	"295"	"295"	"1"	"0"
"3604"	"4"	"1"	"14"	"2"	"396"	"7"	"107"	"10"	"5"	"23"	"11"	"4"	"4"	"12"	"7"	"1"	"54"	"13"	"4"	"2"	"0"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"10"	"2"	"0"	"290"	"290"	"1"	"0"
"3605"	"4"	"1"	"14"	"2"	"400"	"4"	"104"	"13"	"7"	"27"	"12"	"7"	"7"	"24"	"3"	"1"	"51"	"3"	"5"	"0"	"1"	"16"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"13"	"4"	"0"	"307"	"307"	"1"	"0"
