"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VIVA"	"CCC"	"UNE"	"VAMOS"	"UCN"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12452"	"4"	"12"	"17"	"2"	"400"	"12"	"122"	"10"	"40"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"16"	"2"	"0"	"205"	"205"	"1"	"0"
"12453"	"4"	"12"	"17"	"2"	"400"	"16"	"119"	"17"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"29"	"2"	"0"	"209"	"209"	"1"	"0"
"12454"	"4"	"12"	"17"	"2"	"400"	"14"	"127"	"10"	"32"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"16"	"5"	"0"	"205"	"205"	"1"	"0"
"12455"	"4"	"12"	"17"	"2"	"400"	"13"	"141"	"15"	"44"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"16"	"1"	"0"	"231"	"231"	"1"	"0"
"12456"	"4"	"12"	"17"	"2"	"397"	"18"	"139"	"13"	"45"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"17"	"3"	"0"	"236"	"236"	"1"	"0"
"12457"	"4"	"12"	"17"	"2"	"400"	"15"	"141"	"12"	"32"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"10"	"3"	"0"	"215"	"215"	"1"	"0"
"12458"	"4"	"12"	"17"	"2"	"400"	"16"	"167"	"15"	"43"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"16"	"5"	"0"	"267"	"267"	"1"	"0"
"12459"	"4"	"12"	"17"	"2"	"400"	"16"	"150"	"12"	"40"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"10"	"0"	"0"	"235"	"235"	"1"	"0"
"12460"	"4"	"12"	"17"	"2"	"400"	"17"	"135"	"11"	"57"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"8"	"5"	"0"	"234"	"234"	"1"	"0"
"12461"	"4"	"12"	"17"	"2"	"400"	"11"	"157"	"9"	"46"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"14"	"6"	"0"	"246"	"246"	"1"	"0"
