"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"VAMOS"	"TODOS"	"CCM"	"VICTORIA"	"PHG"	"UNIONISTA"	"SEMILLA"	"CREO"	"PC"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7339"	"4"	"6"	"2"	"2"	"400"	"39"	"33"	"3"	"7"	"15"	"46"	"2"	"63"	"2"	"9"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"29"	"3"	"1"	"264"	"264"	"1"	"0"
"7340"	"4"	"6"	"2"	"2"	"396"	"45"	"28"	"3"	"7"	"29"	"53"	"0"	"72"	"1"	"12"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"19"	"2"	"0"	"280"	"280"	"1"	"0"
"7341"	"4"	"6"	"2"	"2"	"396"	"61"	"18"	"0"	"14"	"27"	"52"	"1"	"65"	"3"	"5"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"22"	"8"	"1"	"285"	"285"	"1"	"0"
"7342"	"4"	"6"	"2"	"2"	"400"	"51"	"35"	"1"	"7"	"26"	"56"	"0"	"57"	"2"	"6"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"255"	"22"	"3"	"0"	"281"	"280"	"0"	"1"
"7343"	"4"	"6"	"2"	"2"	"400"	"45"	"36"	"2"	"16"	"24"	"40"	"1"	"71"	"0"	"12"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"21"	"2"	"0"	"280"	"280"	"1"	"0"
"7344"	"4"	"6"	"2"	"2"	"396"	"47"	"30"	"2"	"16"	"25"	"49"	"0"	"53"	"1"	"7"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"16"	"4"	"0"	"266"	"266"	"1"	"0"
"7345"	"4"	"6"	"2"	"2"	"396"	"47"	"38"	"3"	"10"	"20"	"50"	"1"	"61"	"3"	"10"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"17"	"6"	"0"	"288"	"288"	"1"	"0"
"7346"	"4"	"6"	"2"	"2"	"396"	"42"	"34"	"2"	"10"	"18"	"52"	"3"	"72"	"2"	"7"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"16"	"3"	"0"	"275"	"275"	"1"	"0"
"7347"	"4"	"6"	"2"	"2"	"398"	"50"	"21"	"1"	"14"	"21"	"39"	"1"	"82"	"3"	"6"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"19"	"2"	"1"	"273"	"273"	"1"	"0"
"7348"	"4"	"6"	"2"	"2"	"400"	"51"	"29"	"5"	"9"	"23"	"60"	"1"	"68"	"4"	"7"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"12"	"3"	"0"	"287"	"287"	"1"	"0"
