"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UNE"	"UCN"	"WINAQ"	"VAMOS"	"CREO"	"TODOS"	"PODEMOS"	"UNIONISTA"	"FCN_NACION"	"PHG"	"MLP"	"UNIDOS"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14201"	"4"	"13"	"26"	"2"	"400"	"17"	"35"	"3"	"32"	"4"	"97"	"3"	"7"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"19"	"5"	"0"	"226"	"226"	"1"	"0"
"14202"	"4"	"13"	"26"	"2"	"400"	"16"	"40"	"1"	"20"	"12"	"128"	"5"	"8"	"3"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"8"	"12"	"0"	"257"	"257"	"1"	"0"
"14203"	"4"	"13"	"26"	"2"	"405"	"10"	"33"	"5"	"23"	"4"	"107"	"7"	"12"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"18"	"12"	"0"	"234"	"234"	"1"	"0"
"14204"	"4"	"13"	"26"	"2"	"395"	"7"	"40"	"5"	"27"	"7"	"116"	"7"	"10"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"6"	"5"	"0"	"232"	"232"	"1"	"0"
"14205"	"4"	"13"	"26"	"2"	"396"	"16"	"39"	"6"	"20"	"9"	"100"	"5"	"8"	"1"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"15"	"4"	"0"	"227"	"227"	"1"	"0"
"14206"	"4"	"13"	"26"	"2"	"400"	"17"	"33"	"4"	"29"	"5"	"100"	"5"	"5"	"1"	"1"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"29"	"6"	"0"	"239"	"239"	"1"	"0"
"14207"	"4"	"13"	"26"	"2"	"400"	"11"	"42"	"5"	"27"	"10"	"116"	"7"	"7"	"1"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"18"	"4"	"0"	"256"	"256"	"1"	"0"
"14208"	"4"	"13"	"26"	"2"	"396"	"12"	"52"	"1"	"27"	"6"	"123"	"6"	"6"	"3"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"18"	"8"	"0"	"266"	"266"	"1"	"0"
"14209"	"4"	"13"	"26"	"2"	"400"	"24"	"41"	"0"	"40"	"7"	"84"	"4"	"3"	"0"	"2"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"17"	"4"	"0"	"232"	"232"	"1"	"0"
"14210"	"4"	"13"	"26"	"2"	"396"	"22"	"47"	"4"	"25"	"11"	"100"	"1"	"6"	"2"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"10"	"6"	"0"	"238"	"238"	"1"	"0"
"14211"	"4"	"13"	"26"	"2"	"400"	"14"	"45"	"2"	"21"	"9"	"104"	"4"	"7"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"10"	"9"	"0"	"229"	"229"	"1"	"0"
"14212"	"4"	"13"	"26"	"2"	"396"	"19"	"46"	"5"	"23"	"9"	"109"	"5"	"6"	"1"	"2"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"12"	"3"	"0"	"246"	"246"	"1"	"0"
"14213"	"4"	"13"	"26"	"2"	"400"	"23"	"23"	"4"	"22"	"3"	"91"	"5"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"6"	"0"	"0"	"188"	"188"	"1"	"0"
"14214"	"4"	"13"	"26"	"2"	"400"	"18"	"22"	"2"	"31"	"7"	"79"	"0"	"5"	"1"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"12"	"6"	"0"	"187"	"187"	"1"	"0"
"14215"	"4"	"13"	"26"	"2"	"400"	"9"	"33"	"7"	"21"	"5"	"107"	"4"	"4"	"0"	"2"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"10"	"4"	"0"	"211"	"211"	"1"	"0"
"14216"	"4"	"13"	"26"	"2"	"396"	"17"	"32"	"5"	"28"	"5"	"119"	"1"	"4"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"19"	"3"	"0"	"236"	"236"	"1"	"0"
"14217"	"4"	"13"	"26"	"2"	"396"	"19"	"33"	"6"	"19"	"9"	"97"	"2"	"11"	"0"	"2"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"14"	"7"	"0"	"223"	"223"	"1"	"0"
"14218"	"4"	"13"	"26"	"2"	"396"	"21"	"30"	"8"	"21"	"6"	"115"	"5"	"5"	"1"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"14"	"8"	"0"	"238"	"238"	"1"	"0"
"14219"	"4"	"13"	"26"	"2"	"400"	"20"	"48"	"3"	"24"	"7"	"109"	"4"	"6"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"8"	"5"	"0"	"238"	"238"	"1"	"0"
"14220"	"4"	"13"	"26"	"2"	"400"	"34"	"74"	"1"	"10"	"7"	"88"	"4"	"9"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"5"	"5"	"0"	"240"	"240"	"1"	"0"
"14221"	"4"	"13"	"26"	"2"	"400"	"25"	"34"	"5"	"26"	"2"	"102"	"5"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"11"	"3"	"0"	"222"	"222"	"1"	"0"
"14222"	"4"	"13"	"26"	"2"	"400"	"16"	"37"	"8"	"22"	"3"	"96"	"5"	"9"	"2"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"20"	"5"	"0"	"229"	"229"	"1"	"0"
