"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"BIEN"	"FUERZA"	"VALOR"	"CONVERGENCIA"	"FCN_NACION"	"CREO"	"SEMILLA"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9440"	"4"	"9"	"6"	"2"	"397"	"102"	"49"	"88"	"10"	"11"	"19"	"5"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"12"	"4"	"0"	"305"	"305"	"1"	"0"
"9441"	"4"	"9"	"6"	"2"	"400"	"93"	"56"	"80"	"9"	"13"	"11"	"6"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"8"	"13"	"0"	"295"	"295"	"1"	"0"
"9442"	"4"	"9"	"6"	"2"	"400"	"77"	"80"	"63"	"14"	"11"	"11"	"12"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"11"	"2"	"0"	"291"	"291"	"1"	"0"
"9443"	"4"	"9"	"6"	"2"	"398"	"60"	"86"	"70"	"15"	"11"	"11"	"6"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"3"	"3"	"7"	"268"	"268"	"1"	"0"
"9444"	"4"	"9"	"6"	"2"	"280"	"54"	"50"	"58"	"6"	"12"	"13"	"5"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"2"	"2"	"0"	"207"	"207"	"1"	"0"
"9445"	"4"	"9"	"6"	"2"	"280"	"55"	"48"	"57"	"11"	"10"	"6"	"5"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"0"	"1"	"0"	"201"	"201"	"1"	"0"
"9446"	"4"	"9"	"6"	"2"	"378"	"119"	"23"	"54"	"12"	"5"	"7"	"4"	"0"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"10"	"12"	"0"	"282"	"282"	"1"	"0"
"9447"	"4"	"9"	"6"	"2"	"269"	"72"	"25"	"54"	"4"	"3"	"5"	"2"	"1"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"6"	"4"	"0"	"192"	"192"	"1"	"0"
"9448"	"4"	"9"	"6"	"2"	"266"	"71"	"19"	"39"	"9"	"4"	"10"	"1"	"0"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"4"	"3"	"0"	"177"	"177"	"1"	"0"
"9449"	"4"	"9"	"6"	"2"	"380"	"42"	"39"	"50"	"2"	"28"	"14"	"23"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"19"	"35"	"0"	"256"	"256"	"1"	"0"
