"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"VAMOS"	"UNE"	"TODOS"	"FCN_NACION"	"BIEN"	"AVANZA"	"EG"	"PAN"	"UNIDOS"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19472"	"4"	"20"	"5"	"2"	"400"	"4"	"33"	"53"	"97"	"58"	"16"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"16"	"5"	"0"	"284"	"284"	"1"	"0"
"19473"	"4"	"20"	"5"	"2"	"396"	"5"	"25"	"54"	"109"	"64"	"7"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"17"	"9"	"0"	"293"	"293"	"1"	"0"
"19474"	"4"	"20"	"5"	"1"	"0"	"1"	"26"	"74"	"100"	"65"	"10"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"18"	"3"	"0"	"299"	"299"	"1"	"0"
"19475"	"4"	"20"	"5"	"2"	"400"	"1"	"32"	"73"	"100"	"79"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"8"	"3"	"0"	"307"	"307"	"1"	"0"
"19476"	"4"	"20"	"5"	"1"	"400"	"2"	"41"	"64"	"71"	"88"	"8"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"19"	"7"	"0"	"306"	"306"	"1"	"0"
"19477"	"4"	"20"	"5"	"1"	"400"	"1"	"38"	"74"	"84"	"45"	"6"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"3"	"5"	"0"	"258"	"258"	"1"	"0"
"19478"	"4"	"20"	"5"	"2"	"396"	"0"	"51"	"74"	"96"	"32"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"9"	"2"	"0"	"280"	"280"	"1"	"0"
"19479"	"4"	"20"	"5"	"2"	"394"	"1"	"49"	"74"	"85"	"35"	"11"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"12"	"4"	"0"	"274"	"274"	"1"	"0"
"19480"	"4"	"20"	"5"	"2"	"396"	"1"	"37"	"68"	"86"	"32"	"5"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"13"	"3"	"0"	"249"	"249"	"1"	"0"
"19481"	"4"	"20"	"5"	"2"	"399"	"0"	"37"	"78"	"94"	"41"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"6"	"3"	"0"	"273"	"273"	"1"	"0"
"19482"	"4"	"20"	"5"	"2"	"218"	"0"	"8"	"31"	"68"	"40"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"2"	"1"	"0"	"152"	"152"	"1"	"0"
"19483"	"4"	"20"	"5"	"2"	"217"	"0"	"23"	"29"	"51"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"3"	"3"	"0"	"144"	"144"	"1"	"0"
"19484"	"4"	"20"	"5"	"2"	"396"	"0"	"60"	"60"	"100"	"31"	"11"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"15"	"4"	"0"	"283"	"283"	"1"	"0"
"19485"	"4"	"20"	"5"	"2"	"400"	"1"	"59"	"30"	"127"	"31"	"11"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"18"	"6"	"0"	"284"	"284"	"1"	"0"
"19486"	"4"	"20"	"5"	"2"	"400"	"1"	"29"	"29"	"93"	"81"	"7"	"4"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"21"	"8"	"0"	"275"	"276"	"0"	"0"
"19487"	"4"	"20"	"5"	"2"	"400"	"1"	"33"	"57"	"101"	"76"	"10"	"4"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"6"	"6"	"0"	"298"	"298"	"1"	"0"
"19488"	"4"	"20"	"5"	"2"	"396"	"4"	"58"	"39"	"101"	"51"	"4"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"6"	"3"	"1"	"268"	"268"	"1"	"0"
"19489"	"4"	"20"	"5"	"2"	"396"	"1"	"70"	"33"	"99"	"26"	"9"	"1"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"13"	"7"	"0"	"263"	"263"	"1"	"0"
"19490"	"4"	"20"	"5"	"2"	"317"	"1"	"37"	"26"	"94"	"44"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"5"	"0"	"0"	"211"	"211"	"1"	"0"
"19491"	"4"	"20"	"5"	"2"	"316"	"1"	"37"	"34"	"106"	"33"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"2"	"1"	"0"	"222"	"222"	"1"	"0"
"19492"	"4"	"20"	"5"	"2"	"380"	"8"	"14"	"49"	"197"	"17"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"11"	"3"	"0"	"304"	"304"	"1"	"0"
"19493"	"4"	"20"	"5"	"2"	"375"	"7"	"40"	"46"	"169"	"28"	"3"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"14"	"7"	"0"	"318"	"318"	"1"	"0"
"19494"	"4"	"20"	"5"	"2"	"380"	"2"	"14"	"48"	"196"	"16"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"12"	"8"	"0"	"299"	"299"	"1"	"0"
"19495"	"4"	"20"	"5"	"2"	"376"	"4"	"30"	"66"	"142"	"52"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"29"	"7"	"0"	"334"	"334"	"1"	"0"
"19496"	"4"	"20"	"5"	"2"	"376"	"0"	"52"	"52"	"145"	"35"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"22"	"9"	"0"	"323"	"323"	"1"	"0"
"19497"	"4"	"20"	"5"	"2"	"376"	"5"	"32"	"34"	"166"	"23"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"5"	"3"	"0"	"271"	"271"	"1"	"0"
"19498"	"4"	"20"	"5"	"2"	"376"	"5"	"29"	"38"	"175"	"19"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"9"	"6"	"0"	"284"	"284"	"1"	"0"
"19499"	"4"	"20"	"5"	"2"	"376"	"5"	"33"	"52"	"165"	"27"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"15"	"3"	"0"	"303"	"303"	"1"	"0"
"19500"	"4"	"20"	"5"	"2"	"241"	"1"	"20"	"37"	"122"	"22"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"2"	"1"	"0"	"206"	"206"	"1"	"0"
"19501"	"4"	"20"	"5"	"2"	"240"	"0"	"18"	"41"	"101"	"13"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"9"	"4"	"0"	"188"	"188"	"1"	"0"
"19502"	"4"	"20"	"5"	"2"	"373"	"2"	"19"	"26"	"163"	"62"	"5"	"5"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"7"	"22"	"0"	"314"	"314"	"1"	"0"
"19503"	"4"	"20"	"5"	"2"	"380"	"2"	"21"	"30"	"139"	"93"	"4"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"17"	"8"	"0"	"318"	"318"	"1"	"0"
"19504"	"4"	"20"	"5"	"2"	"374"	"0"	"17"	"37"	"141"	"71"	"5"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"13"	"11"	"0"	"301"	"301"	"1"	"0"
"19505"	"4"	"20"	"5"	"2"	"375"	"2"	"14"	"27"	"128"	"72"	"1"	"2"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"9"	"8"	"0"	"266"	"266"	"1"	"0"
"19506"	"4"	"20"	"5"	"2"	"375"	"4"	"15"	"22"	"140"	"60"	"3"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"10"	"10"	"0"	"267"	"267"	"1"	"0"
"19507"	"4"	"20"	"5"	"2"	"376"	"2"	"18"	"32"	"96"	"69"	"5"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"17"	"4"	"0"	"247"	"247"	"1"	"0"
"19508"	"4"	"20"	"5"	"2"	"374"	"4"	"33"	"35"	"76"	"81"	"9"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"18"	"12"	"0"	"271"	"271"	"1"	"0"
"19509"	"4"	"20"	"5"	"2"	"376"	"2"	"18"	"52"	"115"	"31"	"8"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"20"	"5"	"0"	"258"	"258"	"1"	"0"
"19510"	"4"	"20"	"5"	"2"	"376"	"0"	"21"	"52"	"136"	"41"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"26"	"8"	"0"	"291"	"291"	"1"	"0"
"19511"	"4"	"20"	"5"	"2"	"376"	"2"	"20"	"56"	"122"	"55"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"11"	"12"	"0"	"282"	"282"	"1"	"0"
