"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"VAMOS"	"UNE"	"VICTORIA"	"FCN_NACION"	"CREO"	"C_C_E_S"	"UNIONISTA"	"VALOR"	"PAN"	"MLP"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7454"	"4"	"6"	"4"	"2"	"397"	"10"	"45"	"43"	"5"	"31"	"5"	"43"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"7"	"1"	"1"	"203"	"203"	"1"	"0"
"7455"	"4"	"6"	"4"	"2"	"400"	"10"	"42"	"53"	"8"	"22"	"6"	"48"	"1"	"20"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"15"	"6"	"0"	"237"	"237"	"1"	"0"
"7456"	"4"	"6"	"4"	"2"	"400"	"15"	"57"	"46"	"11"	"15"	"6"	"49"	"1"	"28"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"10"	"1"	"0"	"243"	"243"	"1"	"0"
"7457"	"4"	"6"	"4"	"2"	"400"	"22"	"48"	"59"	"9"	"21"	"4"	"51"	"4"	"16"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"17"	"5"	"0"	"261"	"261"	"1"	"0"
"7458"	"4"	"6"	"4"	"2"	"400"	"21"	"36"	"59"	"7"	"19"	"6"	"56"	"3"	"15"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"14"	"5"	"0"	"250"	"250"	"1"	"0"
"7459"	"4"	"6"	"4"	"2"	"396"	"32"	"27"	"63"	"9"	"22"	"6"	"50"	"0"	"21"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"5"	"12"	"1"	"253"	"253"	"1"	"0"
"7460"	"4"	"6"	"4"	"2"	"400"	"21"	"41"	"60"	"12"	"32"	"4"	"39"	"0"	"17"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"10"	"1"	"0"	"241"	"241"	"1"	"0"
"7461"	"4"	"6"	"4"	"2"	"400"	"18"	"32"	"53"	"5"	"28"	"8"	"45"	"0"	"15"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"4"	"2"	"0"	"212"	"212"	"1"	"0"
"7462"	"4"	"6"	"4"	"2"	"400"	"25"	"37"	"49"	"6"	"20"	"6"	"53"	"5"	"20"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"7"	"1"	"0"	"231"	"231"	"1"	"0"
"7463"	"4"	"6"	"4"	"2"	"400"	"11"	"39"	"42"	"8"	"26"	"6"	"35"	"2"	"18"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"6"	"8"	"0"	"207"	"207"	"1"	"0"
