"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VIVA"	"TODOS"	"UNE"	"VAMOS"	"FCN_NACION"	"CONVERGENCIA"	"UCN"	"CREO"	"FUERZA"	"UNIONISTA"	"PHG"	"VICTORIA"	"VALOR"	"SEMILLA"	"URNG_MAIZ"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12403"	"4"	"12"	"16"	"2"	"396"	"12"	"10"	"39"	"18"	"25"	"4"	"5"	"43"	"7"	"0"	"45"	"13"	"4"	"8"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"19"	"6"	"0"	"269"	"269"	"1"	"0"
"12404"	"4"	"12"	"16"	"2"	"396"	"11"	"14"	"31"	"17"	"27"	"7"	"5"	"41"	"15"	"1"	"60"	"9"	"3"	"11"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"15"	"7"	"0"	"282"	"282"	"1"	"0"
"12405"	"4"	"12"	"16"	"2"	"396"	"28"	"7"	"10"	"17"	"32"	"3"	"3"	"41"	"13"	"0"	"40"	"13"	"5"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"22"	"10"	"0"	"257"	"257"	"1"	"0"
"12406"	"4"	"12"	"16"	"2"	"395"	"16"	"8"	"21"	"20"	"33"	"2"	"1"	"45"	"18"	"1"	"58"	"10"	"6"	"11"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"21"	"5"	"0"	"293"	"293"	"1"	"0"
"12407"	"4"	"12"	"16"	"2"	"396"	"25"	"2"	"18"	"11"	"29"	"12"	"2"	"74"	"3"	"0"	"40"	"13"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"26"	"14"	"0"	"277"	"277"	"1"	"0"
"12408"	"4"	"12"	"16"	"2"	"400"	"25"	"5"	"17"	"13"	"34"	"7"	"8"	"42"	"15"	"0"	"36"	"12"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"17"	"7"	"0"	"246"	"246"	"1"	"0"
"12409"	"4"	"12"	"16"	"2"	"400"	"17"	"8"	"30"	"13"	"25"	"4"	"2"	"49"	"16"	"0"	"33"	"5"	"5"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"10"	"5"	"0"	"228"	"228"	"1"	"0"
"12410"	"4"	"12"	"16"	"2"	"400"	"17"	"4"	"41"	"9"	"31"	"4"	"2"	"48"	"13"	"1"	"37"	"15"	"3"	"9"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"19"	"5"	"0"	"264"	"264"	"1"	"0"
"12411"	"4"	"12"	"16"	"2"	"400"	"21"	"6"	"20"	"19"	"29"	"4"	"4"	"46"	"11"	"0"	"24"	"22"	"2"	"9"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"16"	"6"	"0"	"247"	"247"	"1"	"0"
"12412"	"4"	"12"	"16"	"2"	"400"	"12"	"6"	"27"	"15"	"40"	"7"	"5"	"50"	"9"	"0"	"34"	"12"	"4"	"10"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"17"	"5"	"0"	"264"	"264"	"1"	"0"
"12413"	"4"	"12"	"16"	"2"	"396"	"9"	"6"	"39"	"16"	"17"	"7"	"5"	"46"	"19"	"3"	"36"	"13"	"4"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"21"	"4"	"0"	"252"	"252"	"1"	"0"
"12414"	"4"	"12"	"16"	"2"	"400"	"21"	"4"	"34"	"14"	"27"	"6"	"2"	"34"	"17"	"2"	"37"	"9"	"6"	"8"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"19"	"5"	"0"	"251"	"251"	"1"	"0"
